https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,,申請者2,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名,施設の住所,,,,施設の電話番号※,業種,営業者氏名,代表職,代表者氏名,営業者の電話番号※,初回の許可年月日,最新の許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
,豊橋市大岩町字西郷内４１番地,愛知県,豊橋市大岩町字西郷内４１番地,,41-0147,魚介類販売業(一般),安形　秀敏,,,,2021/8/1,2021/8/1,豊橋市指令3豊保生第114－5号,,246,,0532,0532-41-0147,,,,愛知県　豊橋市大岩町字西郷内４１番地,愛知県豊橋市大岩町字西郷内４１番地,,117698,23,23201,大岩町,,2021/08/01,2021/08/01,,,,安形　秀敏 ,,,,,,,,,豊橋市指令3豊保生第114－5号,,魚介類販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,,,0532-41-014711769823201,26641081-1aa1-453e-9266-79c9843bc363,,personal,812bcc43-88e6-4473-a8c0-0d567369ff73,2021/08/01,,,
　たけもと,豊橋市東小浜町１１１番地２,愛知県,豊橋市東小浜町１１１番地２,,46-1039,飲食店営業(すし),竹本　大藏,,,,2021/6/21,2021/6/21,豊橋市指令3豊保生第111－32号,,246,　たけもと,0532,0532-46-1039,,,,愛知県　豊橋市東小浜町１１１番地２,愛知県豊橋市東小浜町１１１番地２,,117867,23,23201,東小浜町,,2021/06/21,2021/06/21,,,,竹本　大藏 ,,,,,,,,,豊橋市指令3豊保生第111－32号,,飲食店営業,すし,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,たけもと0532-46-103911786723201,e351ac31-dac1-4f3b-ba0a-a709953e5ad2,,personal,d9db6443-d4bf-4ab4-8188-0cf7b2f4886f,2021/06/21,　たけもと,たけもと,
　カネイ魚店,豊橋市東雲町２番地の１，２番地の６,愛知県,豊橋市東雲町２番地の１，２番地の６,,61-3069,飲食店営業(その他),石川　智啓,,,,1993/8/18,2017/12/1,豊橋市指令29豊保生第102－150号,,246,　カネイ魚店,0532,0532-61-3069,,,,愛知県　豊橋市東雲町２番地の１，２番地の６,愛知県豊橋市東雲町２番地ノ１，２番地ノ６,,117754,23,23201,東雲町,,1993/08/18,2017/12/01,,,,石川　智啓 ,,,,,,,,,豊橋市指令29豊保生第102－150号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,カネイ魚店0532-61-306911775423201,e397920a-f40f-4382-a37b-2e900d532a0c,,personal,b958b509-67a1-462a-8a42-2ee80ea0225e,2017/12/01,　カネイ魚店,カネイ魚店,
　カネイ魚店,豊橋市東雲町２番地の１，２番地の６,愛知県,豊橋市東雲町２番地の１，２番地の６,,61-3069,魚介類販売業(一般),石川　智啓,,,,1993/8/18,2017/12/1,豊橋市指令29豊保生第126－11号,,246,　カネイ魚店,0532,0532-61-3069,,,,愛知県　豊橋市東雲町２番地の１，２番地の６,愛知県豊橋市東雲町２番地ノ１，２番地ノ６,,117754,23,23201,東雲町,,1993/08/18,2017/12/01,,,,石川　智啓 ,,,,,,,,,豊橋市指令29豊保生第126－11号,,魚介類販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,,,カネイ魚店0532-61-306911775423201,e397920a-f40f-4382-a37b-2e900d532a0c,,personal,7333781a-9d8a-4c18-ab66-eaa6c619e98e,2017/12/01,　カネイ魚店,カネイ魚店,
　魚店,豊橋市忠興一丁目５番地の１８,愛知県,豊橋市忠興１丁目５番地の１８,,61-3015,魚介類販売業(一般),井上　徹,,,,1970/3/12,2017/12/1,豊橋市指令29豊保生第126－10号,,246,　魚店,0532,0532-61-3015,,,,愛知県　豊橋市忠興１丁目５番地の１８,愛知県豊橋市忠興１丁目５番地ノ１８,,117960,23,23201,忠興１,,1970/03/12,2017/12/01,,,,井上　徹 ,,,,,,,,,豊橋市指令29豊保生第126－10号,,魚介類販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,,,魚店0532-61-301511796023201,8d9c26c2-fed3-49b4-9e51-d9eb82493e55,,personal,7f258321-b097-4970-b7ac-cdac053c31ca,2017/12/01,　魚店,魚店,
　遠藤鶉孵化場,豊橋市春日町一丁目１２９番地,愛知県,豊橋市春日町１丁目１２９番地,,61-8484,食肉処理業(一般),遠藤　年英,,,,1977/7/9,2019/12/1,豊橋市指令1豊保生第120－4号,,246,　遠藤鶉孵化場,0532,0532-61-8484,,,,愛知県　豊橋市春日町１丁目１２９番地,愛知県豊橋市春日町１丁目１２９番地,,117711,23,23201,春日町１,,1977/07/09,2019/12/01,,,,遠藤　年英 ,,,,,,,,,豊橋市指令1豊保生第120－4号,,食肉処理業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,A,1,,,遠藤鶉孵化場0532-61-848411771123201,79d752e2-e45b-400f-9bec-bd76b4a086af,,personal,d55a6b39-1520-4f3c-8f5e-47731fe98163,2019/12/01,　遠藤鶉孵化場,遠藤鶉孵化場,
　魚店　,豊橋市八町通四丁目６８番地,愛知県,豊橋市八町通４丁目６８番地,,53-6055,飲食店営業(その他),福井　昭六,,,,1990/4/21,2016/2/1,豊橋市指令27豊保生第102－193号,,246,　魚店　,0532,0532-53-6055,,,,愛知県　豊橋市八町通４丁目６８番地,愛知県豊橋市八町通４丁目６８番地,,117850,23,23201,八町通４,,1990/04/21,2016/02/01,,,,福井　昭六 ,,,,,,,,,豊橋市指令27豊保生第102－193号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,魚店0532-53-605511785023201,9a24db6f-608c-49f9-9b55-6fe80a509709,,personal,3d853a0e-4778-4f48-a920-1a80c5719d10,2016/02/01,　魚店　,魚店,
　魚店　,豊橋市八町通四丁目６８番地,愛知県,豊橋市八町通４丁目６８番地,,53-6055,魚介類販売業(一般),福井　昭六,,,,1990/4/21,2016/2/1,豊橋市指令27豊保生第126－18号,,246,　魚店　,0532,0532-53-6055,,,,愛知県　豊橋市八町通４丁目６８番地,愛知県豊橋市八町通４丁目６８番地,,117850,23,23201,八町通４,,1990/04/21,2016/02/01,,,,福井　昭六 ,,,,,,,,,豊橋市指令27豊保生第126－18号,,魚介類販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,,,魚店0532-53-605511785023201,9a24db6f-608c-49f9-9b55-6fe80a509709,,personal,2dc5b53d-e1a9-4633-8a3f-33e736790f82,2016/02/01,　魚店　,魚店,
　水鳥製麺所,豊橋市植田町字西山田１２番地の８,愛知県,豊橋市植田町字西山田１２番地の８,,25-2520,めん類製造業,水鳥　一,,,,1981/12/12,2021/4/1,豊橋市指令2豊保生第156－4号,,246,　水鳥製麺所,0532,0532-25-2520,,,,愛知県　豊橋市植田町字西山田１２番地の８,愛知県豊橋市植田町字西山田１２番地ノ８,,117682,23,23201,植田町,,1981/12/12,2021/04/01,,,,水鳥　一 ,,,,,,,,,豊橋市指令2豊保生第156－4号,,麺類製造業,,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,水鳥製麺所0532-25-252011768223201,7886ffe7-46bb-40d6-b4ec-7f09009f584e,,personal,dc823271-8144-472f-9eac-3c510c002d19,2021/04/01,　水鳥製麺所,水鳥製麺所,
,豊橋市下地町字横山１０番地の２,愛知県,豊橋市下地町字横山１０番地の２,,53-4839,魚介類販売業(一般),滝川　泰義,,,,1985/2/2,2020/2/1,豊橋市指令1豊保生第126－25号,,246,,0532,0532-53-4839,,,,愛知県　豊橋市下地町字横山１０番地の２,愛知県豊橋市下地町字横山１０番地ノ２,,117756,23,23201,下地町,,1985/02/02,2020/02/01,,,,滝川　泰義 ,,,,,,,,,豊橋市指令1豊保生第126－25号,,魚介類販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,,,0532-53-483911775623201,3c790ea3-c807-4f35-b4d8-daed144c9d52,,personal,5fb44bcc-05ca-45e5-a583-6403cd65c271,2020/02/01,,,
　竹内商店,豊橋市下五井町小馬場３６番地の１,愛知県,豊橋市下五井町小馬場３６番地の１,,32-6643,魚介類販売業(一般),竹内　祐三,,,,1995/8/18,2020/2/1,豊橋市指令1豊保生第126－26号,,246,　竹内商店,0532,0532-32-6643,,,,愛知県　豊橋市下五井町小馬場３６番地の１,愛知県豊橋市下五井町小馬場３６番地ノ１,,117755,23,23201,下五井町,,1995/08/18,2020/02/01,,,,竹内　祐三 ,,,,,,,,,豊橋市指令1豊保生第126－26号,,魚介類販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,,,竹内商店0532-32-664311775523201,3b863d59-d6ea-40ec-ae58-9dcf451caf3c,,personal,da6f9ee3-74b6-42fb-88aa-5e88c9f95374,2020/02/01,　竹内商店,竹内商店,
商店,豊橋市新本町１３３番地,愛知県,豊橋市新本町１３３番地,,52-4818,飲食店営業(その他),井本　好彦,,,,1997/10/29,2020/2/1,豊橋市指令1豊保生第102－225号,,246,商店,0532,0532-52-4818,,,,愛知県　豊橋市新本町１３３番地,愛知県豊橋市新本町１３３番地,,117767,23,23201,新本町,,1997/10/29,2020/02/01,,,,井本　好彦 ,,,,,,,,,豊橋市指令1豊保生第102－225号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,商店0532-52-481811776723201,c2a54a35-8073-40dd-9987-32c32aff6c6f,,personal,8fba0cbb-86b1-4853-8ebc-a05abf039c4f,2020/02/01,商店,商店,
伊藤ハム豊橋工場食堂,豊橋市藤並町字藤並７３番地,愛知県,豊橋市藤並町字藤並７３番地,,47-0674,飲食店営業(集団給食施設),コンパスグループ・ジャパン株式会社,代表取締役,石田　隆嗣,03-3544-0351,1986/8/6,2016/8/1,豊橋市指令28豊保生第102－5号,,246,伊藤ハム豊橋工場食堂,0532,0532-47-0674,,,,愛知県　豊橋市藤並町字藤並７３番地,愛知県豊橋市藤並町字藤並７３番地,,117888,23,23201,藤並町,,1986/08/06,2016/08/01,,,コンパスグループ・ジャパン株式会社,石田　隆嗣,03-3544-0351,,,,,,,,豊橋市指令28豊保生第102－5号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,伊藤ハム豊橋工場食堂0532-47-067411788823201,7fee0a7d-a036-4de6-a004-b036104f2907,コンパスグループ・ジャパン株式会社,c6bdb237-334c-47bc-890a-04d85297ad63,0a5d348d-e034-4001-a859-9064a3979367,2016/08/01,伊藤ハム豊橋工場食堂,伊藤ハム豊橋工場食堂,コンパスグループ・ジャパン株式会社
井村屋フーズ株式会社　七根工場　第六製造室　Ｅ３,豊橋市西七根町字奥足田口８８番地,愛知県,豊橋市西七根町字奥足田口８８番地,,21-2311,食用油脂製造業,井村屋フーズ株式会社,代表取締役,菅沼　重元,41-1191,2021/12/23,2021/12/23,豊橋市指令3豊保生第129－1号,,246,井村屋フーズ株式会社　七根工場　第六製造室　Ｅ３,0532,0532-21-2311,,,,愛知県　豊橋市西七根町字奥足田口８８番地,愛知県豊橋市西七根町字奥足田口８８番地,,117825,23,23201,西七根町,,2021/12/23,2021/12/23,,,井村屋フーズ株式会社,菅沼　重元,0532-41-1191,,,,,,,,豊橋市指令3豊保生第129－1号,,食用油脂製造業,,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,井村屋フズ株式会社七根工場第六製造室Ｅ３0532-21-231111782523201,573e7795-5e33-43e8-9666-dcfd004b9edc,井村屋フーズ株式会社,f3cf0c52-ae98-42af-ab8f-81dc0c7c653f,a7868992-a83a-41e2-accb-a8755004935b,2021/12/23,井村屋フーズ株式会社七根工場　第六製造室　Ｅ３,井村屋フズ株式会社七根工場第六製造室Ｅ３,井村屋フーズ株式会社
燕子中物,豊橋市下五井町捨田３１番地,愛知県,豊橋市下五井町捨田３１番地,,,食肉販売業(一般),曲　紅艶,,,,2019/12/27,2019/12/27,豊橋市指令1豊保生第121－25号,,246,燕子中物,0532,,,,,愛知県　豊橋市下五井町捨田３１番地,愛知県豊橋市下五井町捨田３１番地,,117755,23,23201,下五井町,,2019/12/27,2019/12/27,,,,曲　紅艶 ,,,,,,,,,豊橋市指令1豊保生第121－25号,,食肉販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,583,,燕子中物11775523201,66970b8a-247b-4a64-a6e5-51594dd35016,,personal,0dc9c7f8-487f-49a7-91a2-0bf95b83d381,2019/12/27,燕子中物,燕子中物,
牡蠣とレモン　豊橋駅前店,豊橋市広小路一丁目４０番地２  ハピア豊橋１階,愛知県,豊橋市広小路１丁目４０番地２,ハピア豊橋１階,,飲食店営業(一般食堂・レストラン等),小林　晃,,,,2021/12/20,2021/12/20,豊橋市指令3豊保生第111－316号,,246,牡蠣とレモン　豊橋駅前店,0532,,,,,愛知県　豊橋市広小路１丁目４０番地２,愛知県豊橋市広小路１丁目４０番地２,ハピア豊橋１階,117882,23,23201,広小路１,,2021/12/20,2021/12/20,,,,小林　晃 ,,,,,,,,,豊橋市指令3豊保生第111－316号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,牡蠣とレモン豊橋駅前店11788223201,68f98a98-26d3-4ce3-8630-89e84c229c05,,personal,a375582c-83f1-4042-9224-b39054738508,2021/12/20,牡蠣とレモン　豊橋駅前店,牡蠣とレモン豊橋駅前店,
下村喜作商店,豊橋市東七根町字一の沢１１３番地,愛知県,豊橋市東七根町字一の沢１１３番地,,,飲食店営業(一般食堂・レストラン等),株式会社　下村喜作商店,代表取締役,船坂　智宏,,2021/12/27,2021/12/27,豊橋市指令3豊保生第111－392号,,246,下村喜作商店,0532,,,,,愛知県　豊橋市東七根町字一の沢１１３番地,愛知県豊橋市東七根町字一ノ沢１１３番地,,117870,23,23201,東七根町,,2021/12/27,2021/12/27,,,株式会社　下村喜作商店,船坂　智宏,,,,,,,,,豊橋市指令3豊保生第111－392号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,下村喜作商店11787023201,d56853d9-0bbd-4fdf-9a20-5d924078a7f6,株式会社下村喜作商店,6bae8136-6fe8-4475-86d8-2a3300fd79e1,ba36d017-5df5-428e-a0b5-2b837a1dabbe,2021/12/27,下村喜作商店,下村喜作商店,株式会社下村喜作商店
下村喜作商店,豊橋市東七根町字一の沢１１３番地,愛知県,豊橋市東七根町字一の沢１１３番地,,,魚介類販売業(一般),株式会社　下村喜作商店,代表取締役,船坂　智宏,,2021/12/27,2021/12/27,豊橋市指令3豊保生第114－24号,,246,下村喜作商店,0532,,,,,愛知県　豊橋市東七根町字一の沢１１３番地,愛知県豊橋市東七根町字一ノ沢１１３番地,,117870,23,23201,東七根町,,2021/12/27,2021/12/27,,,株式会社　下村喜作商店,船坂　智宏,,,,,,,,,豊橋市指令3豊保生第114－24号,,魚介類販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,,,下村喜作商店11787023201,d56853d9-0bbd-4fdf-9a20-5d924078a7f6,株式会社下村喜作商店,6bae8136-6fe8-4475-86d8-2a3300fd79e1,5e486768-6614-45bd-af67-e5c2920db587,2021/12/27,下村喜作商店,下村喜作商店,株式会社下村喜作商店
河合屋,豊橋市大岩町字東郷内１９１番地,愛知県,豊橋市大岩町字東郷内１９１番地,,41-0620,喫茶店営業(一般),河合　基好,,,,2021/5/20,2021/5/20,豊橋市指令3豊保生第712－6号,,246,河合屋,0532,0532-41-0620,,,,愛知県　豊橋市大岩町字東郷内１９１番地,愛知県豊橋市大岩町字東郷内１９１番地,,117698,23,23201,大岩町,,2021/05/20,2021/05/20,,,,河合　基好 ,,,,,,,,,豊橋市指令3豊保生第712－6号,,喫茶店営業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,河合屋0532-41-062011769823201,00246_078b198f-4e5c-4409-be5c-9e68cf7c81b1,,personal,e8e5a114-7054-4685-9045-cf69d31e1074,2021/05/20,河合屋,河合屋,
学校法人　蝉川学園　豊橋才能教育こども園,豊橋市東小鷹野一丁目１５番地８,愛知県,豊橋市東小鷹野１丁目１５番地８,,41-0001,飲食店営業(集団給食施設),株式会社　なごみキッズサービス,代表取締役,富永　美穂,052-432-3332,2021/6/25,2021/6/25,豊橋市指令3豊保生第111－20号,,246,学校法人　蝉川学園　豊橋才能教育こども園,0532,0532-41-0001,,,,愛知県　豊橋市東小鷹野１丁目１５番地８,愛知県豊橋市東小鷹野１丁目１５番地８,,117967,23,23201,東小鷹野１,,2021/06/25,2021/06/25,,,株式会社　なごみキッズサービス,富永　美穂,052-432-3332,,,,,,,,豊橋市指令3豊保生第111－20号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,学校法人蝉川学園豊橋才能教育こども園0532-41-000111796723201,00246_906a2ce5-a188-4c9a-9308-da27d6938813,株式会社なごみキッズサービス,a8898ea6-7321-43e0-964e-5773ee7d0e57,7dc06294-3746-4e5b-87c7-44a81e18712a,2021/06/25,学校法人蝉川学園　豊橋才能教育こども園,学校法人蝉川学園豊橋才能教育こども園,株式会社なごみキッズサービス
株式会社　なつめ,豊橋市東郷町２６番地１,愛知県,豊橋市東郷町２６番地１,,,飲食店営業(一般食堂・レストラン等),株式会社　なつめ,代表取締役,夏目　浩幸,61-3780,2021/5/26,2021/5/26,豊橋市指令3豊保生第711－32号,,246,株式会社　なつめ,0532,,,,,愛知県　豊橋市東郷町２６番地１,愛知県豊橋市東郷町２６番地１,,117791,23,23201,東郷町,,2021/05/26,2021/05/26,,,株式会社　なつめ,夏目　浩幸,0532-61-3780,,,,,,,,豊橋市指令3豊保生第711－32号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,株式会社なつめ11779123201,62f86fe5-049c-4fbe-990b-8c03f7b5c3e9,株式会社なつめ,492d49e7-510a-4781-8e49-efe03c999318,088e7085-27cb-496d-8093-6f01daea92b0,2021/05/26,株式会社なつめ,株式会社なつめ,株式会社なつめ
株式会社　日本の衣食住研究所　豊橋工場,豊橋市杉山町字天津１７２番地２,愛知県,豊橋市杉山町字天津１７２番地２,,,菓子製造業(一般),株式会社　日本の衣食住研究所,代表取締役,新美　範恭,0562-55-2337,2020/7/31,2020/7/31,豊橋市指令2豊保生第105－36号,,246,株式会社　日本の衣食住研究所　豊橋工場,0532,,,,,愛知県　豊橋市杉山町字天津１７２番地２,愛知県豊橋市杉山町字天津１７２番地２,,117772,23,23201,杉山町,,2020/07/31,2020/07/31,,,株式会社　日本の衣食住研究所,新美　範恭,0562-55-2337,,,,,,,,豊橋市指令2豊保生第105－36号,,菓子製造業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,株式会社日本の衣食住研究所豊橋工場11777223201,6ac7bc7c-a2f2-414b-b799-3dc1ba346e91,株式会社日本の衣食住研究所,5310ef93-8fb2-47f0-b1b3-2f4797edf3cd,15eac172-0234-48a9-b0a5-a6f794dc7a77,2020/07/31,株式会社日本の衣食住研究所　豊橋工場,株式会社日本の衣食住研究所豊橋工場,株式会社日本の衣食住研究所
株式会社　濱金商店,豊橋市下五井町捨田８番地,愛知県,豊橋市下五井町捨田８番地,,52-1465,そうざい製造業,株式会社　濱金商店,代表取締役,髙坂　悠太,52-1465,1995/9/22,2017/2/1,豊橋市指令28豊保生第158－9号,,246,株式会社　濱金商店,0532,0532-52-1465,,,,愛知県　豊橋市下五井町捨田８番地,愛知県豊橋市下五井町捨田８番地,,117755,23,23201,下五井町,,1995/09/22,2017/02/01,,,株式会社　濱金商店,髙坂　悠太,0532-52-1465,,,,,,,,豊橋市指令28豊保生第158－9号,,そうざい製造業,,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,株式会社濱金商店0532-52-146511775523201,df170839-d18e-4348-a83f-603bc95064f6,株式会社濱金商店,7448871c-2921-4755-a5bb-0f195f27d9c5,32056143-76cf-41be-a823-832a3cda5fa6,2017/02/01,株式会社濱金商店,株式会社濱金商店,株式会社濱金商店
㈱アイシンヒルタウン寮食堂,豊橋市野依台二丁目１番地の１  ㈱アイシンヒルタウン寮食堂,愛知県,豊橋市野依台２丁目１番地の１,㈱アイシンヒルタウン寮食堂,25-7506,飲食店営業(集団給食施設),新三商事株式会社,代表取締役,杉浦　正泰,0566-73-3300,1991/12/21,2017/4/1,豊橋市指令28豊保生第102－431号,,246,㈱アイシンヒルタウン寮食堂,0532,0532-25-7506,,,,愛知県　豊橋市野依台２丁目１番地の１,愛知県豊橋市野依台２丁目１番地ノ１,㈱アイシンヒルタウン寮食堂,118005,23,23201,野依台２,,1991/12/21,2017/04/01,,,新三商事株式会社,杉浦　正泰,0566-73-3300,,,,,,,,豊橋市指令28豊保生第102－431号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,株式会社アイシンヒルタウン寮食堂0532-25-750611800523201,380b907e-a04c-4e84-8e94-f4732de836d4,新三商事株式会社,10cceccf-fd4b-4c99-a8e0-6e1c92cd398b,f6ecae33-8f3f-479f-9d84-0b1bf7fd51ad,2017/04/01,株式会社アイシンヒルタウン寮食堂,株式会社アイシンヒルタウン寮食堂,新三商事株式会社
㈱アイシン野依寮食堂,豊橋市野依台二丁目７番地８  ㈱アイシン野依寮食堂,愛知県,豊橋市野依台２丁目７番地８,㈱アイシン野依寮食堂,,飲食店営業(集団給食施設),新三商事株式会社,代表取締役,杉浦　正泰,0566-73-3300,2011/7/15,2018/4/1,豊橋市指令29豊保生第102－291号,,246,㈱アイシン野依寮食堂,0532,,,,,愛知県　豊橋市野依台２丁目７番地８,愛知県豊橋市野依台２丁目７番地８,㈱アイシン野依寮食堂,118005,23,23201,野依台２,,2011/07/15,2018/04/01,,,新三商事株式会社,杉浦　正泰,0566-73-3300,,,,,,,,豊橋市指令29豊保生第102－291号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,株式会社アイシン野依寮食堂11800523201,8d3cd38f-310c-4918-847f-7af9651c84de,新三商事株式会社,10cceccf-fd4b-4c99-a8e0-6e1c92cd398b,fb12d270-d276-4991-92f2-bd808fa31d40,2018/04/01,株式会社アイシン野依寮食堂,株式会社アイシン野依寮食堂,新三商事株式会社
丸源ラーメン　豊橋曙店,豊橋市西幸町字浜池８番地２,愛知県,豊橋市西幸町字浜池８番地２,,,飲食店営業(一般食堂・レストラン等),株式会社　物語コーポレーション,代表取締役,加藤　央之,63-8001,2021/12/21,2021/12/21,豊橋市指令3豊保生第111－372号,,246,丸源ラーメン　豊橋曙店,0532,,,,,愛知県　豊橋市西幸町字浜池８番地２,愛知県豊橋市西幸町字浜池８番地２,,117829,23,23201,西幸町,,2021/12/21,2021/12/21,,,株式会社　物語コーポレーション,加藤　央之,0532-63-8001,,,,,,,,豊橋市指令3豊保生第111－372号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,丸源ラメン豊橋曙店11782923201,b8a7f6d5-481a-4f07-8589-678fe44a5ab7,株式会社物語コーポレーション,3736f8c8-0893-4ecb-ae61-188a9b37926a,68125d0e-38c5-4c6e-ba0a-40cfa326c8e8,2021/12/21,丸源ラーメン　豊橋曙店,丸源ラメン豊橋曙店,株式会社物語コーポレーション
牛角豊橋大岩店,豊橋市大岩町字岩田２３番地１,愛知県,豊橋市大岩町字岩田２３番地１,,41-2929,飲食店営業(一般食堂・レストラン等),株式会社　アスコ,代表取締役,白羽　恵司,0562-33-5105,2021/6/14,2021/6/14,豊橋市指令3豊保生第111－19号,,246,牛角豊橋大岩店,0532,0532-41-2929,,,,愛知県　豊橋市大岩町字岩田２３番地１,愛知県豊橋市大岩町字岩田２３番地１,,117698,23,23201,大岩町,,2021/06/14,2021/06/14,,,株式会社　アスコ,白羽　恵司,0562-33-5105,,,,,,,,豊橋市指令3豊保生第111－19号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,牛角豊橋大岩店0532-41-292911769823201,00246_44c74ab3-ac98-4ad7-a5c7-e741082f52ca,株式会社アスコ,6c45b42a-2081-4558-a488-ed357ad11062,ff915d30-c4c9-43f1-b58a-bb19dc6ee886,2021/06/14,牛角豊橋大岩店,牛角豊橋大岩店,株式会社アスコ
居酒屋　遊心,豊橋市飯村町字南池上１番地２１８,愛知県,豊橋市飯村町字南池上１番地２１８,,43-5553,飲食店営業(一般食堂・レストラン等),榊原　珠美,,,,2021/5/13,2021/5/13,豊橋市指令3豊保生第711－37号,,246,居酒屋　遊心,0532,0532-43-5553,,,,愛知県　豊橋市飯村町字南池上１番地２１８,愛知県豊橋市飯村町字南池上１番地２１８,,117676,23,23201,飯村町,,2021/05/13,2021/05/13,,,,榊原　珠美 ,,,,,,,,,豊橋市指令3豊保生第711－37号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,居酒屋遊心0532-43-555311767623201,00246_b2d1b386-12e6-4310-bae3-9b56ee343116,,personal,9981ca44-16e4-4e10-8cd6-19d6f20ba68e,2021/05/13,居酒屋　遊心,居酒屋遊心,
