11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
琉球村　ＨＡＲＡＰＥＫＫＯ,,904-0416,国頭郡恩納村山田１１３０,,098-965-1234  ,飲食店営業,その他,多幸山株式会社,098-965-1234  ,R04.07.07,R04.07.07,第03202200545号,,中部保健所,琉球村　ＨＡＲＡＰＥＫＫＯ,098,098-965-1234,904-0416,,,国頭郡恩納村山田１１３０,沖縄県国頭郡恩納村山田１１３０,,216165,沖縄県,国頭郡恩納村,山田,,2022/07/07,2022/07/07,,,多幸山株式会社,,098-965-1234  ,,,,,,,,第03202200545号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,琉球村　ＨＡＲＡＰＥＫＫＯ,琉球村ＨＡＲＡＰＥＫＫＯ,多幸山株式会社,,1,,,,,
アリエッティ,,904-0401,国頭郡恩納村名嘉真８４,,              ,飲食店営業,カフェー,岸本　真奈,,R04.07.07,R04.07.07,第03202200546号,,中部保健所,アリエッティ,098,,904-0401,,,国頭郡恩納村名嘉真８４,沖縄県国頭郡恩納村名嘉真８４,,216161,沖縄県,国頭郡恩納村,名嘉真,,2022/07/07,2022/07/07,,,,,,,,,,,,,第03202200546号,,飲食店営業, カフェー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,アリエッティ,アリエッティ,,,1,,,,,
ＮＩＮＪＡ　ＰＵＮＣＨ,,904-0116,中頭郡北谷町北谷２－２－８,,              ,飲食店営業,バー,古堅　千那人,,R04.07.08,R04.07.08,第03202200554号,,中部保健所,ＮＩＮＪＡ　ＰＵＮＣＨ,098,,904-0116,,,中頭郡北谷町北谷２－２－８,沖縄県中頭郡北谷町北谷２－２－８,,216293,沖縄県,中頭郡北谷町,北谷２,,2022/07/08,2022/07/08,,,,,,,,,,,,,第03202200554号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＮＩＮＪＡ　ＰＵＮＣＨ,ＮＩＮＪＡＰＵＮＣＨ,,,1,,,,,
８９ＣＯＦＦＥＥ,,904-0324,読谷村長浜８１９－２,,              ,菓子製造業,菓子製造業,安原　千景,,R04.07.08,R04.07.08,第03202200555号,,中部保健所,８９ＣＯＦＦＥＥ,098,,904-0324,,,読谷村長浜８１９－２,沖縄県中頭郡読谷村長浜８１９－２,,216358,沖縄県,中頭郡読谷村,長浜,,2022/07/08,2022/07/08,,,,,,,,,,,,,第03202200555号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,８９ＣＯＦＦＥＥ,８９ＣＯＦＦＥＥ,,,2,,,,,
８９ＣＯＦＦＥＥ,,904-0324,読谷村長浜８１９－２,,              ,飲食店営業,カフェー,安原　千景,,R04.07.08,R04.07.08,第03202200556号,,中部保健所,８９ＣＯＦＦＥＥ,098,,904-0324,,,読谷村長浜８１９－２,沖縄県中頭郡読谷村長浜８１９－２,,216358,沖縄県,中頭郡読谷村,長浜,,2022/07/08,2022/07/08,,,,,,,,,,,,,第03202200556号,,飲食店営業, カフェー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,８９ＣＯＦＦＥＥ,８９ＣＯＦＦＥＥ,,,2,,,,,
Ｓｅｖｅｎ　ｌｕｃｋｙ　ｇｏｄ,,904-2245,うるま市赤道１８－８,２階２０２号室,              ,飲食店営業,その他,高宮城　康平,,R04.07.11,R04.07.11,第03202200558号,,中部保健所,Ｓｅｖｅｎ　ｌｕｃｋｙ　ｇｏｄ,098,,904-2245,,,うるま市赤道１８－８,沖縄県うるま市赤道１８－８,２階２０２号室,216517,沖縄県,うるま市,赤道,,2022/07/11,2022/07/11,,,,,,,,,,,,,第03202200558号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｓｅｖｅｎ　ｌｕｃｋｙ　ｇｏｄ,Ｓｅｖｅｎｌｕｃｋｙｇｏｄ,,,1,,,,,
八琉茶屋,,904-2174,沖縄市与儀３－８－１０,,098-923-2458  ,菓子製造業,菓子製造業,株式会社Ｇｌｏｂａｌ,052-485-4713  ,R04.07.11,R04.07.11,第03202200559号,,中部保健所,八琉茶屋,098,098-923-2458,904-2174,,,沖縄市与儀３－８－１０,沖縄県沖縄市与儀３－８－１０,,215987,沖縄県,沖縄市,与儀３,,2022/07/11,2022/07/11,,,株式会社Ｇｌｏｂａｌ,,052-485-4713  ,,,,,,,,第03202200559号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,八琉茶屋,八琉茶屋,株式会社Ｇｌｏｂａｌ,,2,,,,,
八琉茶屋,,904-2174,沖縄市与儀３－８－１０,,098-923-2458  ,飲食店営業,その他,株式会社Ｇｌｏｂａｌ,052-485-4713  ,R04.07.11,R04.07.11,第03202200560号,,中部保健所,八琉茶屋,098,098-923-2458,904-2174,,,沖縄市与儀３－８－１０,沖縄県沖縄市与儀３－８－１０,,215987,沖縄県,沖縄市,与儀３,,2022/07/11,2022/07/11,,,株式会社Ｇｌｏｂａｌ,,052-485-4713  ,,,,,,,,第03202200560号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,八琉茶屋,八琉茶屋,株式会社Ｇｌｏｂａｌ,,2,,,,,
カラオケＢ１,,904-2173,沖縄市比屋根７－２０－３,ビアンビルＢ－１,              ,飲食店営業,カフェー,仲松　博,,R04.07.11,R04.07.11,第03202200561号,,中部保健所,カラオケＢ１,098,,904-2173,,,沖縄市比屋根７－２０－３,沖縄県沖縄市比屋根７－２０－３,ビアンビルＢ－１,215970,沖縄県,沖縄市,比屋根７,,2022/07/11,2022/07/11,,,,,,,,,,,,,第03202200561号,,飲食店営業, カフェー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,カラオケＢ１,カラオケＢ１,,,1,,,,,
麺と飯ソウハチヤ,,904-2172,沖縄市泡瀬５－２－１,,              ,飲食店営業,食堂,白鳥　拓論,,R04.07.11,R04.07.11,第03202200562号,,中部保健所,麺と飯ソウハチヤ,098,,904-2172,,,沖縄市泡瀬５－２－１,沖縄県沖縄市泡瀬５－２－１,,215947,沖縄県,沖縄市,泡瀬５,,2022/07/11,2022/07/11,,,,,,,,,,,,,第03202200562号,,飲食店営業, 食堂,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,麺と飯ソウハチヤ,麺と飯ソウハチヤ,,,1,,,,,
Ｅ＆Ｃ,,904-2311,うるま市勝連南風原１４４９－２０,,              ,飲食店営業,弁当屋,オズカン坂本千佳子,,R04.07.11,R04.07.11,第03202200563号,,中部保健所,Ｅ＆Ｃ,098,,904-2311,,,うるま市勝連南風原１４４９－２０,沖縄県うるま市勝連南風原１４４９－２０,,216049,沖縄県,うるま市,勝連南風原,,2022/07/11,2022/07/11,,,,,,,,,,,,,第03202200563号,,飲食店営業, 弁当屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｅ＆Ｃ,ＥＣ,,,1,,,,,
鮮魚店　北海,,        ,中頭郡北谷町北谷１－３－１,,              ,魚介類販売業,魚介類販売業,株式会社丸新水産,              ,R04.07.12,R04.07.12,第03202200566号,,中部保健所,鮮魚店　北海,098,,        ,,,中頭郡北谷町北谷１－３－１,沖縄県中頭郡北谷町北谷１－３－１,,216292,沖縄県,中頭郡北谷町,北谷１,,2022/07/12,2022/07/12,,,株式会社丸新水産,,-undefined-    ,,,,,,,,第03202200566号,,魚介類販売業, 魚介類販売業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,,,,,,,,,鮮魚店　北海,鮮魚店北海,株式会社丸新水産,,2,,,,,
鮮魚店　北海,,        ,中頭郡北谷町北谷１－３－１,,              ,飲食店営業,その他,株式会社丸新水産,              ,R04.07.12,R04.07.12,第03202200567号,,中部保健所,鮮魚店　北海,098,,        ,,,中頭郡北谷町北谷１－３－１,沖縄県中頭郡北谷町北谷１－３－１,,216292,沖縄県,中頭郡北谷町,北谷１,,2022/07/12,2022/07/12,,,株式会社丸新水産,,-undefined-    ,,,,,,,,第03202200567号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,鮮魚店　北海,鮮魚店北海,株式会社丸新水産,,2,,,,,
業務用食品スーパー北谷店,,904-0116,中頭郡北谷町北谷１－３－１,,              ,そうざい製造業,そうざい製造業,足立フーズ株式会社,098-892-4800  ,R04.07.12,R04.07.12,第03202200568号,,中部保健所,業務用食品スーパー北谷店,098,,904-0116,,,中頭郡北谷町北谷１－３－１,沖縄県中頭郡北谷町北谷１－３－１,,216292,沖縄県,中頭郡北谷町,北谷１,,2022/07/12,2022/07/12,,,足立フーズ株式会社,,098-892-4800  ,,,,,,,,第03202200568号,,そうざい製造業, そうざい製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,業務用食品スーパー北谷店,業務用食品スパ北谷店,足立フーズ株式会社,,1,,,,,
ゆくれ実,,904-0103,北谷町桑江５３８－７,,              ,飲食店営業,その他,玉城勝,,R04.07.12,R04.07.12,第03202200569号,,中部保健所,ゆくれ実,098,,904-0103,,,北谷町桑江５３８－７,沖縄県中頭郡北谷町桑江５３８－７,,216282,沖縄県,中頭郡北谷町,桑江,,2022/07/12,2022/07/12,,,,,,,,,,,,,第03202200569号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ゆくれ実,ゆくれ実,,,1,,,,,
洋食館　ククール,,        ,うるま市みどり町２－８－１（１Ｆ）,,              ,飲食店営業,レストラン,新里順,,R04.07.12,R04.07.12,第03202200573号,,中部保健所,洋食館　ククール,098,,        ,,,うるま市みどり町２－８－１（１Ｆ）,沖縄県うるま市みどり町２－８－１（１Ｆ）,,216059,沖縄県,うるま市,みどり町２,,2022/07/12,2022/07/12,,,,,,,,,,,,,第03202200573号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,洋食館　ククール,洋食館ククル,,,1,,,,,
天ぷらの店　すず,,904-1106,うるま市石川２－３－３,,098-964-3503  ,飲食店営業,食堂,石川カズ子,,R04.07.12,R04.07.12,第03202200574号,,中部保健所,天ぷらの店　すず,098,098-964-3503,904-1106,,,うるま市石川２－３－３,沖縄県うるま市石川２－３－３,,216027,沖縄県,うるま市,石川２,,2022/07/12,2022/07/12,,,,,,,,,,,,,第03202200574号,,飲食店営業, 食堂,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,天ぷらの店　すず,天ぷらの店すず,,,1,,,,,
Ｓｔａｔｉｏｎ　３　ＣＢＤ,,904-0116,中頭郡北谷町北谷２－１３－３,,              ,菓子製造業,菓子製造業,与那嶺　タナンダ,,R04.07.13,R04.07.13,第03202200576号,,中部保健所,Ｓｔａｔｉｏｎ　３　ＣＢＤ,098,,904-0116,,,中頭郡北谷町北谷２－１３－３,沖縄県中頭郡北谷町北谷２－１３－３,,216293,沖縄県,中頭郡北谷町,北谷２,,2022/07/13,2022/07/13,,,,,,,,,,,,,第03202200576号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｓｔａｔｉｏｎ　３　ＣＢＤ,Ｓｔａｔｉｏｎ３ＣＢＤ,,,1,,,,,
ＳＩＲＩＵＳ,,904-2172,沖縄市泡瀬３－２－３,カルスビル２Ｆ,              ,飲食店営業,その他,宮城　陸人,,R04.07.13,R04.07.13,第03202200578号,,中部保健所,ＳＩＲＩＵＳ,098,,904-2172,,,沖縄市泡瀬３－２－３,沖縄県沖縄市泡瀬３－２－３,カルスビル２Ｆ,215945,沖縄県,沖縄市,泡瀬３,,2022/07/13,2022/07/13,,,,,,,,,,,,,第03202200578号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＳＩＲＩＵＳ,ＳＩＲＩＵＳ,,,1,,,,,
ｉｌｌｅｇａｌ　Ｂａｒ　Ｈａｓｕｒａ,,904-0031,沖縄市上地１－１３－１４,バビロンビル５０３号,              ,飲食店営業,バー,池味　治輝,,R04.07.13,R04.07.13,第03202200579号,,中部保健所,ｉｌｌｅｇａｌ　Ｂａｒ　Ｈａｓｕｒａ,098,,904-0031,,,沖縄市上地１－１３－１４,沖縄県沖縄市上地１－１３－１４,バビロンビル５０３号,215971,沖縄県,沖縄市,上地１,,2022/07/13,2022/07/13,,,,,,,,,,,,,第03202200579号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｉｌｌｅｇａｌ　Ｂａｒ　Ｈａｓｕｒａ,ｉｌｌｅｇａｌＢａｒＨａｓｕｒａ,,,1,,,,,
ｍｏっといい日に,,904-2155,沖縄市美原４－１４－２１,１Ｆ－Ｂ,              ,飲食店営業,その他,比嘉舞,,R04.07.14,R04.07.14,第03202200585号,,中部保健所,ｍｏっといい日に,098,,904-2155,,,沖縄市美原４－１４－２１,沖縄県沖縄市美原４－１４－２１,１Ｆ－Ｂ,215984,沖縄県,沖縄市,美原４,,2022/07/14,2022/07/14,,,,,,,,,,,,,第03202200585号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｍｏっといい日に,ｍｏっといい日に,,,1,,,,,
Ｒａｉｎｂｏｗ,,904-0022,沖縄市園田３－１－２２,園田ビル６Ｆ,              ,飲食店営業,その他,長田利恵,,R04.07.14,R04.07.14,第03202200586号,,中部保健所,Ｒａｉｎｂｏｗ,098,,904-0022,,,沖縄市園田３－１－２２,沖縄県沖縄市園田３－１－２２,園田ビル６Ｆ,215930,沖縄県,沖縄市,園田３,,2022/07/14,2022/07/14,,,,,,,,,,,,,第03202200586号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｒａｉｎｂｏｗ,Ｒａｉｎｂｏｗ,,,1,,,,,
琉花,,        ,沖縄市照屋１－６－８,頂店舗１０１号室,              ,飲食店営業,バー,仲宗根あずさ,,R04.07.14,R04.07.14,第03202200587号,,中部保健所,琉花,098,,        ,,,沖縄市照屋１－６－８,沖縄県沖縄市照屋１－６－８,頂店舗１０１号室,215880,沖縄県,沖縄市,照屋１,,2022/07/14,2022/07/14,,,,,,,,,,,,,第03202200587号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,琉花,琉花,,,1,,,,,
Ｏｍｏｉｍｏイオン具志川店,,904-2235,うるま市前原幸﨑原３０３,,              ,飲食店営業,その他,南西食品株式会社,0980-52-2066  ,R04.07.14,R04.07.14,第03202200588号,,中部保健所,Ｏｍｏｉｍｏイオン具志川店,098,,904-2235,,,うるま市前原幸﨑原３０３,沖縄県うるま市前原幸﨑原３０３,,216496,沖縄県,うるま市,前原,,2022/07/14,2022/07/14,,,南西食品株式会社,,0980-52-2066  ,,,,,,,,第03202200588号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｏｍｏｉｍｏイオン具志川店,Ｏｍｏｉｍｏイオン具志川店,南西食品株式会社,,1,,,,,
ＯＫＩＮＡＷＡ　８８０　Ｌａｂ,,904-2165,沖縄市宮里１－１６－５,,              ,食品の小分け業,食品の小分け,砂川美和,,R04.07.14,R04.07.14,第03202200589号,,中部保健所,ＯＫＩＮＡＷＡ　８８０　Ｌａｂ,098,,904-2165,,,沖縄市宮里１－１６－５,沖縄県沖縄市宮里１－１６－５,,215938,沖縄県,沖縄市,宮里１,,2022/07/14,2022/07/14,,,,,,,,,,,,,第03202200589号,,食品の小分け業, 食品の小分け,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食料・飲料卸売業,その他の食料・飲料卸売業,,,,,,,ＯＫＩＮＡＷＡ　８８０　Ｌａｂ,ＯＫＩＮＡＷＡ８８０Ｌａｂ,,,2,,,,,
知らんけど,,904-0116,中頭郡北谷町北谷２－１６－５,,              ,飲食店営業,食堂,笹野明雄,,R04.07.19,R04.07.19,第03202200590号,,中部保健所,知らんけど,098,,904-0116,,,中頭郡北谷町北谷２－１６－５,沖縄県中頭郡北谷町北谷２－１６－５,,216293,沖縄県,中頭郡北谷町,北谷２,,2022/07/19,2022/07/19,,,,,,,,,,,,,第03202200590号,,飲食店営業, 食堂,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,知らんけど,知らんけど,,,1,,,,,
ヨルノカゼ,,        ,沖縄市高原３－７－５　１Ｆ,,098-987-8141  ,飲食店営業,居酒屋,大谷修司,,R04.07.19,R04.07.19,第03202200591号,,中部保健所,ヨルノカゼ,098,098-987-8141,        ,,,沖縄市高原３－７－５　１Ｆ,沖縄県沖縄市高原３－７－５１Ｆ,,215954,沖縄県,沖縄市,高原３,,2022/07/19,2022/07/19,,,,,,,,,,,,,第03202200591号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ヨルノカゼ,ヨルノカゼ,,,1,,,,,
琉球ｄｉｎｉｎｇ島じょーぐー,,904-0032,沖縄市諸見里１丁目３－６,,              ,飲食店営業,その他,玉城正巳,,R04.07.19,R04.07.19,第03202200592号,,中部保健所,琉球ｄｉｎｉｎｇ島じょーぐー,098,,904-0032,,,沖縄市諸見里１丁目３－６,沖縄県沖縄市諸見里１丁目３－６,,215901,沖縄県,沖縄市,諸見里１,,2022/07/19,2022/07/19,,,,,,,,,,,,,第03202200592号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,琉球ｄｉｎｉｎｇ島じょーぐー,琉球ｄｉｎｉｎｇ島じょぐ,,,1,,,,,
ネオパーラーくらね,,904-2244,うるま市江洲６２３－２,,              ,飲食店営業,居酒屋,藏根美保,,R04.07.19,R04.07.19,第03202200593号,,中部保健所,ネオパーラーくらね,098,,904-2244,,,うるま市江洲６２３－２,沖縄県うるま市江洲６２３－２,,216498,沖縄県,うるま市,江洲,,2022/07/19,2022/07/19,,,,,,,,,,,,,第03202200593号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ネオパーラーくらね,ネオパラくらね,,,1,,,,,
±零,,        ,宜野湾市真志喜３－１３－１７,（２０１）,              ,飲食店営業,居酒屋,知花昌範,,R04.07.20,R04.07.20,第03202200604号,,中部保健所,±零,098,,        ,,,宜野湾市真志喜３－１３－１７,沖縄県宜野湾市真志喜３－１３－１７,（２０１）,215610,沖縄県,宜野湾市,真志喜３,,2022/07/20,2022/07/20,,,,,,,,,,,,,第03202200604号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,±零,零,,,1,,,,,
ＢＯＬＬＹＷＯＯＤ　ＤＲＥＡＭＳ,（ボリウッドドリームス）,904-0115,北谷町美浜９－１,デポアイランドＡ棟２Ｆ,098-926-0977  ,飲食店営業,レストラン,ＦＩＶＥ　ＳＴＡＲＳ　株式会社,098-926-0977  ,R04.07.20,R04.07.20,第03202200605号,,中部保健所,ＢＯＬＬＹＷＯＯＤ　ＤＲＥＡＭＳ,098,098-926-0977,904-0115,,,北谷町美浜９－１,沖縄県中頭郡北谷町美浜９－１,デポアイランドＡ棟２Ｆ,216290,沖縄県,中頭郡北谷町,美浜,,2022/07/20,2022/07/20,,,ＦＩＶＥ　ＳＴＡＲＳ　株式会社,,098-926-0977  ,,,,,,,,第03202200605号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＯＬＬＹＷＯＯＤ　ＤＲＥＡＭＳ,ＢＯＬＬＹＷＯＯＤＤＲＥＡＭＳ,ＦＩＶＥ　ＳＴＡＲＳ株式会社,,1,,,,,
ＢＡＲ＃Ｋ,,901-2214,宜野湾市我如古４－６－５,エンゼルＢＬＤ２Ｆ,              ,飲食店営業,バー,蔵元雄次,,R04.07.20,R04.07.20,第03202200611号,,中部保健所,ＢＡＲ＃Ｋ,098,,901-2214,,,宜野湾市我如古４－６－５,沖縄県宜野湾市我如古４－６－５,エンゼルＢＬＤ２Ｆ,215576,沖縄県,宜野湾市,我如古４,,2022/07/20,2022/07/20,,,,,,,,,,,,,第03202200611号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＡＲ＃Ｋ,ＢＡＲＫ,,,1,,,,,
ｃａｆｅ　ｂａｒ　ミントカフェ東山,,904-1101,うるま市石川東山本町１－３－１,,098-923-1355  ,飲食店営業,バー,株式会社ＨＥＹＳ,              ,R04.07.20,R04.07.20,第03202200612号,,中部保健所,ｃａｆｅ　ｂａｒ　ミントカフェ東山,098,098-923-1355,904-1101,,,うるま市石川東山本町１－３－１,沖縄県うるま市石川東山本町１－３－１,,216033,沖縄県,うるま市,石川東山本町１,,2022/07/20,2022/07/20,,,株式会社ＨＥＹＳ,,-undefined-    ,,,,,,,,第03202200612号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｃａｆｅ　ｂａｒ　ミントカフェ東山,ｃａｆｅｂａｒミントカフェ東山,株式会社ＨＥＹＳ,,1,,,,,
Ａｎｊｕｒｕ,,904-2221,うるま市平良川１１４－３,喜納ビル２０２号,              ,飲食店営業,バー,上原麻美,,R04.07.20,R04.07.20,第03202200614号,,中部保健所,Ａｎｊｕｒｕ,098,,904-2221,,,うるま市平良川１１４－３,沖縄県うるま市平良川１１４－３,喜納ビル２０２号,216500,沖縄県,うるま市,平良川,,2022/07/20,2022/07/20,,,,,,,,,,,,,第03202200614号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ａｎｊｕｒｕ,Ａｎｊｕｒｕ,,,1,,,,,
ファミリーマート具志川江洲店,,904-2244,うるま市江洲２１０４－１,,098-974-9707  ,飲食店営業,そうざい,新垣幸男,,R04.07.20,R04.07.20,第03202200615号,,中部保健所,ファミリーマート具志川江洲店,098,098-974-9707,904-2244,,,うるま市江洲２１０４－１,沖縄県うるま市江洲２１０４－１,,216498,沖縄県,うるま市,江洲,,2022/07/20,2022/07/20,,,,,,,,,,,,,第03202200615号,,飲食店営業, そうざい,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート具志川江洲店,ファミリマト具志川江洲店,,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
雅,,904-2171,沖縄市高原４－１８－１５,,              ,飲食店営業,スナック,米須由美子,,R04.07.20,R04.07.20,第03202200618号,,中部保健所,雅,098,,904-2171,,,沖縄市高原４－１８－１５,沖縄県沖縄市高原４－１８－１５,,215955,沖縄県,沖縄市,高原４,,2022/07/20,2022/07/20,,,,,,,,,,,,,第03202200618号,,飲食店営業, スナック,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,雅,雅,,,1,,,,,
小料理店　くりや,,904-1303,宜野座村惣慶１７１８,,098-968-3250  ,飲食店営業,居酒屋,仲原正,,R04.07.20,R04.07.20,第03202200620号,,中部保健所,小料理店　くりや,098,098-968-3250,904-1303,,,宜野座村惣慶１７１８,沖縄県国頭郡宜野座村惣慶１７１８,,216174,沖縄県,国頭郡宜野座村,惣慶,,2022/07/20,2022/07/20,,,,,,,,,,,,,第03202200620号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,小料理店　くりや,小料理店くりや,,,1,,,,,
Ｐａｒｌｏｒ　Ｚｏｏ,,904-0117,北谷町北前２５５－７,,              ,菓子製造業,菓子製造業,瀬名波瑞乃,,R04.07.21,R04.07.21,第03202200622号,,中部保健所,Ｐａｒｌｏｒ　Ｚｏｏ,098,,904-0117,,,北谷町北前２５５－７,沖縄県中頭郡北谷町北前２５５－７,,216281,沖縄県,中頭郡北谷町,北前,,2022/07/21,2022/07/21,,,,,,,,,,,,,第03202200622号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｐａｒｌｏｒ　Ｚｏｏ,ＰａｒｌｏｒＺｏｏ,,,2,,,,,
Ｐａｒｌｏｒ　Ｚｏｏ,,904-0117,中頭郡北谷町北前２５５－７,,              ,飲食店営業,パーラー,瀬名波瑞乃,,R04.07.21,R04.07.21,第03202200623号,,中部保健所,Ｐａｒｌｏｒ　Ｚｏｏ,098,,904-0117,,,中頭郡北谷町北前２５５－７,沖縄県中頭郡北谷町北前２５５－７,,216281,沖縄県,中頭郡北谷町,北前,,2022/07/21,2022/07/21,,,,,,,,,,,,,第03202200623号,,飲食店営業, パーラー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｐａｒｌｏｒ　Ｚｏｏ,ＰａｒｌｏｒＺｏｏ,,,2,,,,,
