https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,業態,施設名,施設-住所1,施設-マンション名,申請者1,申請-住所1,申請-マンション名,施設-電話番号1,申請-電話番号1,許可期間開始日,許可期間終了日,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,営業の種類,細業種,施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業者住所ビル名,施設電話番号,営業者電話番号,有効期間始期,有効期間終期,施行年月日,初回施行日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3瀬保第911-146号,飲食店営業,その他,クラブ ココ,東郷町大字春木字勘右衛門新田１－１,,有限会社神の倉,愛知県名古屋市緑区赤松７１６,,0561-38-4418,052-879-3341,2022/01/01,2027/12/31,2021/12/01,2021/12/01,,250,クラブ ココ,0561,0561-38-4418,,,,東郷町大字春木字勘右衛門新田１－１,愛知県愛知郡東郷町春木字勘右衛門新田１－１,,134407,23,23302,春木,,2021/12/01,2021/12/01,2022/01/01,2027/12/31,有限会社神の倉,,052-879-3341,愛知県名古屋市緑区赤松７１６,愛知県名古屋市緑区赤松７１６,,117281,愛知県,名古屋市緑区,赤松,3瀬保第911-146号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,クラブココ0561-38-441813440723302,5f63468c-4bb6-4b47-9d01-3c6dc895088d,有限会社神の倉117281,ddd82cf2-8ede-416a-9cee-70d74522f77c,a17f454e-9798-4684-adea-236437c4643a,2021/12/01,クラブ　ココ,クラブココ,有限会社神の倉
3瀬保第911-145号,飲食店営業,一般食堂・レストラン等,喫茶・男鹿,東郷町大字春木字上ノ畑１００３,,野々山 十三子,,,0561-38-0651,,2022/01/01,2026/12/31,2021/12/01,2021/12/01,,250,喫茶・男鹿,0561,0561-38-0651,,,,東郷町大字春木字上ノ畑１００３,愛知県愛知郡東郷町春木字上ノ畑１００３,,134407,23,23302,春木,,2021/12/01,2021/12/01,2022/01/01,2026/12/31,,野々山 十三子,,,,,,,,,3瀬保第911-145号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,喫茶男鹿0561-38-065113440723302,20516fe9-3999-4e80-b96b-2fdd3113a9ab,,personal,e8f9d403-562e-4aed-b4af-227ffc53cc3c,2021/12/01,喫茶・男鹿,喫茶男鹿,
3瀬保第911-151号,飲食店営業,一般食堂・レストラン等,コメダ珈琲東郷春木店,東郷町大字春木字新池３９１７－４,,株式会社ウィステリア,愛知県愛知郡東郷町大字春木字新池３９１７－４,,0561-38-5668,0561-38-5668,2022/01/01,2027/12/31,2021/12/01,2021/12/01,,250,コメダ珈琲東郷春木店,0561,0561-38-5668,,,,東郷町大字春木字新池３９１７－４,愛知県愛知郡東郷町春木字新池３９１７－４,,134407,23,23302,春木,,2021/12/01,2021/12/01,2022/01/01,2027/12/31,株式会社ウィステリア,,0561-38-5668,愛知県愛知郡東郷町大字春木字新池３９１７－４,愛知県愛知郡東郷町春木字新池３９１７－４,,134407,愛知県,愛知郡東郷町,春木,3瀬保第911-151号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,コメダ珈琲東郷春木店0561-38-566813440723302,c8d4130f-e156-420b-83f8-fdbeacf172ee,株式会社ウィステリア134407,a47ee7e5-c11a-43f2-84b8-e52787fb19fe,6b141bb5-ca98-4861-bb2d-6cc7f6325deb,2021/12/01,コメダ珈琲東郷春木店,コメダ珈琲東郷春木店,株式会社ウィステリア
3瀬保第911-144号,飲食店営業,一般食堂・レストラン等,カラオケ喫茶 らん,東郷町大字春木字清水３９５３－８６,,板東 美智子,,,0561-42-4256,,2022/01/01,2027/12/31,2021/12/01,2021/12/01,,250,カラオケ喫茶 らん,0561,0561-42-4256,,,,東郷町大字春木字清水３９５３－８６,愛知県愛知郡東郷町春木字清水３９５３－８６,,134407,23,23302,春木,,2021/12/01,2021/12/01,2022/01/01,2027/12/31,,板東 美智子,,,,,,,,,3瀬保第911-144号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,カラオケ喫茶らん0561-42-425613440723302,06213bf1-eece-404f-8cc0-3e404ab3e378,,personal,b0dc4ccf-e1c0-4589-89f5-696fff811756,2021/12/01,カラオケ喫茶　らん,カラオケ喫茶らん,
3瀬保第901-107号,飲食店営業,その他,パンと庭,東郷町大字春木字野渕１８－１,,住工房株式会社,愛知県愛知郡東郷町大字春木字野渕１６－１,,,0561-38-7567,2021/12/08,2027/12/31,2021/12/08,2021/12/08,,250,パンと庭,0561,,,,,東郷町大字春木字野渕１８－１,愛知県愛知郡東郷町春木字野渕１８－１,,134407,23,23302,春木,,2021/12/08,2021/12/08,2021/12/08,2027/12/31,住工房株式会社,,0561-38-7567,愛知県愛知郡東郷町大字春木字野渕１６－１,愛知県愛知郡東郷町春木字野渕１６－１,,134407,愛知県,愛知郡東郷町,春木,3瀬保第901-107号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,パンと庭13440723302,0696d96f-9054-4c53-b254-1ab83de74cc5,住工房株式会社134407,f8281f97-529e-4247-b037-58f213c859cb,02e03318-658d-4ddb-817f-ddfde6ddcae6,2021/12/08,パンと庭,パンと庭,住工房株式会社
3瀬保第904-27号,菓子製造業,一般,パンと庭,東郷町大字春木字野渕１８－１,,住工房株式会社,愛知県愛知郡東郷町大字春木字野渕１６－１,,,0561-38-7567,2021/12/08,2027/12/31,2021/12/08,2021/12/08,,250,パンと庭,0561,,,,,東郷町大字春木字野渕１８－１,愛知県愛知郡東郷町春木字野渕１８－１,,134407,23,23302,春木,,2021/12/08,2021/12/08,2021/12/08,2027/12/31,住工房株式会社,,0561-38-7567,愛知県愛知郡東郷町大字春木字野渕１６－１,愛知県愛知郡東郷町春木字野渕１６－１,,134407,愛知県,愛知郡東郷町,春木,3瀬保第904-27号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,パンと庭13440723302,0696d96f-9054-4c53-b254-1ab83de74cc5,住工房株式会社134407,f8281f97-529e-4247-b037-58f213c859cb,90eaf487-c1d8-433c-b8ec-4c4ea2b8fb8f,2021/12/08,パンと庭,パンと庭,住工房株式会社
3瀬保第911-143号,飲食店営業,一般食堂・レストラン等,３ｐｉｅｃｅ,東郷町春木台４－１１－１０,,冨田 真沙子,,,0561-58-6437,,2022/01/01,2026/12/31,2021/12/01,2021/12/01,,250,３ｐｉｅｃｅ,0561,0561-58-6437,,,,東郷町春木台４－１１－１０,愛知県愛知郡東郷町春木台４－１１－１０,,134413,23,23302,春木台４,,2021/12/01,2021/12/01,2022/01/01,2026/12/31,,冨田 真沙子,,,,,,,,,3瀬保第911-143号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,３ｐｉｅｃｅ0561-58-643713441323302,c2d74b01-6c72-478b-9d9f-ab6321214aa9,,personal,d7ad6db4-c53a-4107-bcb4-ba57d27b2171,2021/12/01,３ｐｉｅｃｅ,３ｐｉｅｃｅ,
3瀬保第901-51号,飲食店営業,その他,セブンイレブン東郷町和合北蚊谷店,東郷町大字和合字北蚊谷２２７－３,,石川 達生,,,0561-39-0288,,2021/12/06,2027/12/31,2021/12/06,2021/12/06,,250,セブンイレブン東郷町和合北蚊谷店,0561,0561-39-0288,,,,東郷町大字和合字北蚊谷２２７－３,愛知県愛知郡東郷町和合字北蚊谷２２７－３,,134409,23,23302,和合,,2021/12/06,2021/12/06,2021/12/06,2027/12/31,,石川 達生,,,,,,,,,3瀬保第901-51号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,セブンイレブン東郷町和合北蚊谷店0561-39-028813440923302,3cbe82f0-6223-456b-a020-046e1ec61137,,personal,8fe68771-1882-4fbe-842b-8df53adf972a,2021/12/06,セブンイレブン東郷町和合北蚊谷店,セブンイレブン東郷町和合北蚊谷店,
3瀬保第901-120号,飲食店営業,一般食堂・レストラン等,すなっく梓,東郷町和合ジ子ンゴ３３－１,,安田 美幸,,,0561-38-2520,,2022/01/04,2028/01/31,2021/12/28,2021/12/28,,250,すなっく梓,0561,0561-38-2520,,,,東郷町和合ジ子ンゴ３３－１,愛知県愛知郡東郷町和合ジ子ンゴ３３－１,,134409,23,23302,和合,,2021/12/28,2021/12/28,2022/01/04,2028/01/31,,安田 美幸,,,,,,,,,3瀬保第901-120号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,すなっく梓0561-38-252013440923302,6abb75ae-0fdf-42e7-9bfd-a9f13c667187,,personal,a3649f7d-53e0-4734-81e6-84057104fa50,2021/12/28,すなっく梓,すなっく梓,
3瀬保第914-18号,菓子製造業,一般,亀吉雅,東郷町和合ケ丘１－３－１０,,日比 雅己,,,0561-38-1824,,2022/02/01,2028/01/31,2021/12/28,2021/12/28,,250,亀吉雅,0561,0561-38-1824,,,,東郷町和合ケ丘１－３－１０,愛知県愛知郡東郷町和合が丘１－３－１０,,134409,23,23302,和合,,2021/12/28,2021/12/28,2022/02/01,2028/01/31,,日比 雅己,,,,,,,,,3瀬保第914-18号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,亀吉雅0561-38-182413440923302,2798875f-d26c-462b-bfbc-c1974776e0dc,,personal,851f9055-53f8-49ad-a1b5-9b640ba02e67,2021/12/28,亀吉雅,亀吉雅,
3清保第641-86号,飲食店営業,その他,ｃａｆｅ 箜羅,豊山町大字青山字高添９０－１,,小出 武,,,0569-29-2221,,2022/04/01,2028/03/31,2021/12/27,2021/12/27,,259,ｃａｆｅ 箜羅,0568,0569-29-2221,,,,豊山町大字青山字高添９０－１,愛知県西春日井郡豊山町青山字高添９０－１,,134454,23,23342,青山,,2021/12/27,2021/12/27,2022/04/01,2028/03/31,,小出 武,,,,,,,,,3清保第641-86号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ｃａｆｅ箜羅0569-29-222113445423342,bcd8818c-eb4a-4b9f-bbf0-3ea328d623bb,,personal,6b46b650-8cef-4c1d-bfaa-cae0c3efb6b3,2021/12/27,ｃａｆｅ　箜羅,ｃａｆｅ箜羅,
3清保第641-94号,飲食店営業,その他,松屋 豊山店,豊山町大字豊場字栄８１,,株式会社松屋フーズ,東京都武蔵野市中町１－１４－５,,0568-39-1800,03-3904-2857,2022/04/01,2028/03/31,2021/12/27,2021/12/27,,259,松屋 豊山店,0568,0568-39-1800,,,,豊山町大字豊場字栄８１,愛知県西春日井郡豊山町豊場字栄８１,,134455,23,23342,豊場,,2021/12/27,2021/12/27,2022/04/01,2028/03/31,株式会社松屋フーズ,,03-3904-2857,東京都武蔵野市中町１－１４－５,東京都武蔵野市中町１－１４－５,,76309,東京都,武蔵野市,中町１,3清保第641-94号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,松屋豊山店0568-39-180013445523342,3c9437ce-373e-40f6-b4a6-d9771f09690c,株式会社松屋フーズ76309,051a3f7d-be27-48ea-9c07-99447c1da8c7,ac11804f-d502-4e9b-9b5a-460e46dd26e9,2021/12/27,松屋　豊山店,松屋豊山店,株式会社松屋フーズ
3清保第641-84号,飲食店営業,その他,米乃家,豊山町大字豊場字幸田１９７－１,ヨシヅヤ豊山店内１F,株式会社 米乃家,愛知県名古屋市千種区内山２－１６－２０,リックスビル２F,,052-733-7880,2022/02/01,2028/01/31,2021/12/27,2021/12/27,,259,米乃家,0568,,,,,豊山町大字豊場字幸田１９７－１,愛知県西春日井郡豊山町豊場字幸田１９７－１,ヨシヅヤ豊山店内１F,134455,23,23342,豊場,,2021/12/27,2021/12/27,2022/02/01,2028/01/31,株式会社 米乃家,,052-733-7880,愛知県名古屋市千種区内山２－１６－２０,愛知県名古屋市千種区内山２－１６－２０,リックスビル２F,113772,愛知県,名古屋市千種区,内山２,3清保第641-84号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,米乃家13445523342,8b72d153-ae51-4e4d-8638-0710d14d453e,株式会社米乃家113772,0163af97-3f92-4477-b5ad-0a9ab23c543b,e215a735-05e6-4e33-8b7f-c3c608b33e18,2021/12/27,米乃家,米乃家,株式会社米乃家
3清保第641-85号,飲食店営業,一般食堂・レストラン等,有限会社 松阪亭 三澤,豊山町大字豊場字高前１５,,有限会社松阪亭 三澤,愛知県西春日井郡豊山町大字豊場字高前１５,,28-4129,28-4129,2022/04/01,2028/03/31,2021/12/27,2021/12/27,,259,有限会社 松阪亭 三澤,0568,0568-28-4129,,,,豊山町大字豊場字高前１５,愛知県西春日井郡豊山町豊場字高前１５,,134455,23,23342,豊場,,2021/12/27,2021/12/27,2022/04/01,2028/03/31,有限会社松阪亭 三澤,,0568-28-4129,愛知県西春日井郡豊山町大字豊場字高前１５,愛知県西春日井郡豊山町豊場字高前１５,,134455,愛知県,西春日井郡豊山町,豊場,3清保第641-85号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,有限会社松阪亭三澤0568-28-412913445523342,eb2406ae-ae47-4e15-8e69-dbc29553fa4f,有限会社松阪亭　三澤134455,992023dd-00b8-4508-8115-9e4af5e68d96,eb282099-e5e5-4140-b526-42669b149a4f,2021/12/27,有限会社松阪亭　三澤,有限会社松阪亭三澤,有限会社松阪亭　三澤
3清保第641-103号,飲食店営業,その他,喫茶一陽,豊山町大字豊場字八反１０７,,立石 博子,,,052-903-5362,,2022/03/01,2028/02/29,2021/12/22,2021/12/22,,259,喫茶一陽,0568,052-903-5362,,,,豊山町大字豊場字八反１０７,愛知県西春日井郡豊山町豊場字八反１０７,,134455,23,23342,豊場,,2021/12/22,2021/12/22,2022/03/01,2028/02/29,,立石 博子,,,,,,,,,3清保第641-103号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,喫茶一陽052-903-536213445523342,ad0cd40f-f67e-4dae-85ab-d5289bbdf6ca,,personal,3577a409-41db-46ed-8888-addb0e661e7a,2021/12/22,喫茶一陽,喫茶一陽,
3清保第661-1号,冷凍食品製造業,,大仙産業株式会社 豊山調理センター,豊山町大字豊場字八反１４１－１,,大仙産業株式会社,愛知県清須市春日夢の森１－１８,,0568-28-1300,052-400-6300,2022/02/01,2028/01/31,2021/12/28,2021/12/28,,259,大仙産業株式会社 豊山調理センター,0568,0568-28-1300,,,,豊山町大字豊場字八反１４１－１,愛知県西春日井郡豊山町豊場字八反１４１－１,,134455,23,23342,豊場,,2021/12/28,2021/12/28,2022/02/01,2028/01/31,大仙産業株式会社,,052-400-6300,愛知県清須市春日夢の森１－１８,愛知県清須市春日夢ノ森１－１８,,132016,愛知県,清須市,春日夢の森,3清保第661-1号,,冷凍食品製造業,,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,大仙産業株式会社豊山調理センタ0568-28-130013445523342,e72f0229-6a20-4662-9c58-f99cfce659b9,大仙産業株式会社132016,7afbbcdd-a813-44ae-bf9a-c33ec8d1b405,ded6bef2-abe1-45f3-8039-617c3606870f,2021/12/28,大仙産業株式会社豊山調理センター,大仙産業株式会社豊山調理センタ,大仙産業株式会社
3清保第641-83号,飲食店営業,その他,食味家 たらち根,豊山町大字豊場字冨士１０,,瀬戸山 洋子,,,0568-29-1588,,2022/04/01,2028/03/31,2021/12/22,2021/12/22,,259,食味家 たらち根,0568,0568-29-1588,,,,豊山町大字豊場字冨士１０,愛知県西春日井郡豊山町豊場字冨士１０,,134455,23,23342,豊場,,2021/12/22,2021/12/22,2022/04/01,2028/03/31,,瀬戸山 洋子,,,,,,,,,3清保第641-83号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,食味家たらち根0568-29-158813445523342,263ef98e-3fd8-4763-8406-4e5bd257e400,,personal,366017dd-b0c2-4635-bcb0-1f600f99e36b,2021/12/22,食味家　たらち根,食味家たらち根,
3清保第648-11号,菓子製造業,一般,株式会社 駒平キウブ商事 中部工場,豊山町大字豊場字流川１４０,,株式会社駒平キウブ商事,愛知県名古屋市中区錦３－８－７,,0568-29-2002,052-971-2112,2022/02/01,2028/01/31,2021/12/27,2021/12/27,,259,株式会社 駒平キウブ商事 中部工場,0568,0568-29-2002,,,,豊山町大字豊場字流川１４０,愛知県西春日井郡豊山町豊場字流川１４０,,134455,23,23342,豊場,,2021/12/27,2021/12/27,2022/02/01,2028/01/31,株式会社駒平キウブ商事,,052-971-2112,愛知県名古屋市中区錦３－８－７,愛知県名古屋市中区錦３－８－７,,114880,愛知県,名古屋市中区,錦３,3清保第648-11号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,株式会社駒平キウブ商事中部工場0568-29-200213445523342,ac3c1f0f-f297-4755-a437-9ce385918f0d,株式会社駒平キウブ商事114880,f8a8aa23-2e19-40f4-985d-760dac276184,c5c561d6-da88-4146-bb0f-218e258976b4,2021/12/27,株式会社駒平キウブ商事　中部工場,株式会社駒平キウブ商事中部工場,株式会社駒平キウブ商事
3清保第641-96号,飲食店営業,集団給食施設,日本ゼネラルフード（１０９３－２）事業所,豊山町大字豊場字幟立地内,ＭＲＪ組立工場食堂,日本ゼネラルフード株式会社,愛知県名古屋市中区千代田五丁目７番５号,,,052-243-6111,2022/03/01,2028/02/29,2021/12/22,2021/12/22,,259,日本ゼネラルフード（１０９３－２）事業所,0568,,,,,豊山町大字豊場字幟立地内,愛知県西春日井郡豊山町豊場字幟立地内,ＭＲＪ組立工場食堂,134455,23,23342,豊場,,2021/12/22,2021/12/22,2022/03/01,2028/02/29,日本ゼネラルフード株式会社,,052-243-6111,愛知県名古屋市中区千代田五丁目７番５号,愛知県名古屋市中区千代田５丁目７番５号,,114877,愛知県,名古屋市中区,千代田５,3清保第641-96号,,飲食店営業, 集団給食施設,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,日本ゼネラルフド１０９３２事業所13445523342,bb303b33-dac5-4d5f-ae3c-19532c79027f,日本ゼネラルフード株式会社114877,fb9be81a-677f-40ad-bf21-d3e80c11cfe4,2a6ffcdc-6473-47f7-ae95-ffed0980e464,2021/12/22,日本ゼネラルフード（１０９３－２）事業所,日本ゼネラルフド１０９３２事業所,日本ゼネラルフード株式会社
3江保第1-136号,飲食店営業,簡易な営業,ローソン大口上小口二丁目店,大口町上小口２丁目１１４番地１,,株式会社柊樟,愛知県一宮市伝法寺四丁目４番地５,,0587-94-1140,0586-27-4822,2021/12/03,2027/12/31,2021/12/03,2021/12/03,,256,ローソン大口上小口二丁目店,0587,0587-94-1140,,,,大口町上小口２丁目１１４番地１,愛知県丹羽郡大口町上小口２丁目１１４番地１,,134473,23,23361,上小口２,,2021/12/03,2021/12/03,2021/12/03,2027/12/31,株式会社柊樟,,0586-27-4822,愛知県一宮市伝法寺四丁目４番地５,愛知県一宮市伝法寺４丁目４番地５,,118958,愛知県,一宮市,伝法寺４,3江保第1-136号,,飲食店営業, 簡易な営業,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ロソン大口上小口二丁目店0587-94-114013447323361,29c7d05d-ff67-4f3d-bd70-3fd9219e35b6,株式会社柊樟118958,da9eba22-60b5-4d00-b307-6fc6813ceae5,ecc00d60-cf92-4464-9bae-827770a6ab74,2021/12/03,ローソン大口上小口二丁目店,ロソン大口上小口二丁目店,株式会社柊樟
3江保第37-2号,液卵製造業,,株式会社 全農・キユーピー・エツグステーシヨン 愛知工場,大口町上小口２丁目１２７番地,,株式会社 全農・キユーピー・エツグステーシヨン,茨城県猿島郡五霞町元栗橋４０３－２,,0587-95-6568,0280-84-1611,2021/12/03,2027/12/31,2021/12/03,2021/12/03,,256,株式会社 全農・キユーピー・エツグステーシヨン 愛知工場,0587,0587-95-6568,,,,大口町上小口２丁目１２７番地,愛知県丹羽郡大口町上小口２丁目１２７番地,,134473,23,23361,上小口２,,2021/12/03,2021/12/03,2021/12/03,2027/12/31,株式会社 全農・キユーピー・エツグステーシヨン,,0280-84-1611,茨城県猿島郡五霞町元栗橋４０３－２,茨城県猿島郡五霞町元栗橋４０３－２,,57317,茨城県,猿島郡五霞町,元栗橋,3江保第37-2号,,液卵製造業,,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,99,,株式会社全農キユピエツグステシヨン愛知工場0587-95-656813447323361,1a7c504e-2123-4a7b-a323-58518048c3be,株式会社全農・キユーピー・エツグステーシヨン57317,a09f612e-fc8d-4603-9d9a-35160156ffad,e844a4ce-3820-4156-ad32-8b9721ba6db9,2021/12/03,株式会社全農・キユーピー・エツグステーシヨン　愛知工場,株式会社全農キユピエツグステシヨン愛知工場,株式会社全農・キユーピー・エツグステーシヨン
3江保第1-145号,飲食店営業,仕出し屋・弁当屋,MOGU MOGU,扶桑町柏森寺裏１０４,,大島 有希乃,,,,,2021/12/23,2027/12/31,2021/12/23,2021/12/23,,256,MOGU MOGU,0587,,,,,扶桑町柏森寺裏１０４,愛知県丹羽郡扶桑町柏森寺裏１０４,,134541,23,23362,柏森,,2021/12/23,2021/12/23,2021/12/23,2027/12/31,,大島 有希乃,,,,,,,,,3江保第1-145号,,飲食店営業, 仕出し屋・弁当屋,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＭＯＧＵＭＯＧＵ13454123362,84a1025d-115d-4d23-ba78-15fd56395f17,,personal,32610cd3-275a-47f8-b8c9-0ea3bdd98ce6,2021/12/23,ＭＯＧＵ　ＭＯＧＵ,ＭＯＧＵＭＯＧＵ,
3江保第1-113号,飲食店営業,その他,蓮芯,扶桑町高雄字天道３１,澤木店舗１０１,久島 美穂,,,0587-96-6300,,2021/11/05,2027/11/30,2021/11/05,2021/11/05,,256,蓮芯,0587,0587-96-6300,,,,扶桑町高雄字天道３１,愛知県丹羽郡扶桑町高雄字天道３１,澤木店舗１０１,134543,23,23362,高雄,,2021/11/05,2021/11/05,2021/11/05,2027/11/30,,久島 美穂,,,,,,,,,3江保第1-113号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,蓮芯0587-96-630013454323362,c63376c9-2360-489d-b35b-02fb2cb3930f,,personal,20f3bb1f-ae4d-4c54-bbe8-b47a4be57302,2021/11/05,蓮芯,蓮芯,
3江保第3-24号,菓子製造業,一般,蓮芯,扶桑町高雄字天道３１,澤木店舗１０１,久島 美穂,,,0587-96-6300,,2021/11/05,2027/11/30,2021/11/05,2021/11/05,,256,蓮芯,0587,0587-96-6300,,,,扶桑町高雄字天道３１,愛知県丹羽郡扶桑町高雄字天道３１,澤木店舗１０１,134543,23,23362,高雄,,2021/11/05,2021/11/05,2021/11/05,2027/11/30,,久島 美穂,,,,,,,,,3江保第3-24号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,蓮芯0587-96-630013454323362,c63376c9-2360-489d-b35b-02fb2cb3930f,,personal,12dbf0ad-ff9c-4f28-b68c-0b731743ea2e,2021/11/05,蓮芯,蓮芯,
3江保第1-143号,飲食店営業,一般食堂・レストラン等,二代目長助 扶桑店,扶桑町大字高木字吉山８５１番地,,サガミレストランツ株式会社,愛知県名古屋市守山区八剣二丁目１１８番地,,0587-77-9901,052-737-6000,2021/12/10,2027/12/31,2021/12/10,2021/12/10,,256,二代目長助 扶桑店,0587,0587-77-9901,,,,扶桑町大字高木字吉山８５１番地,愛知県丹羽郡扶桑町高木字吉山８５１番地,,134544,23,23362,高木,,2021/12/10,2021/12/10,2021/12/10,2027/12/31,サガミレストランツ株式会社,,052-737-6000,愛知県名古屋市守山区八剣二丁目１１８番地,愛知県名古屋市守山区八剣２丁目１１８番地,,117012,愛知県,名古屋市守山区,八剣２,3江保第1-143号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,二代目長助扶桑店0587-77-990113454423362,d5bddc54-6c11-45ff-9b3b-fc561c39a306,サガミレストランツ株式会社117012,74772e54-28bd-4099-9768-dc0c10a8157a,0d0b08f9-bc3c-4e68-b834-e5770aafb3e0,2021/12/10,二代目長助　扶桑店,二代目長助扶桑店,サガミレストランツ株式会社
3津保第1-134号,飲食店営業,その他,ローソン大治町三本木店,大治町大字三本木字前深田９２－１,,株式会社中日商会,愛知県名古屋市昭和区折戸町六丁目８番地の４,,052-445-1318,052-752-2252,2021/12/01,2027/11/30,2021/12/01,2021/12/01,,254,ローソン大治町三本木店,052,052-445-1318,,,,大治町大字三本木字前深田９２－１,愛知県海部郡大治町三本木字前深田９２－１,,134550,23,23424,三本木,,2021/12/01,2021/12/01,2021/12/01,2027/11/30,株式会社中日商会,,052-752-2252,愛知県名古屋市昭和区折戸町六丁目８番地の４,愛知県名古屋市昭和区折戸町６丁目８番地ノ４,,114938,愛知県,名古屋市昭和区,折戸町６,3津保第1-134号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ロソン大治町三本木店052-445-131813455023424,69fcff65-6561-4e73-927d-b8a5e990df97,株式会社中日商会114938,f0da9267-315c-4945-a3b5-e6ea1b9919be,94690cea-33b1-4804-9b50-fcb4e0df5463,2021/12/01,ローソン大治町三本木店,ロソン大治町三本木店,株式会社中日商会
