https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,業種,申請者1,開業年月日,許可年月日,確認番号,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名（屋号）,施設の住所（所在地）,,,業種,開設者情報,初回の許可年月日,最新の許可年月日,許可番号,区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
洋菓子ラックレマン　今伊勢店,愛知県一宮市今伊勢町本神戸字宮山１４８３－１　,愛知県一宮市今伊勢町本神戸字宮山１４８３－１,,菓子製造業,有限会社　ラックレマン,R 3.12. 8,R 3.12. 8,3一宮保衛第7011-039号,許可,,249,洋菓子ラックレマン　今伊勢店,0586,,,,,愛知県一宮市今伊勢町本神戸字宮山１４８３－１,愛知県一宮市今伊勢町本神戸字宮山１４８３－１,,118573,23,23203,今伊勢町本神戸,,2021/12/08,2021/12/08,,,有限会社　ラックレマン,,,,,,,,,,3一宮保衛第7011-039号,許可,菓子製造業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,E,9,,,洋菓子ラックレマン今伊勢店11857323203,e09247d8-f658-434f-b9f7-24b3349d758c,有限会社ラックレマン,12e7c0d5-0ae4-4523-bf58-2045add0641e,38b0ff5a-528f-43ea-ad87-56b188b08ce9,2021/12/08,洋菓子ラックレマン　今伊勢店,洋菓子ラックレマン今伊勢店,有限会社ラックレマン
日天製菓株式会社,愛知県一宮市萩原町西御堂字突田５２４－２　,愛知県一宮市萩原町西御堂字突田５２４－２,,菓子製造業,日天製菓株式会社,R 3.12. 8,R 3.12. 8,3一宮保衛第7011-040号,許可,,249,日天製菓株式会社,0586,,,,,愛知県一宮市萩原町西御堂字突田５２４－２,愛知県一宮市萩原町西御堂字突田５２４－２,,118778,23,23203,萩原町西御堂,,2021/12/08,2021/12/08,,,日天製菓株式会社,,,,,,,,,,3一宮保衛第7011-040号,許可,菓子製造業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,E,9,,,日天製菓株式会社11877823203,b7943a47-cf44-4cde-b832-59cbdee8d415,日天製菓株式会社,edebfb83-75d8-459f-b52b-200109415af9,0069a01b-24c4-4bd5-aee2-d5b426be27eb,2021/12/08,日天製菓株式会社,日天製菓株式会社,日天製菓株式会社
アオキ－ズピザ一宮川島店,愛知県一宮市浅井町東浅井字桜木５７－２　,愛知県一宮市浅井町東浅井字桜木５７－２,,菓子製造業,西尾　峰征,R 3.12. 7,R 3.12. 7,3一宮保衛第7011-041号,許可,,249,アオキ－ズピザ一宮川島店,0586,,,,,愛知県一宮市浅井町東浅井字桜木５７－２,愛知県一宮市浅井町東浅井字桜木５７－２,,118558,23,23203,浅井町東浅井,,2021/12/07,2021/12/07,,,,西尾　峰征,,,,,,,,,3一宮保衛第7011-041号,許可,菓子製造業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,E,9,,,アオキズピザ一宮川島店11855823203,6775a679-7e58-4c7d-a4ff-0285478e36f8,,personal,4bc2d6ea-10cf-4fda-8e32-f1ed89ab1dcb,2021/12/07,アオキ－ズピザ一宮川島店,アオキズピザ一宮川島店,
青龍園菓子舗,愛知県一宮市真清田１丁目２－２３　,愛知県一宮市真清田１丁目２－２３,,菓子製造業,伴野　義友,R 3.12.14,R 3.12.14,3一宮保衛第7011-042号,許可,,249,青龍園菓子舗,0586,,,,,愛知県一宮市真清田１丁目２－２３,愛知県一宮市真清田１丁目２－２３,,118832,23,23203,真清田１,,2021/12/14,2021/12/14,,,,伴野　義友,,,,,,,,,3一宮保衛第7011-042号,許可,菓子製造業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,E,9,,,青龍園菓子舗11883223203,21a7391d-f18e-4560-8e33-cdc8506f7899,,personal,58069146-f4b0-40ed-9e63-18f1a9cec7c0,2021/12/14,青龍園菓子舗,青龍園菓子舗,
レ　マスタニ,愛知県一宮市相生１丁目７－１　エスポワール・ヴァン１Ｆ,愛知県一宮市相生１丁目７－１,エスポワール・ヴァン１Ｆ,菓子製造業,株式会社　Ｌｅｓ　Ｍａｓｕｔａｎｉ,R 3.12. 1,R 3.12. 1,3一宮保衛第7011-043号,許可,,249,レ　マスタニ,0586,,,,,愛知県一宮市相生１丁目７－１,愛知県一宮市相生１丁目７－１,エスポワール・ヴァン１Ｆ,118952,23,23203,相生１,,2021/12/01,2021/12/01,,,株式会社　Ｌｅｓ　Ｍａｓｕｔａｎｉ,,,,,,,,,,3一宮保衛第7011-043号,許可,菓子製造業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,E,9,,,レマスタニ11895223203,edf70413-c830-44ba-83e7-81a1fb38c3ea,株式会社Ｌｅｓ　Ｍａｓｕｔａｎｉ,8a74c48a-cd00-4ead-b0dc-8e5ab0edbedc,082c32f7-e88b-4805-aea2-a8b61b291cdb,2021/12/01,レ　マスタニ,レマスタニ,株式会社Ｌｅｓ　Ｍａｓｕｔａｎｉ
石野,愛知県一宮市栄２丁目５－１７　,愛知県一宮市栄２丁目５－１７,,麺類製造業,石野　文夫,R 3.12. 1,R 3.12. 1,3一宮保衛第7024-004号,許可,,249,石野,0586,,,,,愛知県一宮市栄２丁目５－１７,愛知県一宮市栄２丁目５－１７,,118642,23,23203,栄２,,2021/12/01,2021/12/01,,,,石野　文夫,,,,,,,,,3一宮保衛第7024-004号,許可,麺類製造業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,E,9,,,石野11864223203,52ec962b-21e5-4d96-a31c-788347fdeabd,,personal,210079f0-92d8-4ade-9feb-77b7d5107b22,2021/12/01,石野,石野,
いちのみや宮沢製麺,愛知県一宮市大宮４丁目９－２０　,愛知県一宮市大宮４丁目９－２０,,麺類製造業,宮澤　一男,R 3.12. 1,R 3.12. 1,3一宮保衛第7024-005号,許可,,249,いちのみや宮沢製麺,0586,,,,,愛知県一宮市大宮４丁目９－２０,愛知県一宮市大宮４丁目９－２０,,118594,23,23203,大宮４,,2021/12/01,2021/12/01,,,,宮澤　一男,,,,,,,,,3一宮保衛第7024-005号,許可,麺類製造業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,E,9,,,いちのみや宮沢製麺11859423203,b9e45c92-1e7e-48b1-bb8e-be688e20251f,,personal,72a24c3f-dab1-4519-baf9-3403ff323978,2021/12/01,いちのみや宮沢製麺,いちのみや宮沢製麺,
有限会社ＳＧ・Ｓ,愛知県一宮市佐千原字北郷４２　,愛知県一宮市佐千原字北郷４２,,麺類製造業,有限会社ＳＧ・Ｓ,R 3.12. 9,R 3.12. 9,3一宮保衛第7024-006号,許可,,249,有限会社ＳＧ・Ｓ,0586,,,,,愛知県一宮市佐千原字北郷４２,愛知県一宮市佐千原字北郷４２,,118649,23,23203,佐千原,,2021/12/09,2021/12/09,,,有限会社ＳＧ・Ｓ,,,,,,,,,,3一宮保衛第7024-006号,許可,麺類製造業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,E,9,,,有限会社ＳＧＳ11864923203,5d78000c-00ae-4c4f-a73a-4780191d6af3,有限会社ＳＧ・Ｓ,03916f64-60e0-4db3-8df0-99914817496e,8bd7b989-0049-4a86-bbe8-d231822aa7a7,2021/12/09,有限会社ＳＧ・Ｓ,有限会社ＳＧＳ,有限会社ＳＧ・Ｓ
株式会社美ノ久,愛知県一宮市萩原町戸苅字本郷前２４－１　,愛知県一宮市萩原町戸苅字本郷前２４－１,,密封包装食品製造業,株式会社美ノ久,R 3.12. 1,R 3.12. 1,3一宮保衛第7030-002号,許可,,249,株式会社美ノ久,0586,,,,,愛知県一宮市萩原町戸苅字本郷前２４－１,愛知県一宮市萩原町戸苅字本郷前２４－１,,118775,23,23203,萩原町戸苅,,2021/12/01,2021/12/01,,,株式会社美ノ久,,,,,,,,,,3一宮保衛第7030-002号,許可,密封包装食品製造業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,E,9,,,株式会社美ノ久11877523203,0470a4b2-0fda-4c38-b895-a392f5ec8e8a,株式会社美ノ久,ebc58bcd-7e5d-46c7-bd8b-a088c05bd298,c0575486-14a1-4ad5-94a0-159b9fdb7e94,2021/12/01,株式会社美ノ久,株式会社美ノ久,株式会社美ノ久
中部ブリスター包装株式会社,愛知県一宮市森本４丁目２３－８　,愛知県一宮市森本４丁目２３－８,,食品の小分け業,中部ブリスター包装株式会社,R 3.12. 1,R 3.12. 1,3一宮保衛第7031-003号,許可,,249,中部ブリスター包装株式会社,0586,,,,,愛知県一宮市森本４丁目２３－８,愛知県一宮市森本４丁目２３－８,,118910,23,23203,森本４,,2021/12/01,2021/12/01,,,中部ブリスター包装株式会社,,,,,,,,,,3一宮保衛第7031-003号,許可,食品の小分け業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,522,5229,中部ブリスタ包装株式会社11891023203,30013cac-8e6e-4366-908f-33c7483bd1bf,中部ブリスター包装株式会社,4ae2d80d-8e27-4084-a1f5-c89defd11c84,e89cc86e-f753-4044-8f3e-f394a6b989f1,2021/12/01,中部ブリスター包装株式会社,中部ブリスタ包装株式会社,中部ブリスター包装株式会社
原田商店,愛知県一宮市千秋町加納馬場字高須５０　,愛知県一宮市千秋町加納馬場字高須５０,,添加物製造業,株式会社　原田商店,R 3.12. 1,R 3.12. 1,3一宮保衛第7032-002号,許可,,249,原田商店,0586,,,,,愛知県一宮市千秋町加納馬場字高須５０,愛知県一宮市千秋町加納馬場字高須５０,,118726,23,23203,千秋町加納馬場,,2021/12/01,2021/12/01,,,株式会社　原田商店,,,,,,,,,,3一宮保衛第7032-002号,許可,添加物製造業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,E,9,,,原田商店11872623203,a51c3eaa-7b81-4dc8-aebf-78c59b9d4165,株式会社原田商店,2bb5380e-93e5-49bb-ab86-685dcac2ecdb,094ef3ae-ff9f-4708-a84a-1c024f98f0ec,2021/12/01,原田商店,原田商店,株式会社原田商店
魚力築地,愛知県一宮市新生１丁目１－１　株式会社　名鉄百貨店一宮店,愛知県一宮市新生１丁目１－１,株式会社 名鉄百貨店一宮店,飲食店営業,株式会社　名鉄百貨店,H16. 4.23,H28. 3. 8,27一保第331-350号,変更,,249,魚力築地,0586,,,,,愛知県一宮市新生１丁目１－１,愛知県一宮市新生１丁目１－１,株式会社 名鉄百貨店一宮店,118676,23,23203,新生１,,2004/04/23,2016/03/08,,,株式会社　名鉄百貨店,,,,,,,,,,27一保第331-350号,変更,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,魚力築地11867623203,9a6dc530-ac5b-4f16-a999-6a593202a75d,株式会社名鉄百貨店,87d0120b-4430-43a0-81ed-deac4e04dbf2,31358420-0586-40c3-a6be-b9d284319bc3,2016/03/08,魚力築地,魚力築地,株式会社名鉄百貨店
Ｍｒｓ.Ｊ　Ｉｃｈｉｎｏｍｉｙａ,愛知県一宮市花池３丁目９－２２　,愛知県一宮市花池３丁目９－２２,,飲食店営業,株式会社　ミリオン,H23. 9.30,H29. 9.29,29一保第331-164号,変更,,249,Ｍｒｓ.Ｊ　Ｉｃｈｉｎｏｍｉｙａ,0586,,,,,愛知県一宮市花池３丁目９－２２,愛知県一宮市花池３丁目９－２２,,118891,23,23203,花池３,,2011/09/30,2017/09/29,,,株式会社　ミリオン,,,,,,,,,,29一保第331-164号,変更,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ＭｒｓＪＩｃｈｉｎｏｍｉｙａ11889123203,82c31e29-7fe6-4f6e-8bbf-4cdb770ee256,株式会社ミリオン,6fda29a8-0b28-4903-b650-122944a3871b,570393b0-f9a5-4438-8173-fc5feca00d7a,2017/09/29,Ｍｒｓ．Ｊ　Ｉｃｈｉｎｏｍｉｙａ,ＭｒｓＪＩｃｈｉｎｏｍｉｙａ,株式会社ミリオン
ＣＨＯ　ＶＩＥＴ　ＮＨＡＴ　ＪＰ,愛知県一宮市本町２丁目３－１１　加藤ビルＡ,愛知県一宮市本町２丁目３－１１,加藤ビルＡ,飲食店営業,株式会社Ｈ＆Ｎ,R 2. 4.10,R 2. 4.10,2一保第301-2号,変更,,249,ＣＨＯ　ＶＩＥＴ　ＮＨＡＴ　ＪＰ,0586,,,,,愛知県一宮市本町２丁目３－１１,愛知県一宮市本町２丁目３－１１,加藤ビルＡ,118829,23,23203,本町２,,2020/04/10,2020/04/10,,,株式会社Ｈ＆Ｎ,,,,,,,,,,2一保第301-2号,変更,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ＣＨＯＶＩＥＴＮＨＡＴＪＰ11882923203,8381b61b-8fde-4a34-be5a-8fcc149cb42b,株式会社Ｈ＆Ｎ,eb2e488a-b32c-44e3-befc-ce2049704cc5,e3baef52-f942-4898-ac57-1c0cb4080fcb,2020/04/10,ＣＨＯ　ＶＩＥＴ　ＮＨＡＴ　ＪＰ,ＣＨＯＶＩＥＴＮＨＡＴＪＰ,株式会社Ｈ＆Ｎ
ＣＨＯ　ＶＩＥＴ　ＮＨＡＴ　ＪＰ,愛知県一宮市本町２丁目３－１１　加藤ビルＡ,愛知県一宮市本町２丁目３－１１,加藤ビルＡ,食肉販売業,株式会社Ｈ＆Ｎ,R 2. 4.10,R 2. 4.10,2一保第307-1号,変更,,249,ＣＨＯ　ＶＩＥＴ　ＮＨＡＴ　ＪＰ,0586,,,,,愛知県一宮市本町２丁目３－１１,愛知県一宮市本町２丁目３－１１,加藤ビルＡ,118829,23,23203,本町２,,2020/04/10,2020/04/10,,,株式会社Ｈ＆Ｎ,,,,,,,,,,2一保第307-1号,変更,食肉販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,583,,ＣＨＯＶＩＥＴＮＨＡＴＪＰ11882923203,8381b61b-8fde-4a34-be5a-8fcc149cb42b,株式会社Ｈ＆Ｎ,eb2e488a-b32c-44e3-befc-ce2049704cc5,d0ad503d-e191-40b5-ad62-39ee5a8cbbe3,2020/04/10,ＣＨＯ　ＶＩＥＴ　ＮＨＡＴ　ＪＰ,ＣＨＯＶＩＥＴＮＨＡＴＪＰ,株式会社Ｈ＆Ｎ
ＣＨＯ　ＶＩＥＴ　ＮＨＡＴ　ＪＰ,愛知県一宮市本町２丁目３－１１　加藤ビルＡ,愛知県一宮市本町２丁目３－１１,加藤ビルＡ,魚介類販売業,株式会社Ｈ＆Ｎ,R 2. 4.10,R 2. 4.10,2一保第308-1号,変更,,249,ＣＨＯ　ＶＩＥＴ　ＮＨＡＴ　ＪＰ,0586,,,,,愛知県一宮市本町２丁目３－１１,愛知県一宮市本町２丁目３－１１,加藤ビルＡ,118829,23,23203,本町２,,2020/04/10,2020/04/10,,,株式会社Ｈ＆Ｎ,,,,,,,,,,2一保第308-1号,変更,魚介類販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,,,ＣＨＯＶＩＥＴＮＨＡＴＪＰ11882923203,8381b61b-8fde-4a34-be5a-8fcc149cb42b,株式会社Ｈ＆Ｎ,eb2e488a-b32c-44e3-befc-ce2049704cc5,1487d2aa-2baf-4e9a-a083-226f2d949a84,2020/04/10,ＣＨＯ　ＶＩＥＴ　ＮＨＡＴ　ＪＰ,ＣＨＯＶＩＥＴＮＨＡＴＪＰ,株式会社Ｈ＆Ｎ
野家　尾西店,愛知県一宮市三条字道東４５－１　,愛知県一宮市三条字道東４５－１,,飲食店営業,株式会社　中日本野家,H24.10. 4,H30. 9.27,30一保第331-254号,変更,,249,野家　尾西店,0586,,,,,愛知県一宮市三条字道東４５－１,愛知県一宮市三条字道東４５－１,,118940,23,23203,三条,,2012/10/04,2018/09/27,,,株式会社　中日本野家,,,,,,,,,,30一保第331-254号,変更,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,野家尾西店11894023203,f86313cd-e726-40aa-8e52-d1a365a5f9ab,株式会社中日本野家,a73e27a0-2c79-4146-9a95-15fff71c7e4d,8f40b648-455d-4d8e-a87a-0ad07fab4b1b,2018/09/27,野家　尾西店,野家尾西店,株式会社中日本野家
ローソンストア１００　一宮花池店,愛知県一宮市花池２丁目１０－１５　,愛知県一宮市花池２丁目１０－１５,,飲食店営業,古川　洋祐,H31. 4.11,H31. 4.11,31一保第301-7号,変更,,249,ローソンストア１００　一宮花池店,0586,,,,,愛知県一宮市花池２丁目１０－１５,愛知県一宮市花池２丁目１０－１５,,118890,23,23203,花池２,,2019/04/11,2019/04/11,,,,古川　洋祐,,,,,,,,,31一保第301-7号,変更,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ロソンストア１００一宮花池店11889023203,eac4bf27-e885-4157-80b4-7c673a869db5,,personal,6b717d2b-4a67-4dba-b515-1c96f17a631a,2019/04/11,ローソンストア１００　一宮花池店,ロソンストア１００一宮花池店,
ローソンストア１００　一宮花池店,愛知県一宮市花池２丁目１０－１５　,愛知県一宮市花池２丁目１０－１５,,乳類販売業,古川　洋祐,H31. 4.11,H31. 4.11,31一保第305-3号,変更,,249,ローソンストア１００　一宮花池店,0586,,,,,愛知県一宮市花池２丁目１０－１５,愛知県一宮市花池２丁目１０－１５,,118890,23,23203,花池２,,2019/04/11,2019/04/11,,,,古川　洋祐,,,,,,,,,31一保第305-3号,変更,乳類販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,,,ロソンストア１００一宮花池店11889023203,eac4bf27-e885-4157-80b4-7c673a869db5,,personal,d06511ec-4d3b-499d-8324-88dd50da771f,2019/04/11,ローソンストア１００　一宮花池店,ロソンストア１００一宮花池店,
ローソンストア１００　一宮花池店,愛知県一宮市花池２丁目１０－１５　,愛知県一宮市花池２丁目１０－１５,,食肉販売業,古川　洋祐,H31. 4.11,H31. 4.11,31一保第307-4号,変更,,249,ローソンストア１００　一宮花池店,0586,,,,,愛知県一宮市花池２丁目１０－１５,愛知県一宮市花池２丁目１０－１５,,118890,23,23203,花池２,,2019/04/11,2019/04/11,,,,古川　洋祐,,,,,,,,,31一保第307-4号,変更,食肉販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,583,,ロソンストア１００一宮花池店11889023203,eac4bf27-e885-4157-80b4-7c673a869db5,,personal,349ba155-014b-4084-ba99-c8068f8a5707,2019/04/11,ローソンストア１００　一宮花池店,ロソンストア１００一宮花池店,
ローソンストア１００　一宮花池店,愛知県一宮市花池２丁目１０－１５　,愛知県一宮市花池２丁目１０－１５,,魚介類販売業,古川　洋祐,H31. 4.11,H31. 4.11,31一保第308-4号,変更,,249,ローソンストア１００　一宮花池店,0586,,,,,愛知県一宮市花池２丁目１０－１５,愛知県一宮市花池２丁目１０－１５,,118890,23,23203,花池２,,2019/04/11,2019/04/11,,,,古川　洋祐,,,,,,,,,31一保第308-4号,変更,魚介類販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,,,ロソンストア１００一宮花池店11889023203,eac4bf27-e885-4157-80b4-7c673a869db5,,personal,e11acbea-df8a-4376-a9ac-9c09f90797a2,2019/04/11,ローソンストア１００　一宮花池店,ロソンストア１００一宮花池店,
カネ美食品㈱　妙興寺店,愛知県一宮市大和町妙興寺字白山西３－２　ピアゴパワー妙興寺店内,愛知県一宮市大和町妙興寺字白山西３－２,ピアゴパワー妙興寺店内,飲食店営業,カネ美食品株式会社,R 3. 6.17,R 3. 6.17,3一宮保衛第7001-075号,変更,,249,カネ美食品㈱　妙興寺店,0586,,,,,愛知県一宮市大和町妙興寺字白山西３－２,愛知県一宮市大和町妙興寺字白山西３－２,ピアゴパワー妙興寺店内,118869,23,23203,大和町妙興寺,,2021/06/17,2021/06/17,,,カネ美食品株式会社,,,,,,,,,,3一宮保衛第7001-075号,変更,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,カネ美食品株式会社妙興寺店11886923203,40239c7b-35de-4b84-b6e5-df8c70e1eee1,カネ美食品株式会社,a947467d-301b-43cd-ad3d-ed5be1b06f4d,8573a64b-b5d3-42d8-921f-b9744159bd32,2021/06/17,カネ美食品株式会社妙興寺店,カネ美食品株式会社妙興寺店,カネ美食品株式会社
中華料理　大善,愛知県一宮市和光１丁目３－１１　,愛知県一宮市和光１丁目３－１１,,飲食店営業,吴　春艶,R 3.12.20,R 3.12.20,3一宮保衛第7001-440号,変更,,249,中華料理　大善,0586,,,,,愛知県一宮市和光１丁目３－１１,愛知県一宮市和光１丁目３－１１,,118883,23,23203,和光１,,2021/12/20,2021/12/20,,,,吴　春艶,,,,,,,,,3一宮保衛第7001-440号,変更,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,中華料理大善11888323203,4402a3c4-0b14-4d92-a4f1-3dec0cf41e12,,personal,ffd4a47e-41e4-4d16-821a-aa42fbb39ddb,2021/12/20,中華料理　大善,中華料理大善,
