https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,申請者1,業種,申請者2,施設-電話番号1,確認番号,開業年月日,許可年月日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,,施設所在地,,,営業者氏名,営業の種類,代表者氏名,施設電話番号,許可番号,初回許可日,許可年月日,許可満了日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
かごの屋　成増店,東京都,練馬区旭町三丁目３５番３号,練馬区旭町３丁目３５番３号,,株式会社ＫＲホールディングス,飲食店営業,望月進,03-6909-8969,3練健生練食第12313号,2021/12/13,2021/12/13,2027/12/31,,199,かごの屋　成増店,03,03-6909-8969,,,,東京都　練馬区旭町３丁目３５番３号,東京都練馬区旭町３丁目３５番３号,,75165,13,13120,旭町３,,2021/12/13,2021/12/13,,2027/12/31,株式会社ＫＲホールディングス,望月進,,,,,,,,,3練健生練食第12313号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,かごの屋成増店03-6909-89697516513120,802ed7cf-e401-4ab1-bd6c-01cbb980347e,株式会社ＫＲホールディングス,95df70e1-7ca6-4946-8cf0-ee10162c6421,26b4a314-7bde-4a51-926d-0a40620e7b51,2021/12/13,かごの屋　成増店,かごの屋成増店,株式会社ＫＲホールディングス
はま寿司練馬土支田店,東京都,練馬区土支田三丁目２８番１３号,練馬区土支田３丁目２８番１３号,,株式会社はま寿司,その他の食料・飲料販売業,遠藤哲郎,5947-4447,3練健生練食第12339号,2021/12/13,2021/12/13,,,199,はま寿司練馬土支田店,03,03-5947-4447,,,,東京都　練馬区土支田３丁目２８番１３号,東京都練馬区土支田３丁目２８番１３号,,75267,13,13120,土支田３,,2021/12/13,2021/12/13,,,株式会社はま寿司,遠藤哲郎,,,,,,,,,3練健生練食第12339号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,はま寿司練馬土支田店03-5947-44477526713120,77288d70-e8dc-4e41-9c7b-acfeb73ba97e,株式会社はま寿司,811c4121-252e-4cc4-864c-aa132cd8cc8a,dab49516-f5bb-4de1-8542-732b1439a834,2021/12/13,はま寿司練馬土支田店,はま寿司練馬土支田店,株式会社はま寿司
くらしさ練馬,東京都,練馬区土支田４丁目２３－２１,練馬区土支田４丁目２３－２１,,株式会社　元気な介護,集団給食施設,池田元気,036-3925-6880,3練健生練食第12335号,2021/12/9,2021/12/9,,,199,くらしさ練馬,03,036-3925-6880,,,,東京都　練馬区土支田４丁目２３－２１,東京都練馬区土支田４丁目２３－２１,,75268,13,13120,土支田４,,2021/12/09,2021/12/09,,,株式会社　元気な介護,池田元気,,,,,,,,,3練健生練食第12335号,,給食施設,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,77,,,くらしさ練馬036-3925-68807526813120,e1ca51b9-fb59-4afa-8590-883e9c41a118,株式会社元気な介護,f1d7c32a-d5a9-4762-b2fc-3f09468ecf3c,673888bf-c41f-41cb-9ee9-3820ea93f8f1,2021/12/09,くらしさ練馬,くらしさ練馬,株式会社元気な介護
株式会社リクーム,東京都,練馬区富士見台一丁目１８番１１号  アジュール富士見台１０２,練馬区富士見台１丁目１８番１１号, アジュール富士見台１０２,株式会社リクーム,菓子製造業,井上拓海,,3練健生石食第22030号,2021/12/23,2021/12/23,2027/12/31,,199,株式会社リクーム,03,,,,,東京都　練馬区富士見台１丁目１８番１１号,東京都練馬区富士見台１丁目１８番１１号, アジュール富士見台１０２,75308,13,13120,富士見台１,,2021/12/23,2021/12/23,,2027/12/31,株式会社リクーム,井上拓海,,,,,,,,,3練健生石食第22030号,,菓子製造業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,,,株式会社リクム7530813120,c9cebf3d-0a1b-4d4b-85af-a828159f0011,株式会社リクーム,bb5e96b5-8140-4220-a9d4-16dfaf060993,d3a3e220-35d8-4a4f-864c-f322547bfaf3,2021/12/23,株式会社リクーム,株式会社リクム,株式会社リクーム
ミスタードーナツ練馬高野台駅前ショップ,東京都,練馬区高野台一丁目７番２７号,練馬区高野台１丁目７番２７号,,株式会社プランドゥ,その他の食料・飲料販売業,吉田清人,0353725009,3練健生石食第22018号,2021/12/7,2021/12/7,,,199,ミスタードーナツ練馬高野台駅前ショップ,03,03-5372-5009,,,,東京都　練馬区高野台１丁目７番２７号,東京都練馬区高野台１丁目７番２７号,,75233,13,13120,高野台１,,2021/12/07,2021/12/07,,,株式会社プランドゥ,吉田清人,,,,,,,,,3練健生石食第22018号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,ミスタドナツ練馬高野台駅前ショップ03-5372-50097523313120,2e67be82-bc57-42c7-a066-cac0b7c075b5,株式会社プランドゥ,e221c18b-01b7-4b0d-86ee-1dad8f6ab588,90618756-4740-4612-adfa-bdc38bc4e8ab,2021/12/07,ミスタードーナツ練馬高野台駅前ショップ,ミスタドナツ練馬高野台駅前ショップ,株式会社プランドゥ
合同会社西友高野台店,東京都,練馬区高野台一丁目２０番１号,練馬区高野台１丁目２０番１号,,合同会社西友,魚介類販売業,株式会社西友ホールディングス　職務執行者　大久保　恒夫,5393-7481,3練健生石食第22023号,2021/12/16,2021/12/16,2028/12/31,,199,合同会社西友高野台店,03,03-5393-7481,,,,東京都　練馬区高野台１丁目２０番１号,東京都練馬区高野台１丁目２０番１号,,75233,13,13120,高野台１,,2021/12/16,2021/12/16,,2028/12/31,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫,,,,,,,,,,3練健生石食第22023号,,魚介類販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,,,合同会社西友高野台店03-5393-74817523313120,0a4e9ba1-61c9-4de0-879a-ffd29b88a869,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫,cc814089-9c24-4ce6-a786-2fc6f5c42c5c,5fd4454e-058c-4edc-ba58-21c172b8444e,2021/12/16,合同会社西友高野台店,合同会社西友高野台店,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫
ビッグボーイ練馬高野台店,東京都,練馬区高野台二丁目５番１５号,練馬区高野台２丁目５番１５号,,株式会社ビッグボーイジャパン,その他の食料・飲料販売業,長久保文康,,3練健生石食第22019号,2021/12/7,2021/12/7,,,199,ビッグボーイ練馬高野台店,03,,,,,東京都　練馬区高野台２丁目５番１５号,東京都練馬区高野台２丁目５番１５号,,75234,13,13120,高野台２,,2021/12/07,2021/12/07,,,株式会社ビッグボーイジャパン,長久保文康,,,,,,,,,3練健生石食第22019号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,ビッグボイ練馬高野台店7523413120,63a7f6fd-ec52-4b9f-8234-367427546524,株式会社ビッグボーイジャパン,8b189ada-9b68-43b1-aaba-a8c2aa5e2c27,939ab589-8974-452b-9048-6c5d3fdf5c7f,2021/12/07,ビッグボーイ練馬高野台店,ビッグボイ練馬高野台店,株式会社ビッグボーイジャパン
株式会社東京正直屋料亭工場,東京都,練馬区高野台二丁目２４番２７号,練馬区高野台２丁目２４番２７号,,株式会社東京正直屋,魚介類販売業,山﨑正之,5939-1171,3練健生石食第22046号,2021/12/27,2021/12/27,2028/12/31,,199,株式会社東京正直屋料亭工場,03,03-5939-1171,,,,東京都　練馬区高野台２丁目２４番２７号,東京都練馬区高野台２丁目２４番２７号,,75234,13,13120,高野台２,,2021/12/27,2021/12/27,,2028/12/31,株式会社東京正直屋,山﨑正之,,,,,,,,,3練健生石食第22046号,,魚介類販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,,,株式会社東京正直屋料亭工場03-5939-11717523413120,a6ab8c84-376a-446e-b5e3-9b63955ab4fd,株式会社東京正直屋,911659d1-1f6b-4fb1-b741-0cec85107efc,eb44502f-5e45-4e40-83e3-ff150e91834f,2021/12/27,株式会社東京正直屋料亭工場,株式会社東京正直屋料亭工場,株式会社東京正直屋
コーヒー＆スナックしも,東京都,練馬区谷原二丁目１５番１８号,練馬区谷原２丁目１５番１８号,,下康子,飲食店営業,,6913-1619,3練健生石食第21950号,2021/12/13,2021/12/13,2027/12/31,,199,コーヒー＆スナックしも,03,03-6913-1619,,,,東京都　練馬区谷原２丁目１５番１８号,東京都練馬区谷原２丁目１５番１８号,,75331,13,13120,谷原２,,2021/12/13,2021/12/13,,2027/12/31,,下康子 ,,,,,,,,,3練健生石食第21950号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,コヒスナックしも03-6913-16197533113120,07e4ec0f-7c9e-44ae-8fc4-0b4e6ac7265b,,personal,1de44acb-0753-4a69-aa60-e9f0f04ca313,2021/12/13,コーヒー＆スナックしも,コヒスナックしも,
萩,東京都,練馬区谷原四丁目７番１５号,練馬区谷原４丁目７番１５号,,殖栗政江,飲食店営業,,3996-5009,3練健生石食第22008号,2021/12/14,2021/12/14,2027/12/31,,199,萩,03,03-3996-5009,,,,東京都　練馬区谷原４丁目７番１５号,東京都練馬区谷原４丁目７番１５号,,75333,13,13120,谷原４,,2021/12/14,2021/12/14,,2027/12/31,,殖栗政江 ,,,,,,,,,3練健生石食第22008号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,萩03-3996-50097533313120,4b9bf141-198a-45f3-abbe-f4941466c728,,personal,2a1c437f-a4cc-4e85-bc21-8f93687df8cf,2021/12/14,萩,萩,
株式会社シュン,東京都,練馬区谷原四丁目１１番５号  Ｃ２－１,練馬区谷原４丁目１１番５号 ,Ｃ２－１,株式会社シュン,魚介類販売業,大川戸健,5372-5841,3練健生石食第22029号,2021/12/17,2021/12/17,2027/12/31,,199,株式会社シュン,03,03-5372-5841,,,,東京都　練馬区谷原４丁目１１番５号 ,東京都練馬区谷原４丁目１１番５号,Ｃ２－１,75333,13,13120,谷原４,,2021/12/17,2021/12/17,,2027/12/31,株式会社シュン,大川戸健,,,,,,,,,3練健生石食第22029号,,魚介類販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,,,株式会社シュン03-5372-58417533313120,b2fd16d1-5093-4889-9743-ce0fb3eb83bb,株式会社シュン,5e65f804-da03-4f7a-b640-f919fc5fb161,15291da0-def9-450c-80cf-a1789f8b5f87,2021/12/17,株式会社シュン,株式会社シュン,株式会社シュン
珈琲焙煎工房函館美鈴石神井公園店,東京都,練馬区石神井町二丁目８番２６号,練馬区石神井町２丁目８番２６号,,株式会社珈琲工房美鈴,コーヒー製造・加工業（飲料の製造を除く。）,鈴木修平,5393-3651,3練健生石食第22001号,2021/12/1,2021/12/1,,,199,珈琲焙煎工房函館美鈴石神井公園店,03,03-5393-3651,,,,東京都　練馬区石神井町２丁目８番２６号,東京都練馬区石神井町２丁目８番２６号,,75221,13,13120,石神井町２,,2021/12/01,2021/12/01,,,株式会社珈琲工房美鈴,鈴木修平,,,,,,,,,3練健生石食第22001号,,コーヒー製造・加工業,（飲料の製造を除く。）,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,10,103,1032,珈琲焙煎工房函館美鈴石神井公園店03-5393-36517522113120,b0cd524c-2c44-49cc-81a9-3bedf98bc9a6,株式会社珈琲工房美鈴,225379d8-8e77-416c-addb-ae90ff88fd5c,1f966946-b689-4e88-a2c6-5f4a3b133351,2021/12/01,珈琲焙煎工房函館美鈴石神井公園店,珈琲焙煎工房函館美鈴石神井公園店,株式会社珈琲工房美鈴
合同会社西友石神井公園店,東京都,練馬区石神井町二丁目１３番１０号,練馬区石神井町２丁目１３番１０号,,合同会社西友,魚介類販売業,株式会社西友ホールディングス　職務執行者　大久保　恒夫,3995-3151,3練健生石食第22026号,2021/12/16,2021/12/16,2028/12/31,,199,合同会社西友石神井公園店,03,03-3995-3151,,,,東京都　練馬区石神井町２丁目１３番１０号,東京都練馬区石神井町２丁目１３番１０号,,75221,13,13120,石神井町２,,2021/12/16,2021/12/16,,2028/12/31,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫,,,,,,,,,,3練健生石食第22026号,,魚介類販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,,,合同会社西友石神井公園店03-3995-31517522113120,984e662b-05bf-46e7-9745-1d8d3781cbc0,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫,cc814089-9c24-4ce6-a786-2fc6f5c42c5c,a5b4eee8-83de-4bb0-8ba3-92e669971ce6,2021/12/16,合同会社西友石神井公園店,合同会社西友石神井公園店,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫
ＴＨＥ　ＫｉＴＣＨＥＮＳ　練馬中央店,東京都,練馬区石神井町三丁目２０番１３号  日東ビル１Ｆ,練馬区石神井町３丁目２０番１３号, 日東ビル１Ｆ,株式会社バーチャルキッチン,そうざい製造業,林正勝,3997-1986,3練健生石食第22028号,2021/12/27,2021/12/27,2028/12/31,,199,ＴＨＥ　ＫｉＴＣＨＥＮＳ　練馬中央店,03,03-3997-1986,,,,東京都　練馬区石神井町３丁目２０番１３号,東京都練馬区石神井町３丁目２０番１３号, 日東ビル１Ｆ,75222,13,13120,石神井町３,,2021/12/27,2021/12/27,,2028/12/31,株式会社バーチャルキッチン,林正勝,,,,,,,,,3練健生石食第22028号,,そうざい製造業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,,,ＴＨＥＫｉＴＣＨＥＮＳ練馬中央店03-3997-19867522213120,a7b4e427-9a5e-42de-ace5-c63e04254a08,株式会社バーチャルキッチン,bfbcc939-e5af-49e6-875c-b22171bdb2b6,fa4a0905-143b-4458-aaf6-b9d0b4423333,2021/12/27,ＴＨＥ　ＫｉＴＣＨＥＮＳ　練馬中央店,ＴＨＥＫｉＴＣＨＥＮＳ練馬中央店,株式会社バーチャルキッチン
カラオケステーションブーケ,東京都,練馬区石神井町三丁目２０番１３号  中内ビル３Ｆ,練馬区石神井町３丁目２０番１３号, 中内ビル３Ｆ,山崎綾子,飲食店営業,,3904-1770,3練健生石食第22021号,2021/12/16,2021/12/16,2027/12/31,,199,カラオケステーションブーケ,03,03-3904-1770,,,,東京都　練馬区石神井町３丁目２０番１３号,東京都練馬区石神井町３丁目２０番１３号, 中内ビル３Ｆ,75222,13,13120,石神井町３,,2021/12/16,2021/12/16,,2027/12/31,,山崎綾子 ,,,,,,,,,3練健生石食第22021号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,カラオケステションブケ03-3904-17707522213120,978fef4a-8629-40ed-8964-5a714adedf78,,personal,106132ed-e56a-47fd-a7e3-258b688d99ef,2021/12/16,カラオケステーションブーケ,カラオケステションブケ,
富士そば石神井公園店,東京都,練馬区石神井町三丁目２４番９号  山喜ビル１Ｆ,練馬区石神井町３丁目２４番９号, 山喜ビル１Ｆ,ダイタンフード株式会社,飲食店営業,丹有樹,03-3995-1535,3練健生石食第22031号,2021/12/20,2021/12/20,2028/12/31,,199,富士そば石神井公園店,03,03-3995-1535,,,,東京都　練馬区石神井町３丁目２４番９号,東京都練馬区石神井町３丁目２４番９号, 山喜ビル１Ｆ,75222,13,13120,石神井町３,,2021/12/20,2021/12/20,,2028/12/31,ダイタンフード株式会社,丹有樹,,,,,,,,,3練健生石食第22031号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,富士そば石神井公園店03-3995-15357522213120,38ca3c13-4bbe-4603-9b58-452dbccd4b2f,ダイタンフード株式会社,9b69df19-9602-4a3e-92e5-ef3ad2bae1d0,ff2d8ac0-da5a-4eb2-a314-d052af7e58b2,2021/12/20,富士そば石神井公園店,富士そば石神井公園店,ダイタンフード株式会社
ローソンストア１００練馬石神井町３丁目店,東京都,練馬区石神井町三丁目２５番４号,練馬区石神井町３丁目２５番４号,,合同会社蔵,コンビニエンスストア,木村太蔵,5923-7199,3練健生石食第22005号,2021/12/3,2021/12/3,,,199,ローソンストア１００練馬石神井町３丁目店,03,03-5923-7199,,,,東京都　練馬区石神井町３丁目２５番４号,東京都練馬区石神井町３丁目２５番４号,,75222,13,13120,石神井町３,,2021/12/03,2021/12/03,,,合同会社蔵,木村太蔵,,,,,,,,,3練健生石食第22005号,,コンビニエンスストア,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,589,5891,ロソンストア１００練馬石神井町３丁目店03-5923-71997522213120,d99d2ff4-063b-4bd6-80ee-19e52d9a5714,合同会社蔵,19998d41-2f95-4a1d-9e3c-6f20102aa0a1,5f724f75-a017-4244-a40a-5398bc091197,2021/12/03,ローソンストア１００練馬石神井町３丁目店,ロソンストア１００練馬石神井町３丁目店,合同会社蔵
上島珈琲店エミオ石神井公園店,東京都,練馬区石神井町四丁目１番１７号  エミオ石神井公園１Ｆ,練馬区石神井町４丁目１番１７号, エミオ石神井公園１Ｆ,ユーシーシーフードサービスシステムズ株式会社,飲食店営業,川野　浩司,6913-2414,3練健生石食第22043号,2021/12/24,2021/12/24,2028/12/31,,199,上島珈琲店エミオ石神井公園店,03,03-6913-2414,,,,東京都　練馬区石神井町４丁目１番１７号,東京都練馬区石神井町４丁目１番１７号, エミオ石神井公園１Ｆ,75223,13,13120,石神井町４,,2021/12/24,2021/12/24,,2028/12/31,ユーシーシーフードサービスシステムズ株式会社,川野　浩司,,,,,,,,,3練健生石食第22043号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,上島珈琲店エミオ石神井公園店03-6913-24147522313120,626bea72-38da-4220-9a24-a157bc697d3a,ユーシーシーフードサービスシステムズ株式会社,fa920647-730a-42ac-ab05-db565fa7eb2a,e8f68ab9-e341-4c5d-bc06-766da456dd51,2021/12/24,上島珈琲店エミオ石神井公園店,上島珈琲店エミオ石神井公園店,ユーシーシーフードサービスシステムズ株式会社
上島珈琲店エミオ石神井公園店,東京都,練馬区石神井町四丁目１番１７号  エミオ石神井公園１Ｆ,練馬区石神井町４丁目１番１７号, エミオ石神井公園１Ｆ,ユーシーシーフードサービスシステムズ株式会社,その他の食料・飲料販売業,川野　浩司,6913-2414,3練健生石食第22044号,2021/12/21,2021/12/21,,,199,上島珈琲店エミオ石神井公園店,03,03-6913-2414,,,,東京都　練馬区石神井町４丁目１番１７号,東京都練馬区石神井町４丁目１番１７号, エミオ石神井公園１Ｆ,75223,13,13120,石神井町４,,2021/12/21,2021/12/21,,,ユーシーシーフードサービスシステムズ株式会社,川野　浩司,,,,,,,,,3練健生石食第22044号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,上島珈琲店エミオ石神井公園店03-6913-24147522313120,626bea72-38da-4220-9a24-a157bc697d3a,ユーシーシーフードサービスシステムズ株式会社,fa920647-730a-42ac-ab05-db565fa7eb2a,7b96c94f-caeb-48b9-b276-46e9ea0463fa,2021/12/21,上島珈琲店エミオ石神井公園店,上島珈琲店エミオ石神井公園店,ユーシーシーフードサービスシステムズ株式会社
来久三堂,東京都,練馬区石神井町六丁目１９番２号,練馬区石神井町６丁目１９番２号,,上田喜久江,飲食店営業,,,3練健生石食第21801号,2021/12/20,2021/12/20,2027/12/31,,199,来久三堂,03,,,,,東京都　練馬区石神井町６丁目１９番２号,東京都練馬区石神井町６丁目１９番２号,,75225,13,13120,石神井町６,,2021/12/20,2021/12/20,,2027/12/31,,上田喜久江 ,,,,,,,,,3練健生石食第21801号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,来久三堂7522513120,a9157466-023e-4227-b5bc-5f0b2bbb9a20,,personal,771b2020-0649-4888-af81-03c6d4552fea,2021/12/20,来久三堂,来久三堂,
来久三堂,東京都,練馬区石神井町六丁目１９番２号,練馬区石神井町６丁目１９番２号,,上田喜久江,菓子製造業,,,3練健生石食第21802号,2021/12/20,2021/12/20,2027/12/31,,199,来久三堂,03,,,,,東京都　練馬区石神井町６丁目１９番２号,東京都練馬区石神井町６丁目１９番２号,,75225,13,13120,石神井町６,,2021/12/20,2021/12/20,,2027/12/31,,上田喜久江 ,,,,,,,,,3練健生石食第21802号,,菓子製造業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,,,来久三堂7522513120,a9157466-023e-4227-b5bc-5f0b2bbb9a20,,personal,98c4a1ae-6e2b-435b-bbec-e05677671604,2021/12/20,来久三堂,来久三堂,
来久三堂,東京都,練馬区石神井町六丁目１９番２号,練馬区石神井町６丁目１９番２号,,上田喜久江,そうざい製造業,,,3練健生石食第21803号,2021/12/20,2021/12/20,2027/12/31,,199,来久三堂,03,,,,,東京都　練馬区石神井町６丁目１９番２号,東京都練馬区石神井町６丁目１９番２号,,75225,13,13120,石神井町６,,2021/12/20,2021/12/20,,2027/12/31,,上田喜久江 ,,,,,,,,,3練健生石食第21803号,,そうざい製造業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,,,来久三堂7522513120,a9157466-023e-4227-b5bc-5f0b2bbb9a20,,personal,7548ea9a-aab5-4826-9ae3-84905ba6422b,2021/12/20,来久三堂,来久三堂,
グーチョキ・パン,東京都,練馬区石神井台三丁目４番１２号,練馬区石神井台３丁目４番１２号,,株式会社ブルーバード,飲食店営業,栗原直哉,03-6760-0049,3練健生石食第22040号,2021/12/24,2021/12/24,2027/12/31,,199,グーチョキ・パン,03,03-6760-0049,,,,東京都　練馬区石神井台３丁目４番１２号,東京都練馬区石神井台３丁目４番１２号,,75214,13,13120,石神井台３,,2021/12/24,2021/12/24,,2027/12/31,株式会社ブルーバード,栗原直哉,,,,,,,,,3練健生石食第22040号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,グチョキパン03-6760-00497521413120,094ec9e3-4635-4807-82e0-d718dc4b61de,株式会社ブルーバード,a545ecc1-4408-4003-a888-eecafb05c0fd,6b77a2d9-1a82-4fee-b8c9-d550b6863acb,2021/12/24,グーチョキ・パン,グチョキパン,株式会社ブルーバード
グーチョキ・パン,東京都,練馬区石神井台三丁目４番１２号,練馬区石神井台３丁目４番１２号,,株式会社ブルーバード,菓子製造業,栗原直哉,03-6760-0049,3練健生石食第22039号,2021/12/24,2021/12/24,2027/12/31,,199,グーチョキ・パン,03,03-6760-0049,,,,東京都　練馬区石神井台３丁目４番１２号,東京都練馬区石神井台３丁目４番１２号,,75214,13,13120,石神井台３,,2021/12/24,2021/12/24,,2027/12/31,株式会社ブルーバード,栗原直哉,,,,,,,,,3練健生石食第22039号,,菓子製造業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,,,グチョキパン03-6760-00497521413120,094ec9e3-4635-4807-82e0-d718dc4b61de,株式会社ブルーバード,a545ecc1-4408-4003-a888-eecafb05c0fd,d07c2758-b5ab-46c8-b29e-5765407b537c,2021/12/24,グーチョキ・パン,グチョキパン,株式会社ブルーバード
Ｒ（ア―　―　―　―　―ル）,東京都,練馬区石神井台三丁目２０番９号,練馬区石神井台３丁目２０番９号,,板橋順子,飲食店営業,,,3練健生石食第21856号,2021/12/2,2021/12/2,2027/12/31,,199,Ｒ（ア―　―　―　―　―ル）,03,,,,,東京都　練馬区石神井台３丁目２０番９号,東京都練馬区石神井台３丁目２０番９号,,75214,13,13120,石神井台３,,2021/12/02,2021/12/02,,2027/12/31,,板橋順子 ,,,,,,,,,3練健生石食第21856号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,Ｒアル7521413120,071e75b4-1851-4c6b-8c33-4316b1fe2892,,personal,2eb0403e-a86a-4897-9777-8b28b48df04c,2021/12/02,Ｒ（ア―　―　―　―　―ル）,Ｒアル,
Ｒ（ア―　―　―　―　―ル）,東京都,練馬区石神井台三丁目２０番９号,練馬区石神井台３丁目２０番９号,,板橋順子,菓子製造業,,,3練健生石食第21999号,2021/12/2,2021/12/2,2027/12/31,,199,Ｒ（ア―　―　―　―　―ル）,03,,,,,東京都　練馬区石神井台３丁目２０番９号,東京都練馬区石神井台３丁目２０番９号,,75214,13,13120,石神井台３,,2021/12/02,2021/12/02,,2027/12/31,,板橋順子 ,,,,,,,,,3練健生石食第21999号,,菓子製造業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,,,Ｒアル7521413120,071e75b4-1851-4c6b-8c33-4316b1fe2892,,personal,2694ac07-70c3-4e73-9507-a292755caba8,2021/12/02,Ｒ（ア―　―　―　―　―ル）,Ｒアル,
ケアハウス石神井台,東京都,練馬区石神井台六丁目１９番３号,練馬区石神井台６丁目１９番３号,,株式会社ソラスト,集団給食施設,藤河芳一,5947-5717,3練健生石食第22055号,2021/12/27,2021/12/27,,,199,ケアハウス石神井台,03,03-5947-5717,,,,東京都　練馬区石神井台６丁目１９番３号,東京都練馬区石神井台６丁目１９番３号,,75217,13,13120,石神井台６,,2021/12/27,2021/12/27,,,株式会社ソラスト,藤河芳一,,,,,,,,,3練健生石食第22055号,,給食施設,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,77,,,ケアハウス石神井台03-5947-57177521713120,0982c314-55ae-43b7-9832-9efd36c9f4d9,株式会社ソラスト,b891c321-f777-48be-856a-36b8c2eab015,1cd20ab1-72e0-4017-8aed-ad13f72388b8,2021/12/27,ケアハウス石神井台,ケアハウス石神井台,株式会社ソラスト
