https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-電話番号1,申請者1,確認番号,許可年月日,業種,申請-電話番号1,開業年月日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所TEL1,営業者名,許可番号,許可開始日,業種,"営業者TEL1
情報公開用",初回許可日,申請区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ゆんたく酒場　増富商店,豊島区,巣鴨三丁目31番2号,03-5972-1035,仲地 増富,1-03-01160,令和3年11月22日,1飲食店営業(一般),,令和3年11月22日,新規,,195,ゆんたく酒場　増富商店,03,03-5972-1035,,,,豊島区　巣鴨三丁目31番2号,東京都豊島区巣鴨３丁目３１番２号,,74803,13,13116,巣鴨３,,2021/11/22,2021/11/22,,,,仲地 増富,,,,,,,,,1-03-01160,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ゆんたく酒場増富商店03-5972-10357480313116,f31e9186-ad2a-4887-9c17-d54a7675fec5,,personal,7e2b3da5-7302-4897-8e56-28bfbe15246d,2021/11/22,ゆんたく酒場　増富商店,ゆんたく酒場増富商店,
"上海料理縁來家,珍館点心舖,福味ラーメン,阿福ジーパイ",豊島区,巣鴨三丁目31番2号,3940-7770,辛海合同会社,1-29-01889,平成29年12月27日,【~R3.5】飲食店営業(飲食一般·中華),3990-1085,平成29年12月27日,新規,,195,"上海料理縁來家,珍館点心舖,福味ラーメン,阿福ジーパイ",03,03-3940-7770,,,,豊島区　巣鴨三丁目31番2号,東京都豊島区巣鴨３丁目３１番２号,,74803,13,13116,巣鴨３,,2017/12/27,2017/12/27,,,辛海合同会社,,03-3990-1085,,,,,,,,1-29-01889,,飲食店営業,（中華）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,上海料理縁來家珍館点心舖福味ラメン阿福ジパイ03-3940-77707480313116,a8a29ef9-37af-4aba-93e7-a0b89521b5d8,辛海合同会社,c8f30ff6-e30f-4766-9ef3-e0bb681150f7,490a2d43-5f76-450f-a85c-138ca1bc0986,2017/12/27,上海料理縁來家，珍館点心舖，福味ラーメン，阿福ジーパイ,上海料理縁來家珍館点心舖福味ラメン阿福ジパイ,辛海合同会社
小菜料理　台湾,豊島区,単鴨三丁目39番9号,3940-4300,伊藤六三良,1-03-01162,令和3年11月15日,1飲食店営業(一般·中華),※※※※※,令和3年11月15日,新規,,195,小菜料理　台湾,03,03-3940-4300,,,,豊島区　単鴨三丁目39番9号,東京都豊島区巣鴨３丁目３９番９号,,74803,13,13116,巣鴨３,,2021/11/15,2021/11/15,,,,伊藤六三良,,,,,,,,,1-03-01162,,飲食店営業,（中華）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,小菜料理台湾03-3940-43007480313116,7105215b-eb29-45ac-afff-81181286ac29,,personal,0968610b-080b-4504-b463-618ffaf81c2e,2021/11/15,小菜料理　台湾,小菜料理台湾,
肉処　壱町田　巣鴨店,豊島区,巣鴨四丁目24番1号,3576-2105,明治屋産業株式会社,1-03-01298,,1飲食店営業(一般),092-432-9529,,新規,,195,肉処　壱町田　巣鴨店,03,03-3576-2105,,,,豊島区　巣鴨四丁目24番1号,東京都豊島区巣鴨４丁目２４番１号,,74804,13,13116,巣鴨４,,,,,,明治屋産業株式会社,,092-432-9529,,,,,,,,1-03-01298,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,肉処壱町田巣鴨店03-3576-21057480413116,17181226-f509-4a1b-935c-7e31dc60945a,明治屋産業株式会社,9fa73710-6c93-490f-99cf-73c00d4703f6,ecf09776-6b4b-4392-b742-7aaa9fc97561,2021/11/01,肉処　壱町田　巣鴨店,肉処壱町田巣鴨店,明治屋産業株式会社
肉処　壱町田　巣鴨店,豊島区,巣鴨四丁目24番1号,3576-2105,明治屋産業株式会社,1-03-01299,,3食肉販売業,092-432-9529,,新規,,195,肉処　壱町田　巣鴨店,03,03-3576-2105,,,,豊島区　巣鴨四丁目24番1号,東京都豊島区巣鴨４丁目２４番１号,,74804,13,13116,巣鴨４,,,,,,明治屋産業株式会社,,092-432-9529,,,,,,,,1-03-01299,,食肉販売業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,I,58,583,,肉処壱町田巣鴨店03-3576-21057480413116,17181226-f509-4a1b-935c-7e31dc60945a,明治屋産業株式会社,9fa73710-6c93-490f-99cf-73c00d4703f6,bfcd2760-c7d9-4db7-9026-9369bab7310f,2021/11/01,肉処　壱町田　巣鴨店,肉処壱町田巣鴨店,明治屋産業株式会社
巣鴨　ときわ食堂　庚申塚店,豊島区,巣鴨四丁目33番2号,3576-2269,株式会社こうしんづか,1-03-01206,令和3年11月22日,1飲食店営業(一般),5980-8656,令和3年11月22日,新規,,195,巣鴨　ときわ食堂　庚申塚店,03,03-3576-2269,,,,豊島区　巣鴨四丁目33番2号,東京都豊島区巣鴨４丁目３３番２号,,74804,13,13116,巣鴨４,,2021/11/22,2021/11/22,,,株式会社こうしんづか,,03-5980-8656,,,,,,,,1-03-01206,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,巣鴨ときわ食堂庚申塚店03-3576-22697480413116,59cacbe0-0d46-42e7-b55e-925ec257e214,株式会社こうしんづか,26c8cf66-09f8-4587-a9d2-efae4352b691,229b483c-be7a-4778-b987-731133e4ba12,2021/11/22,巣鴨　ときわ食堂　庚申塚店,巣鴨ときわ食堂庚申塚店,株式会社こうしんづか
増田屋,豊島区,西巣鴨三丁目9番3号,3918-1674,中田正実,1-03-01172,令和3年11月29日,1飲食店営業(一般),※※※※※,令和3年11月29日,新規,,195,増田屋,03,03-3918-1674,,,,豊島区　西巣鴨三丁目9番3号,東京都豊島区西巣鴨３丁目９番３号,,74828,13,13116,西巣鴨３,,2021/11/29,2021/11/29,,,,中田正実,,,,,,,,,1-03-01172,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,増田屋03-3918-16747482813116,e5ce0a32-2a79-4840-a759-71dbb8afc95d,,personal,8ba4dd63-a0d8-46fb-94d0-f81fc0f8fc95,2021/11/29,増田屋,増田屋,
増田屋,豊島区,西巣鴨三丁目9番3号,3918-1674,中田正実,1-03-01173,令和3年11月29日,16水産製品製造業,※※※※※,令和3年11月29日,新規,,195,増田屋,03,03-3918-1674,,,,豊島区　西巣鴨三丁目9番3号,東京都豊島区西巣鴨３丁目９番３号,,74828,13,13116,西巣鴨３,,2021/11/29,2021/11/29,,,,中田正実,,,,,,,,,1-03-01173,,水産製品製造業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,92,,増田屋03-3918-16747482813116,e5ce0a32-2a79-4840-a759-71dbb8afc95d,,personal,cfa0ff6d-0900-470d-9202-99500ad4598d,2021/11/29,増田屋,増田屋,
ファミリーマート西巣鴨店,豊島区,西巣鴨三丁目27番1号,5980-6034,東京エーアンドピーエム株式会社,1-29-0513,平成29年7月1日,【~R3.5】飲食店営業(飲食一般),3949-1007,平成3年7月23日,更新,,195,ファミリーマート西巣鴨店,03,03-5980-6034,,,,豊島区　西巣鴨三丁目27番1号,東京都豊島区西巣鴨３丁目２７番１号,,74828,13,13116,西巣鴨３,,1991/07/23,2017/07/01,,,東京エーアンドピーエム株式会社,,03-3949-1007,,,,,,,,1-29-0513,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ファミリマト西巣鴨店03-5980-60347482813116,410785b2-91b6-43a3-99cf-a2211a496780,東京エーアンドピーエム株式会社,e0452270-003c-4c38-8ef5-ee42875ee70e,b9577d8b-a36b-4a62-9a2e-022afc97182e,2017/07/01,ファミリーマート西巣鴨店,ファミリマト西巣鴨店,東京エーアンドピーエム株式会社
地底,豊島区,北大塚一丁目14番6号,,飯野翔太,1-03-01236,令和3年11月29日,1飲食店営業(一般),※※※※※,令和3年11月29日,新規,,195,地底,03,,,,,豊島区　北大塚一丁目14番6号,東京都豊島区北大塚１丁目１４番６号,,74791,13,13116,北大塚１,,2021/11/29,2021/11/29,,,,飯野翔太,,,,,,,,,1-03-01236,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,地底7479113116,53969723-adfc-460d-8a3f-b0e3430d4ecd,,personal,b5a3f0ba-8ac3-41ee-bd15-c770d3f43adc,2021/11/29,地底,地底,
ドミノ·ピザ　大塚店,豊島区,北大塚一丁目15番1号,5961-3222,株式会社ドミノ·ピザジャパン,1-30-00307,平成30年5月22日,【~R3.5】飲食店営業(飲食仕出),5820-3794,平成30年5月22日,新規,,195,ドミノ·ピザ　大塚店,03,03-5961-3222,,,,豊島区　北大塚一丁目15番1号,東京都豊島区北大塚１丁目１５番１号,,74791,13,13116,北大塚１,,2018/05/22,2018/05/22,,,株式会社ドミノ·ピザジャパン,,03-5820-3794,,,,,,,,1-30-00307,,飲食店営業,(飲食仕出),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ドミノピザ大塚店03-5961-32227479113116,6a059ddb-bc00-40a3-944c-b51fabff5082,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,2225d969-adad-4f48-aed1-fcef8cfdccfb,2018/05/22,ドミノ・ピザ　大塚店,ドミノピザ大塚店,株式会社ドミノ・ピザジャパン
ドミノ·ピザ　大塚店,豊島区,北大塚一丁目15番1号,5961-3222,株式会社ドミノ·ピザジャパン,1-30-00308,平成30年5月22日,【~R3.5】菓子製造業(生菓子·洋生菓子),5820-3794,平成30年5月22日,新規,,195,ドミノ·ピザ　大塚店,03,03-5961-3222,,,,豊島区　北大塚一丁目15番1号,東京都豊島区北大塚１丁目１５番１号,,74791,13,13116,北大塚１,,2018/05/22,2018/05/22,,,株式会社ドミノ·ピザジャパン,,03-5820-3794,,,,,,,,1-30-00308,,菓子製造業,(生菓子·洋生菓子),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ドミノピザ大塚店03-5961-32227479113116,6a059ddb-bc00-40a3-944c-b51fabff5082,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,ebef9e5c-743f-49e5-a809-6d71da55bf20,2018/05/22,ドミノ・ピザ　大塚店,ドミノピザ大塚店,株式会社ドミノ・ピザジャパン
平和居,豊島区,北大塚一丁目18番1号,3576-3115,桜木 健一,1-03-01214,令和3年11月29日,1飲食店営業(一般),,令和3年11月29日,新規,,195,平和居,03,03-3576-3115,,,,豊島区　北大塚一丁目18番1号,東京都豊島区北大塚１丁目１８番１号,,74791,13,13116,北大塚１,,2021/11/29,2021/11/29,,,,桜木 健一,,,,,,,,,1-03-01214,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,平和居03-3576-31157479113116,a2e4bb50-a207-4ff6-8740-2ddbd319a237,,personal,801f7b56-d06d-4aa2-b271-3ef94c5e1d5d,2021/11/29,平和居,平和居,
株式会社UJINコーポレーション カフェレストランうまうま,豊島区,北大塚二丁目7番7号,3915-2032,株式会社UJINコーポレーション,1-03-01275,令和3年11月30日,1飲食店営業(一般),3915-2032,令和3年11月30日,新規,,195,株式会社UJINコーポレーション カフェレストランうまうま,03,03-3915-2032,,,,豊島区　北大塚二丁目7番7号,東京都豊島区北大塚２丁目７番７号,,74792,13,13116,北大塚２,,2021/11/30,2021/11/30,,,株式会社UJINコーポレーション,,03-3915-2032,,,,,,,,1-03-01275,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,株式会社ＵＪＩＮコポレションカフェレストランうまうま03-3915-20327479213116,44371076-aada-4e59-8c67-28cfe52bdb40,株式会社ＵＪＩＮコーポレーション,a9ec54dd-ef92-44ca-a8c0-6849017ae493,e7883212-c87b-4601-943c-e21a4b68b4f7,2021/11/30,株式会社ＵＪＩＮコーポレーション　カフェレストランうまうま,株式会社ＵＪＩＮコポレションカフェレストランうまうま,株式会社ＵＪＩＮコーポレーション
W　COFFEE　北大塚店,豊島区,北大塚二丁目16番12号,6903-6061,株式会社アミーゴ,1-03-01245,令和3年11月29日,1飲食店営業(一般),,令和3年11月29日,新規,,195,W　COFFEE　北大塚店,03,03-6903-6061,,,,豊島区　北大塚二丁目16番12号,東京都豊島区北大塚２丁目１６番１２号,,74792,13,13116,北大塚２,,2021/11/29,2021/11/29,,,株式会社アミーゴ,,,,,,,,,,1-03-01245,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＷＣＯＦＦＥＥ北大塚店03-6903-60617479213116,a9a1ee17-4a73-4376-8e05-66f589134fab,株式会社アミーゴ,7e7daf94-56c2-492e-a5b5-665e459e0dcd,a037f8bf-f723-498b-a177-e9cbb31dc59d,2021/11/29,Ｗ　ＣＯＦＦＥＥ　北大塚店,ＷＣＯＦＦＥＥ北大塚店,株式会社アミーゴ
なっちゃん,豊島区,北大塚三丁目33番16号,3915-6515,成田誠子,1-03-01262,令和3年12月1日,1飲食店営業(一般),※※※※※,令和3年12月1日,新規,,195,なっちゃん,03,03-3915-6515,,,,豊島区　北大塚三丁目33番16号,東京都豊島区北大塚３丁目３３番１６号,,74793,13,13116,北大塚３,,2021/12/01,2021/12/01,,,,成田誠子,,,,,,,,,1-03-01262,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,なっちゃん03-3915-65157479313116,5d691a50-c2a7-462a-864a-b44d86353d0b,,personal,04a55851-b1b8-4ef1-a34f-2e833740fd37,2021/12/01,なっちゃん,なっちゃん,
天理教東京分教会,豊島区,南大塚一丁目5番15号,,天理教東京分教会,1-03-01259,,1飲食店営業(一般),3941-1516,,新規,,195,天理教東京分教会,03,,,,,豊島区　南大塚一丁目5番15号,東京都豊島区南大塚１丁目５番１５号,,74839,13,13116,南大塚１,,,,,,,天理教東京分教会,03-3941-1516,,,,,,,,1-03-01259,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,天理教東京分教会7483913116,9adbbb1b-c0fc-4b06-aa86-85c3971be08a,,personal,38bbc3e8-d4c4-4db5-b935-671aa13a482d,2021/11/01,天理教東京分教会,天理教東京分教会,
東池おはこ大勝軒,豊島区,南大塚一丁目31番21号,3947-0851,柴木俊男,1-03-01208,令和3年11月26日,1飲食店営業(一般·中華),※※※※※,令和3年11月26日,新規,,195,東池おはこ大勝軒,03,03-3947-0851,,,,豊島区　南大塚一丁目31番21号,東京都豊島区南大塚１丁目３１番２１号,,74839,13,13116,南大塚１,,2021/11/26,2021/11/26,,,,柴木俊男,,,,,,,,,1-03-01208,,飲食店営業,（中華）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,東池おはこ大勝軒03-3947-08517483913116,99545876-1f9b-4156-a985-7b23181422d7,,personal,c929a812-03a1-4a90-aeec-94266a403e81,2021/11/26,東池おはこ大勝軒,東池おはこ大勝軒,
ほっともっと　豊島南大塚店,豊島区,南大塚三丁目9番13-2号,03-5957-0896,株式会社プレナス,1-31-01078,令和元年10月2日,【~R3.5】飲食店営業(飲食弁当·ホカ弁),092-452-3600,令和元年10月2日,新規,,195,ほっともっと　豊島南大塚店,03,03-5957-0896,,,,豊島区　南大塚三丁目9番13-2号,東京都豊島区南大塚３丁目９番１３－２号,,74841,13,13116,南大塚３,,2019/10/02,2019/10/02,,,株式会社プレナス,,092-452-3600,,,,,,,,1-31-01078,,飲食店営業,(飲食弁当·ホカ弁),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ほっともっと豊島南大塚店03-5957-08967484113116,2d9c77d6-14a9-4ac2-807a-71ebfa1a2091,株式会社プレナス,f3f45d34-356a-4053-8703-f127243ef042,b388b97c-955b-42fb-8b3a-7bca90c3f79a,2019/10/02,ほっともっと　豊島南大塚店,ほっともっと豊島南大塚店,株式会社プレナス
BROSELEY,豊島区,南大塚三丁目34番11号,6907-4505,株式会社グリーンバレー,1-03-01178,令和3年11月19日,1飲食店営業(一般),3801-7273,令和3年11月19日,新規,,195,BROSELEY,03,03-6907-4505,,,,豊島区　南大塚三丁目34番11号,東京都豊島区南大塚３丁目３４番１１号,,74841,13,13116,南大塚３,,2021/11/19,2021/11/19,,,株式会社グリーンバレー,,03-3801-7273,,,,,,,,1-03-01178,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＢＲＯＳＥＬＥＹ03-6907-45057484113116,0600cf32-b615-49a7-948e-ca7cd5548b86,株式会社グリーンバレー,06e659dd-03d5-43c5-8366-5ad7a1c71b83,2e823107-1ed1-4a70-9b5b-574ac33c83e2,2021/11/19,ＢＲＯＳＥＬＥＹ,ＢＲＯＳＥＬＥＹ,株式会社グリーンバレー
リドル 　コーヒー&バー,豊島区,南大塚三丁目47番8号,03-6912-8331,福島康介,1-03-01276,令和3年11月30日,11菓子製造業(生菓子·洋生菓子),※※※※※,令和3年11月30日,新規,,195,リドル 　コーヒー&バー,03,03-6912-8331,,,,豊島区　南大塚三丁目47番8号,東京都豊島区南大塚３丁目４７番８号,,74841,13,13116,南大塚３,,2021/11/30,2021/11/30,,,,福島康介,,,,,,,,,1-03-01276,,菓子製造業,（生菓子・洋生菓子）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,リドルコヒバ03-6912-83317484113116,c5e55e94-81c7-420d-b0bd-40c8b82cd860,,personal,8d281bf4-7c31-47e4-b3dc-8a6e29ae7d6d,2021/11/30,リドル　コーヒー＆バー,リドルコヒバ,
四季　中華酒館,豊島区,南大塚三丁目50番3号,03-6770-3774,潤鋒合同会社,1-03-01256,令和3年11月24日,1飲食店営業(一般·中華),03-6770-3774,令和3年11月24日,新規,,195,四季　中華酒館,03,03-6770-3774,,,,豊島区　南大塚三丁目50番3号,東京都豊島区南大塚３丁目５０番３号,,74841,13,13116,南大塚３,,2021/11/24,2021/11/24,,,潤鋒合同会社,,03-6770-3774,,,,,,,,1-03-01256,,飲食店営業,（中華）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,四季中華酒館03-6770-37747484113116,16be7b0d-121c-43db-825b-580617fb1cf2,潤鋒合同会社,e0620c30-2ba4-403f-bf95-094929b055ce,342b6f9d-b073-4124-b050-e73759ef142e,2021/11/24,四季　中華酒館,四季中華酒館,潤鋒合同会社
ドミノ·ピザ　上池袋店,豊島区,上池袋一丁目39番7号,3949-5522,株式会社ドミノ·ピザジャパン,1-26-02029,平成27年2月25日,【~R3.5】飲食店営業(飲食仕出),5820-3650,昭和62年11月14日,新規,,195,ドミノ·ピザ　上池袋店,03,03-3949-5522,,,,豊島区　上池袋一丁目39番7号,東京都豊島区上池袋１丁目３９番７号,,74787,13,13116,上池袋１,,1987/11/14,2015/02/25,,,株式会社ドミノ·ピザジャパン,,03-5820-3650,,,,,,,,1-26-02029,,飲食店営業,(飲食仕出),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ドミノピザ上池袋店03-3949-55227478713116,2aa6d522-a213-4511-9e94-08e752f30bea,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,1ae75de0-76f2-4962-aa8e-6b75bdfcd1cf,2015/02/25,ドミノ・ピザ　上池袋店,ドミノピザ上池袋店,株式会社ドミノ・ピザジャパン
珈琲茶館　集　池袋店,豊島区,東池袋一丁目2番2号,3980-3851,株式会社酔心,1-27-01026,平成27年9月29日,【~R3.5】飲食店営業(飲食一般·喫茶店),03-3433-6601,平成15年7月7日,新規,,195,珈琲茶館　集　池袋店,03,03-3980-3851,,,,豊島区　東池袋一丁目2番2号,東京都豊島区東池袋１丁目２番２号,,74830,13,13116,東池袋１,,2003/07/07,2015/09/29,,,株式会社酔心,,03-3433-6601,,,,,,,,1-27-01026,,喫茶店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,珈琲茶館集池袋店03-3980-38517483013116,11f74b87-061f-407a-89c4-820c44691416,株式会社酔心,70cc459c-1bec-4547-a4e8-092629fb71a8,63561ba7-c9a4-460f-8c21-7a37469de439,2015/09/29,珈琲茶館　集　池袋店,珈琲茶館集池袋店,株式会社酔心
七宝麻辣湯　池袋東口店,豊島区,東池袋一丁目4番4号,5924-6733,株式会社ひむろ,1-28-02192,平成29年3月17日,【~R3.5】飲食店営業(飲食一般·中華),03-6721-0756,平成29年3月17日,新規,,195,七宝麻辣湯　池袋東口店,03,03-5924-6733,,,,豊島区　東池袋一丁目4番4号,東京都豊島区東池袋１丁目４番４号,,74830,13,13116,東池袋１,,2017/03/17,2017/03/17,,,株式会社ひむろ,,03-6721-0756,,,,,,,,1-28-02192,,飲食店営業,（中華）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,七宝麻辣湯池袋東口店03-5924-67337483013116,7c0a1f40-d290-4f53-b194-0da8dd1e5998,株式会社ひむろ,d85d9793-e9cd-4dd5-b539-2391dcb2baaa,1ffc64d9-7b89-43d3-862f-f50143dd3c3b,2017/03/17,七宝麻辣湯　池袋東口店,七宝麻辣湯池袋東口店,株式会社ひむろ
エンタメ横丁　DRINK&CAFEBAR,豊島区,東池袋一丁目5番7号,03-6709-0247,株式会社SG,1-03-01255,令和3年11月29日,1飲食店営業(一般),,令和3年11月29日,新規,,195,エンタメ横丁　DRINK&CAFEBAR,03,03-6709-0247,,,,豊島区　東池袋一丁目5番7号,東京都豊島区東池袋１丁目５番７号,,74830,13,13116,東池袋１,,2021/11/29,2021/11/29,,,株式会社SG,,,,,,,,,,1-03-01255,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,エンタメ横丁ＤＲＩＮＫＣＡＦＥＢＡＲ03-6709-02477483013116,3c957548-6f97-4932-90d5-712dc5919b05,株式会社ＳＧ,bab3d24a-af4e-478b-891b-604c07614160,500246e4-81cc-4323-b738-ac8bd704473f,2021/11/29,エンタメ横丁　ＤＲＩＮＫ＆ＣＡＦＥＢＡＲ,エンタメ横丁ＤＲＩＮＫＣＡＦＥＢＡＲ,株式会社ＳＧ
椿屋カフェ　池袋東口店,豊島区,東池袋一丁目7番12号,03-6912-6864,東和フードサービス株式会社,1-31-00076,平成31年4月18日,【 ~ R3.5】飲食店営業(飲食一般·喫茶店),03-5843-7666,平成31年4月18日,新規,,195,椿屋カフェ　池袋東口店,03,03-6912-6864,,,,豊島区　東池袋一丁目7番12号,東京都豊島区東池袋１丁目７番１２号,,74830,13,13116,東池袋１,,2019/04/18,2019/04/18,,,東和フードサービス株式会社,,03-5843-7666,,,,,,,,1-31-00076,,喫茶店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,椿屋カフェ池袋東口店03-6912-68647483013116,a991f935-0366-450d-87ee-93799731b374,東和フードサービス株式会社,d47b1e08-b44a-4554-9f26-f044def77e07,cb1a0f1a-aa9f-4b9f-9cb7-b19cda1af40c,2019/04/18,椿屋カフェ　池袋東口店,椿屋カフェ池袋東口店,東和フードサービス株式会社
ロッテリア池袋東口店,豊島区,東池袋一丁目11番4号,3982-8781,株式会社ロッテリア,1-02-00072,令和2年5月1日,【~R3.5】飲食店営業(飲食一般·ファース),3375-1211,平成18年4月21日,更新,,195,ロッテリア池袋東口店,03,03-3982-8781,,,,豊島区　東池袋一丁目11番4号,東京都豊島区東池袋１丁目１１番４号,,74830,13,13116,東池袋１,,2006/04/21,2020/05/01,,,株式会社ロッテリア,,03-3375-1211,,,,,,,,1-02-00072,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ロッテリア池袋東口店03-3982-87817483013116,b183cc4e-fc3e-4b8f-b9b8-0070ccad0dae,株式会社ロッテリア,8f8d8624-3cfa-44da-ab0a-0447e10b1c10,1c366a61-11ea-4ee2-b851-a1605d550390,2020/05/01,ロッテリア池袋東口店,ロッテリア池袋東口店,株式会社ロッテリア
yum　yum,豊島区,東池袋一丁目13番9号,,川崎真生,1-31-01703,令和元年12月20日,【~R3.5】飲食店営業(飲食一般),※※※※※,令和元年12月20日,新規,,195,yum　yum,03,,,,,豊島区　東池袋一丁目13番9号,東京都豊島区東池袋１丁目１３番９号,,74830,13,13116,東池袋１,,2019/12/20,2019/12/20,,,,川崎真生,,,,,,,,,1-31-01703,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ｙｕｍｙｕｍ7483013116,19f88ca3-71b7-4cc8-a91b-b658499f85a3,,personal,dc5728d9-af28-40ef-a327-7249bba6680c,2019/12/20,ｙｕｍ　ｙｕｍ,ｙｕｍｙｕｍ,
Club　Mixa,豊島区,東池袋一丁目14番3号,03-5944-9771,キングレコード株式会社,1-31-02196,令和2年3月3日,【~R3.5】飲食店営業(飲食一般),03-3945-2137,令和2年3月3日,新規,,195,Club　Mixa,03,03-5944-9771,,,,豊島区　東池袋一丁目14番3号,東京都豊島区東池袋１丁目１４番３号,,74830,13,13116,東池袋１,,2020/03/03,2020/03/03,,,キングレコード株式会社,,03-3945-2137,,,,,,,,1-31-02196,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＣｌｕｂＭｉｘａ03-5944-97717483013116,45f1e6db-e7dc-49bb-9960-8c5d6f97c800,キングレコード株式会社,29f15d5a-398b-4c7d-be18-f5c5c419fb50,6dd9f5cf-b1e1-4142-b138-2fb06b2222ba,2020/03/03,Ｃｌｕｂ　Ｍｉｘａ,ＣｌｕｂＭｉｘａ,キングレコード株式会社
