,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合資会社　米匠ふる市,茨城県ひたちなか市元町8-9,茨城県ひたちなか市元町８－９,,029-272-2967,米穀類販売業,米穀類販売業,合資会社　米匠ふる市,古市　栄,茨城県ひたちなか市元町8-9,茨城県ひたちなか市元町８－９,,029-272-2967,,2022/07/06,,,ひたちなか保健所,合資会社　米匠ふる市,029,029-272-2967,,,,茨城県ひたちなか市元町８－９,茨城県ひたちなか市元町８－９,,55733,茨城県,ひたちなか市,元町,,,2022/07/06,,,合資会社　米匠ふる市,古市　栄,029-272-2967,茨城県ひたちなか市元町８－９,茨城県ひたちなか市元町８－９,,55733,茨城県,ひたちなか市,元町,,,米穀類販売業, 米穀類販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,米穀類小売業,,,,,,,合資会社米匠ふる市,合資会社米匠ふる市,合資会社米匠ふる市,,2,,,,,
アルテミラ製缶株式会社　結城工場,茨城県結城市新堤仲通り１－１,茨城県結城市新堤仲通り１－１,,0296333811,器具・容器包装・おもちゃ製造業又は販売業,器具・容器包装・おもちゃ製造業又は販売業,アルテミラ製缶株式会社,中塚　晃章,東京都文京区後楽１－４－２５　日教販ビル８階,東京都文京区後楽１－４－２５,日教販ビル８階,0338687470,,2022/07/06,,,筑西保健所,アルテミラ製缶株式会社　結城工場,0296,0296-33-3811,,,,茨城県結城市新堤仲通り１－１,茨城県結城市新堤仲通り１－１,,54483,茨城県,結城市,新堤仲通り,,,2022/07/06,,,アルテミラ製缶株式会社,中塚　晃章,03-3868-7470,東京都文京区後楽１－４－２５,東京都文京区後楽１－４－２５,,73332,東京都,文京区,後楽１,,,器具・容器・おもちゃ製造業, 器具・容器包装・おもちゃ製造業又は販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,プラスチック製品製造業（別掲を除く）,,,,,,,,,アルテミラ製缶株式会社結城工場,アルテミラ製缶株式会社結城工場,アルテミラ製缶株式会社,,1,,,,,
クリヤマストアー,茨城県稲敷市幸田１００６～７合併,茨城県稲敷市幸田１００６～７合併,,0299-79-2517,百貨店、総合スーパー,百貨店、総合スーパー,栗山 正文,,,,,,,2022/07/06,,,竜ケ崎保健所,クリヤマストアー,0299,0299-79-2517,,,,茨城県稲敷市幸田１００６～７合併,茨城県稲敷市幸田１００６～７合併,,56366,茨城県,稲敷市,幸田,,,2022/07/06,,,,,,,,,,,,,,,百貨店、総合スーパー, 百貨店、総合スーパー,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,各種商品小売業,百貨店，総合スーパー,百貨店，総合スーパー,,,,,,,クリヤマストアー,クリヤマストア,,,1,,,,,
セブン－イレブン　小美玉中野谷店,茨城県小美玉市中野谷434-21,茨城県小美玉市中野谷４３４－２１,,0299-47-1212,コンビニエンスストア,コンビニエンスストア,大関　美恵子,,,,,,,2022/07/07,,,中央保健所,セブン－イレブン　小美玉中野谷店,0299,0299-47-1212,,,,茨城県小美玉市中野谷４３４－２１,茨城県小美玉市中野谷４３４－２１,,56951,茨城県,小美玉市,中野谷,,,2022/07/07,,,,,,,,,,,,,,,コンビニエンスストア, コンビニエンスストア,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,,,,,,,セブンイレブン　小美玉中野谷店,セブンイレブン小美玉中野谷店,,セブンイレブン,2,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
ダイソー　カスミ古河諸川店,茨城県古河市諸川2013,茨城県古河市諸川２０１３,,,その他の食料・飲料販売業,その他（食品販売業）,株式会社大創産業,矢野　靖二,広島県東広島市西条吉行東1-4-14,広島県東広島市西条吉行東１－４－１４,,082-420-0100,,2022/07/07,,,古河保健所,ダイソー　カスミ古河諸川店,0280,,,,,茨城県古河市諸川２０１３,茨城県古河市諸川２０１３,,54298,茨城県,古河市,諸川,,,2022/07/07,,,株式会社大創産業,矢野　靖二,082-420-0100,広島県東広島市西条吉行東１－４－１４,広島県東広島市西条吉行東１－４－１４,,186030,広島県,東広島市,西条吉行東１,,,その他の食料品製造・加工業,(包装) その他（食品販売業）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,ダイソー　カスミ古河諸川店,ダイソカスミ古河諸川店,株式会社大創産業,,1,,,,,
ダイセー倉庫運輸株式会社　関東第二物流センター,茨城県古河市茶屋新田字原山270-13,茨城県古河市茶屋新田字原山２７０－１３,,0280-48-6650,器具・容器包装・おもちゃ製造業又は販売業,器具・容器包装・おもちゃ製造業又は販売業,ダイセー倉庫運輸株式会社,吉田　憲三,愛知県小牧市大字入鹿出新田字新道900,愛知県小牧市大字入鹿出新田字新道９００,,056-872-7221,,2022/07/07,,,古河保健所,ダイセー倉庫運輸株式会社　関東第二物流センター,0280,0280-48-6650,,,,茨城県古河市茶屋新田字原山２７０－１３,茨城県古河市茶屋新田字原山２７０－１３,,54214,茨城県,古河市,茶屋新田,,,2022/07/07,,,ダイセー倉庫運輸株式会社,吉田　憲三,056-872-7221,愛知県小牧市大字入鹿出新田字新道９００,愛知県小牧市入鹿出新田字新道９００,,127325,愛知県,小牧市,入鹿出新田,,,器具・容器・おもちゃ製造業, 器具・容器包装・おもちゃ製造業又は販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,プラスチック製品製造業（別掲を除く）,,,,,,,,,ダイセー倉庫運輸株式会社関東第二物流センター,ダイセ倉庫運輸株式会社関東第二物流センタ,ダイセー倉庫運輸株式会社,,1,,,,,
自然農法果樹園　アイアイファーム,茨城県常陸大宮市野上2905-2,茨城県常陸大宮市野上２９０５－２,,0295573208,農産保存食料品製造・加工業,農産保存食料品製造・加工業,飛田　とも子,,,,,,,2022/07/08,,,ひたちなか保健所,自然農法果樹園　アイアイファーム,0295,0295-57-3208,,,,茨城県常陸大宮市野上２９０５－２,茨城県常陸大宮市野上２９０５－２,,56038,茨城県,常陸大宮市,野上,,,2022/07/08,,,,,,,,,,,,,,,農産保存食料品製造・加工業, 農産保存食料品製造・加工業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,野菜缶詰・果実缶詰・農産保存食料品製造業,,,,,,,,自然農法果樹園　アイアイファーム,自然農法果樹園アイアイファム,,,1,,,,,
ゆたか学童クラブ,茨城県那珂市後台1855-1,茨城県那珂市後台１８５５－１,,029-352-1233,集団給食施設,その他－児童,社会福祉法人豊潤会　ゆたか保育園,山田　日出美,茨城県那珂市後台1854-1,茨城県那珂市後台１８５４－１,,029-295-0935,,2022/07/08,,,ひたちなか保健所,ゆたか学童クラブ,029,029-352-1233,,,,茨城県那珂市後台１８５５－１,茨城県那珂市後台１８５５－１,,56073,茨城県,那珂市,後台,,,2022/07/08,,,社会福祉法人豊潤会　ゆたか保育園,山田　日出美,029-295-0935,茨城県那珂市後台１８５４－１,茨城県那珂市後台１８５４－１,,56073,茨城県,那珂市,後台,,,給食施設, その他－児童,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,持ち帰り・配達飲食サービス業,,,,,,,,,ゆたか学童クラブ,ゆたか学童クラブ,社会福祉法人豊潤会　ゆたか保育園,,1,,,,,
加賀屋商店　ブース５,茨城県神栖市神栖1-65-43　神栖横丁店舗棟,茨城県神栖市神栖１－６５－４３,神栖横丁店舗棟,090-9367-7164,その他の食料・飲料販売業,その他（食品販売業）,株式会社　地域活性舎,代表取締役　加藤　昌人,千葉県香取市上小堀1517,千葉県香取市上小堀１５１７,,0478-82-7666,,2022/07/08,,,潮来保健所,加賀屋商店　ブース５,0299,090-9367-7164,,,,茨城県神栖市神栖１－６５－４３,茨城県神栖市神栖１－６５－４３,神栖横丁店舗棟,56611,茨城県,神栖市,神栖１,,,2022/07/08,,,株式会社　地域活性舎,代表取締役　加藤　昌人,0478-82-7666,千葉県香取市上小堀１５１７,千葉県香取市上小堀１５１７,,71989,千葉県,香取市,上小堀,,,その他の食料品製造・加工業,(包装) その他（食品販売業）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,加賀屋商店　ブース５,加賀屋商店ブス５,株式会社地域活性舎,,2,,,,,
ＬＡＮＴＥＲＮ　ＣＡＭＰＩＮＧ　ＦＩＥＬＤ　ＭＯＲＩＹＡ,茨城県守谷市野木崎4700,茨城県守谷市野木崎４７００,,0297-21-8889,その他の食料・飲料販売業,その他（食品販売業）,株式会社パシュート,,,,,,,2022/07/08,,,竜ケ崎保健所,ＬＡＮＴＥＲＮ　ＣＡＭＰＩＮＧ　ＦＩＥＬＤ　ＭＯＲＩＹＡ,0297,0297-21-8889,,,,茨城県守谷市野木崎４７００,茨城県守谷市野木崎４７００,,55922,茨城県,守谷市,野木崎,,,2022/07/08,,,株式会社パシュート,,,,,,,,,,,,その他の食料品製造・加工業,(包装) その他（食品販売業）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,ＬＡＮＴＥＲＮ　ＣＡＭＰＩＮＧ　ＦＩＥＬＤ　ＭＯＲＩＹＡ,ＬＡＮＴＥＲＮＣＡＭＰＩＮＧＦＩＥＬＤＭＯＲＩＹＡ,株式会社パシュート,,1,,,,,
高匠,茨城県下妻市堀篭９７２－１,茨城県下妻市堀篭９７２－１,,0296301700,その他の食料・飲料販売業,菓子（パンを含む）販売業,株式会社LAPI,内藤　静,東京都練馬区田柄2-38-18,東京都練馬区田柄２－３８－１８,,0339777110,,2022/07/08,,,筑西保健所,高匠,0296,0296-30-1700,,,,茨城県下妻市堀篭９７２－１,茨城県下妻市堀篭９７２－１,,54658,茨城県,下妻市,堀篭,,,2022/07/08,,,株式会社LAPI,内藤　静,03-3977-7110,東京都練馬区田柄２－３８－１８,東京都練馬区田柄２－３８－１８,,75245,東京都,練馬区,田柄２,,,その他の食料品製造・加工業,(包装) 菓子（パンを含む）販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,高匠,高匠,株式会社ＬＡＰＩ,,1,,,,,
フードスクエア　古河諸川店,茨城県古河市諸川2499,茨城県古河市諸川２４９９,,0280-23-2143,百貨店、総合スーパー,百貨店、総合スーパー,株式会社カスミ,山本　慎一郎,茨城県つくば市西大橋599-1,茨城県つくば市西大橋５９９－１,,029-850-1850,,2022/07/08,,,古河保健所,フードスクエア　古河諸川店,0280,0280-23-2143,,,,茨城県古河市諸川２４９９,茨城県古河市諸川２４９９,,54298,茨城県,古河市,諸川,,,2022/07/08,,,株式会社カスミ,山本　慎一郎,029-850-1850,茨城県つくば市西大橋５９９－１,茨城県つくば市西大橋５９９－１,,55418,茨城県,つくば市,西大橋,,,百貨店、総合スーパー, 百貨店、総合スーパー,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,各種商品小売業,百貨店，総合スーパー,百貨店，総合スーパー,,,,,,,フードスクエア　古河諸川店,フドスクエア古河諸川店,株式会社カスミ,,3,,,,,
万年屋菓子店,茨城県北茨城市関南町仁井田７８９－２,茨城県北茨城市関南町仁井田７８９－２,,0293-46-8600,その他の食料・飲料販売業,菓子（パンを含む）販売業,廣木　安久,,,,,,,2022/07/10,,,日立保健所,万年屋菓子店,0293,0293-46-8600,,,,茨城県北茨城市関南町仁井田７８９－２,茨城県北茨城市関南町仁井田７８９－２,,54952,茨城県,北茨城市,関南町仁井田,,,2022/07/10,,,,,,,,,,,,,,,その他の食料品製造・加工業,(包装) 菓子（パンを含む）販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,万年屋菓子店,万年屋菓子店,,,2,,,,,
万年屋菓子店,茨城県北茨城市関南町仁井田７８９－２,茨城県北茨城市関南町仁井田７８９－２,,0293-46-8600,弁当販売業,弁当販売業,廣木　安久,,,,,,,2022/07/10,,,日立保健所,万年屋菓子店,0293,0293-46-8600,,,,茨城県北茨城市関南町仁井田７８９－２,茨城県北茨城市関南町仁井田７８９－２,,54952,茨城県,北茨城市,関南町仁井田,,,2022/07/10,,,,,,,,,,,,,,,弁当販売業, 弁当販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,万年屋菓子店,万年屋菓子店,,,2,,,,,
ＭＥＫＥＮＩ,茨城県龍ケ崎市姫宮町8144-1,茨城県龍ケ崎市姫宮町８１４４－１,,,その他の食料・飲料販売業,その他（食品販売業）,木村　スサナ,,,,,,,2022/07/11,,,竜ケ崎保健所,ＭＥＫＥＮＩ,0297,,,,,茨城県龍ケ崎市姫宮町８１４４－１,茨城県竜が崎市姫宮町８１４４－１,,54533,茨城県,龍ケ崎市,姫宮町,,,2022/07/11,,,,,,,,,,,,,,,その他の食料品製造・加工業,(包装) その他（食品販売業）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,ＭＥＫＥＮＩ,ＭＥＫＥＮＩ,,,1,,,,,
土浦工場　粉体ブレンド工場,茨城県稲敷郡阿見町阿見4041,茨城県稲敷郡阿見町阿見４０４１,,0298-88-8015,糖類製造・加工業,糖類製造・加工業,三菱商事ライフサイエンス㈱,岸本　好司,東京都千代田区有楽町1-1-3,東京都千代田区有楽町１－１－３,,03-6891-7100,,2022/07/11,,,竜ケ崎保健所,土浦工場　粉体ブレンド工場,029,0298-88-8015,,,,茨城県稲敷郡阿見町阿見４０４１,茨城県稲敷郡阿見町阿見４０４１,,57134,茨城県,稲敷郡阿見町,阿見,,,2022/07/11,,,三菱商事ライフサイエンス㈱,岸本　好司,03-6891-7100,東京都千代田区有楽町１－１－３,東京都千代田区有楽町１－１－３,,72936,東京都,千代田区,有楽町１,,,糖類製造・加工業, 糖類製造・加工業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,土浦工場　粉体ブレンド工場,土浦工場粉体ブレンド工場,三菱商事ライフサイエンス株式会社,,1,,,,,
セブンーイレブン　小美玉与沢店,茨城県小美玉市与沢980-5,茨城県小美玉市与沢９８０－５,,0299-54-0677,コンビニエンスストア,コンビニエンスストア,株式会社Ｋ＆Ｈ,浜田　勝美,茨城県行方市小幡1101-47,茨城県行方市小幡１１０１－４７,,0291-35-0477,,2022/07/12,,,中央保健所,セブンーイレブン　小美玉与沢店,0299,0299-54-0677,,,,茨城県小美玉市与沢９８０－５,茨城県小美玉市与沢９８０－５,,56966,茨城県,小美玉市,与沢,,,2022/07/12,,,株式会社Ｋ＆Ｈ,浜田　勝美,0291-35-0477,茨城県行方市小幡１１０１－４７,茨城県行方市小幡１１０１－４７,,56707,茨城県,行方市,小幡,,,コンビニエンスストア, コンビニエンスストア,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,,,,,,,セブンイレブン　小美玉与沢店,セブンイレブン小美玉与沢店,株式会社Ｋ＆Ｈ,セブンイレブン,2,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
笠間市社会福祉協議会地域福祉センターＡ館２Ｆ,茨城県笠間市美原3-2-11,茨城県笠間市美原３－２－１１,,0296-77-2626,農産保存食料品製造・加工業,農産保存食料品製造・加工業,小菅　栄子,,,,,,,2022/07/13,,,中央保健所,笠間市社会福祉協議会地域福祉センターＡ館２Ｆ,0296,0296-77-2626,,,,茨城県笠間市美原３－２－１１,茨城県笠間市美原３－２－１１,,55070,茨城県,笠間市,美原３,,,2022/07/13,,,,,,,,,,,,,,,農産保存食料品製造・加工業, 農産保存食料品製造・加工業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,野菜缶詰・果実缶詰・農産保存食料品製造業,,,,,,,,笠間市社会福祉協議会地域福祉センターＡ館２Ｆ,笠間市社会福祉協議会地域福祉センタＡ館２Ｆ,,,1,,,,,
ＴＸ石岡延伸フェスタ,茨城県石岡市国府1-1-20　石岡駅西口ステーションパーク1階,茨城県石岡市国府１－１－２０,石岡駅西口ステーションパーク１階,,その他の食料・飲料販売業,その他（食品販売業）,石岡市,谷島　洋司（市長）,茨城県石岡市石岡1-1-1,茨城県石岡市石岡１－１－１,,0299-23-1111,,2022/07/13,,,土浦保健所,ＴＸ石岡延伸フェスタ,0299,,,,,茨城県石岡市国府１－１－２０,茨城県石岡市国府１－１－２０,石岡駅西口ステーションパーク１階,54312,茨城県,石岡市,国府１,,,2022/07/13,,,石岡市 ,谷島　洋司（市長）,0299-23-1111,茨城県石岡市石岡１－１－１,茨城県石岡市石岡１－１－１,,54305,茨城県,石岡市,石岡１,,,その他の食料品製造・加工業,(包装) その他（食品販売業）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,ＴＸ石岡延伸フェスタ,ＴＸ石岡延伸フェスタ,,,1,,,,,
高桑　誠,茨城県かすみがうら市上稲吉1984,茨城県かすみがうら市上稲吉１９８４,,,その他の食料品製造・加工業,野菜加工業,高桑　誠,,,,,,,2022/07/13,,,土浦保健所,高桑　誠,0299,,,,,茨城県かすみがうら市上稲吉１９８４,茨城県かすみがうら市上稲吉１９８４,,56459,茨城県,かすみがうら市,上稲吉,,,2022/07/13,,,,,,,,,,,,,,,その他の食料品製造・加工業, 野菜加工業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,高桑　誠,高桑誠,,,1,,,,,
八郷出荷組合,茨城県石岡市東成井1586-1,茨城県石岡市東成井１５８６－１,,0299-46-0076,野菜果物販売業,野菜果物販売業,長谷川　幸雄,,,,,,,2022/07/13,,,土浦保健所,八郷出荷組合,0299,0299-46-0076,,,,茨城県石岡市東成井１５８６－１,茨城県石岡市東成井１５８６－１,,54433,茨城県,石岡市,東成井,,,2022/07/13,,,,,,,,,,,,,,,野菜果物販売業, 野菜果物販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,野菜・果実小売業,,,,,,,,八郷出荷組合,八郷出荷組合,,,1,,,,,
まちの八百屋さん　らふるった（Ｌａｆｒｕｔｔａ）,茨城県つくば市吉沼字新地1117番地1,茨城県つくば市吉沼字新地１１１７番地１,,070-5077-8269,野菜果物販売業,野菜果物販売業,川中　理絵,,,,,,,2022/07/13,,,つくば保健所,まちの八百屋さん　らふるった（Ｌａｆｒｕｔｔａ）,029,070-5077-8269,,,,茨城県つくば市吉沼字新地１１１７番地１,茨城県つくば市吉沼字新地１１１７番地１,,55475,茨城県,つくば市,吉沼,,,2022/07/13,,,,,,,,,,,,,,,野菜果物販売業, 野菜果物販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,野菜・果実小売業,,,,,,,,まちの八百屋さん　らふるった（Ｌａｆｒｕｔｔａ）,まちの八百屋さんらふるったＬａｆｒｕｔｔａ,,,1,,,,,
ロコレディＲ2カフェ,茨城県常総市水海道諏訪町3222-3,茨城県常総市水海道諏訪町３２２２－３,,0297-23-2111,弁当販売業,弁当販売業,(株)ロコレディ,羽富　都市彰,茨城県常総市水海道宝町2736-2,茨城県常総市水海道宝町２７３６－２,,0297-22-1377,,2022/07/13,,,つくば保健所,ロコレディＲ2カフェ,0297,0297-23-2111,,,,茨城県常総市水海道諏訪町３２２２－３,茨城県常総市水海道諏訪町３２２２－３,,54727,茨城県,常総市,水海道諏訪町,,,2022/07/13,,,(株)ロコレディ,羽富　都市彰,0297-22-1377,茨城県常総市水海道宝町２７３６－２,茨城県常総市水海道宝町２７３６－２,,54728,茨城県,常総市,水海道宝町,,,弁当販売業, 弁当販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ロコレディＲ２カフェ,ロコレディＲ２カフェ,株式会社ロコレディ,,1,,,,,
自家焙煎珈琲　ゆらふる,茨城県那珂市菅谷3045ー3,茨城県那珂市菅谷３０４５ー３,,090-4642-9971,その他の食料品製造・加工業,その他（食品製造業）,会沢　遊太郎,,,,,,,2022/07/14,,,ひたちなか保健所,自家焙煎珈琲　ゆらふる,029,090-4642-9971,,,,茨城県那珂市菅谷３０４５ー３,茨城県那珂市菅谷３０４５－３,,56077,茨城県,那珂市,菅谷,,,2022/07/14,,,,,,,,,,,,,,,その他の食料品製造・加工業, その他（食品製造業）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,自家焙煎珈琲　ゆらふる,自家焙煎珈琲ゆらふる,,,1,,,,,
スイーツコレクション,茨城県ひたちなか市新光町35ニューポートひたちなかファッションクルーズ,茨城県ひたちなか市新光町３５ニューポートひたちなかファッションクルーズ,,,その他,その他,株式会社　たゆら,市原　朋之,千葉県市川市市川南4-4-33,千葉県市川市市川南４－４－３３,,047-316-2427,,2022/07/14,,,ひたちなか保健所,スイーツコレクション,029,,,,,茨城県ひたちなか市新光町３５ニューポートひたちなかファッションクルーズ,茨城県ひたちなか市新光町３５,ニュ－ポ－トひたちなかファツションクル－ズ,55745,茨城県,ひたちなか市,新光町,,,2022/07/14,,,株式会社　たゆら,市原　朋之,047-316-2427,千葉県市川市市川南４－４－３３,千葉県市川市市川南４－４－３３,,67632,千葉県,市川市,市川南４,,,その他, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,分類不能の産業,,,,,,,,,,スイーツコレクション,スイツコレクション,株式会社たゆら,,1,,,,,
あらや,茨城県日立市留町１８２,茨城県日立市留町１８２,,,その他の食料品製造・加工業,その他（食品製造業）,川﨑　彰彦,,,,,,,2022/07/14,,,日立保健所,あらや,0294,,,,,茨城県日立市留町１８２,茨城県日立市留町１８２,,53879,茨城県,日立市,留町,,,2022/07/14,,,,,,,,,,,,,,,その他の食料品製造・加工業, その他（食品製造業）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,あらや,あらや,,,1,,,,,
ベジファクトリー,茨城県内一円（水戸市を除く）,茨城県内一円,（水戸市を除く）,0296-28-7823,野菜果物販売業,野菜果物販売業,藤田　幸恵,,,,,,,2022/07/14,,,日立保健所,ベジファクトリー,,0296-28-7823,,,,茨城県内一円,茨城県内一円,（水戸市を除く）,,茨城県,,,,,2022/07/14,,,,,,,,,,,,,,,野菜果物販売業, 野菜果物販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,野菜・果実小売業,,,,,,,,ベジファクトリー,ベジファクトリ,,,1,,,,,
小麦の奴隷　常陸太田店,県内一円（水戸市を除く）,県内一円,（水戸市を除く）,,その他の食料・飲料販売業,菓子（パンを含む）販売業,株式会社ＺＡＴＳＵＤＡＮ,関　清仁,東京都渋谷区道玄坂一丁目2番3号渋谷フクラス17階,東京都渋谷区道玄坂１丁目２番３号,渋谷フクラス１７階,,,2022/07/15,,,日立保健所,小麦の奴隷　常陸太田店,,,,,,県内一円,茨城県県内一円,（水戸市を除く）,,茨城県,,,,,2022/07/15,,,株式会社ＺＡＴＳＵＤＡＮ,関　清仁,,東京都渋谷区道玄坂１丁目２番３号,東京都渋谷区道玄坂１丁目２番３号,,74517,東京都,渋谷区,道玄坂１,,,その他の食料品製造・加工業,(包装) 菓子（パンを含む）販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,小麦の奴隷　常陸太田店,小麦の奴隷常陸太田店,株式会社ＺＡＴＳＵＤＡＮ,,1,,,,,
ｉｒｏｄｏｒｉ,茨城県日立市河原子町１－６－１２,茨城県日立市河原子町１－６－１２,,,その他の食料・飲料販売業,その他（食品販売業）,宮本　美穂,,,,,,,2022/07/15,,,日立保健所,ｉｒｏｄｏｒｉ,0294,,,,,茨城県日立市河原子町１－６－１２,茨城県日立市河原子町１－６－１２,,53808,茨城県,日立市,河原子町１,,,2022/07/15,,,,,,,,,,,,,,,その他の食料品製造・加工業,(包装) その他（食品販売業）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,ｉｒｏｄｏｒｉ,ｉｒｏｄｏｒｉ,,,1,,,,,
瓦や,茨城県かすみがうら市中志筑1179-3,茨城県かすみがうら市中志筑１１７９－３,,,その他の食料品製造・加工業,その他（食品製造業）,石井　良子,,,,,,,2022/07/15,,,土浦保健所,瓦や,0299,,,,,茨城県かすみがうら市中志筑１１７９－３,茨城県かすみがうら市中志筑１１７９－３,,56480,茨城県,かすみがうら市,中志筑,,,2022/07/15,,,,,,,,,,,,,,,その他の食料品製造・加工業, その他（食品製造業）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,瓦や,瓦や,,,1,,,,,
出張　「二ツ島」,北茨城市内,北茨城市内,,,弁当販売業,弁当販売業,株式会社二ツ島観光ホテル,杉山　嘉章,茨城県北茨城市磯原町磯原２５５３,茨城県北茨城市磯原町磯原２５５３,,0293-42-0183,,2022/07/16,,,日立保健所,出張　「二ツ島」,0293,,,,,北茨城市内,茨城県北茨城市内,,54936,茨城県,北茨城市,,,,2022/07/16,,,株式会社二ツ島観光ホテル,杉山　嘉章,0293-42-0183,茨城県北茨城市磯原町磯原２５５３,茨城県北茨城市磯原町磯原２５５３,,54993,茨城県,北茨城市,磯原町磯原２,,,弁当販売業, 弁当販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,出張　「二ツ島」,出張二ツ島,株式会社二ツ島観光ホテル,,1,,,,,
江総売店,茨城県稲敷市江戸崎甲476-2,茨城県稲敷市江戸崎甲４７６－２,,029-892-2529,その他の食料・飲料販売業,その他（食品販売業）,株式会社西洋堂,寺島　隆行,茨城県稲敷市江戸崎甲3145,茨城県稲敷市江戸崎甲３１４５,,029-892-2529,,2022/07/20,,,竜ケ崎保健所,江総売店,029,029-892-2529,,,,茨城県稲敷市江戸崎甲４７６－２,茨城県稲敷市江戸崎甲４７６－２,,56347,茨城県,稲敷市,江戸崎,,,2022/07/20,,,株式会社西洋堂,寺島　隆行,029-892-2529,茨城県稲敷市江戸崎甲３１４５,茨城県稲敷市江戸崎甲３１４５,,56347,茨城県,稲敷市,江戸崎,,,その他の食料品製造・加工業,(包装) その他（食品販売業）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,その他の食料品製造業,,,,,,,,江総売店,江総売店,株式会社西洋堂,,1,,,,,
