https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ローソン浦添大平店,,ローソン浦添大平店　,浦添市大平３１０－７,,              ,飲食店営業,そうざい,喜納兼二,,R04.02.22,R04.02.22,第05202101261号,,466,ローソン浦添大平店　,098,,,,,浦添市大平３１０－７,沖縄県浦添市大平３１０－７,,215656,47,47208,大平３,,2022/02/22,2022/02/22,,,,喜納兼二,,,,,,,,,第05202101261号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ロソン浦添大平店21565647208,068225a2-d773-4d2c-9110-d710e8d98f82,,personal,ac18dfe7-0bf8-471d-b82f-414295e03fe6,2022/02/22,ローソン浦添大平店　,ロソン浦添大平店,
ローソン浦添大平店,,ローソン浦添大平店　,浦添市字大平３１０－７,,              ,そうざい製造業,そうざい製造業,喜納兼二,,R04.02.22,R04.02.22,第05202101260号,,466,ローソン浦添大平店　,098,,,,,浦添市字大平３１０－７,沖縄県浦添市字大平３１０－７,,215656,47,47208,大平３,,2022/02/22,2022/02/22,,,,喜納兼二,,,,,,,,,第05202101260号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,ロソン浦添大平店21565647208,068225a2-d773-4d2c-9110-d710e8d98f82,,personal,25e58940-1ae5-4c17-8d00-893aacf7f0af,2022/02/22,ローソン浦添大平店　,ロソン浦添大平店,
アセンブル,,アセンブル　,浦添市勢理客２－２３－３,,              ,飲食店営業,ﾅｲﾄｽﾅｯｸ,新垣善子,,R04.02.24,R04.02.24,第05202101272号,,466,アセンブル　,098,,,,,浦添市勢理客２－２３－３,沖縄県浦添市勢理客２－２３－３,,215666,47,47208,勢理客２,,2022/02/24,2022/02/24,,,,新垣善子,,,,,,,,,第05202101272号,,飲食店営業, ﾅｲﾄｽﾅｯｸ,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,アセンブル21566647208,cbbf5ee1-87e2-4491-ba9e-b711e93f99fa,,personal,1108c589-b8c6-44f3-9513-930771060676,2022/02/24,アセンブル　,アセンブル,
Ｇｉｒｌ’ｓｂａｒ＆Ｌｏｕｎｇｅ上海アリス,,Ｇｉｒｌ’ｓｂａｒ＆Ｌｏｕｎｇｅ上海アリス　,与那原町与那原１００１－３,与原コーポ１階,              ,飲食店営業,バー,喜納雄樹,,R03.12.13,R03.12.13,第05202101063号,,466,Ｇｉｒｌ’ｓｂａｒ＆Ｌｏｕｎｇｅ上海アリス　,098,,,,,与那原町与那原１００１－３,沖縄県島尻郡与那原町与那原１００１－３,与原コーポ１階,216419,47,47348,与那原,,2021/12/13,2021/12/13,,,,喜納雄樹,,,,,,,,,第05202101063号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＧｉｒｌｓｂａｒＬｏｕｎｇｅ上海アリス21641947348,08b10332-6462-4f48-845b-40f315b314ff,,personal,7ae1f48b-4e83-42e9-a1a1-7cd00d526a79,2021/12/13,Ｇｉｒｌ＇ｓｂａｒ＆Ｌｏｕｎｇｅ上海アリス　,ＧｉｒｌｓｂａｒＬｏｕｎｇｅ上海アリス,
パーラー幸　Ｋｏｕ,,パーラー幸　Ｋｏｕ　,南城市玉城字垣花４９５,,              ,飲食店営業,パーラー,中本幸代,,R04.02.24,R04.02.24,第05202101264号,,466,パーラー幸　Ｋｏｕ　,098,,,,,南城市玉城字垣花４９５,沖縄県南城市玉城字垣花４９５,,216128,47,47215,玉城,,2022/02/24,2022/02/24,,,,中本幸代,,,,,,,,,第05202101264号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,パラ幸Ｋｏｕ21612847215,2f55eacb-5084-4169-86de-90c96df93dbe,,personal,be859602-abe7-4cf5-9e25-2d6427efcce9,2022/02/24,パーラー幸　Ｋｏｕ　,パラ幸Ｋｏｕ,
ＢＡＲ　ＰＡＲＩＳ,,ＢＡＲ　ＰＡＲＩＳ　,糸満市西崎６－１２－８,５０６ＢＬＤＧ　４Ａ,              ,飲食店営業,スナック,儀間理沙,,R04.02.25,R04.02.25,第05202101275号,,466,ＢＡＲ　ＰＡＲＩＳ　,098,,,,,糸満市西崎６－１２－８,沖縄県糸満市西崎６－１２－８,５０６ＢＬＤＧ　４Ａ,215850,47,47210,西崎６,,2022/02/25,2022/02/25,,,,儀間理沙,,,,,,,,,第05202101275号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＢＡＲＰＡＲＩＳ21585047210,530fd246-bf73-402d-bc03-8462e09d3bdb,,personal,97852ad0-2338-493e-a106-ebab894431d4,2022/02/25,ＢＡＲ　ＰＡＲＩＳ　,ＢＡＲＰＡＲＩＳ,
ＭＹオードブル,,ＭＹオードブル　,糸満市西崎１－３３－２,,              ,飲食店営業,パーラー,稲嶺優,,R04.02.25,R04.02.25,第05202101276号,,466,ＭＹオードブル　,098,,,,,糸満市西崎１－３３－２,沖縄県糸満市西崎１－３３－２,,215848,47,47210,西崎１,,2022/02/25,2022/02/25,,,,稲嶺優,,,,,,,,,第05202101276号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＭＹオドブル21584847210,385b18e9-7220-4854-aba4-285d4976cca9,,personal,12f3e367-1449-4bb3-8d96-3ba7678cf64f,2022/02/25,ＭＹオードブル　,ＭＹオドブル,
やきとりマン,,やきとりマン　,糸満市字糸満１４８２－２,,              ,飲食店営業,パーラー,伊佐康彦,,R04.02.28,R04.02.28,第05202101298号,,466,やきとりマン　,098,,,,,糸満市字糸満１４８２－２,沖縄県糸満市字糸満１４８２－２,,215815,47,47210,糸満,,2022/02/28,2022/02/28,,,,伊佐康彦,,,,,,,,,第05202101298号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,やきとりマン21581547210,6753d4ab-46c1-4a5c-9c40-5caabfb32d94,,personal,dd013774-8a98-400a-ba59-307aede214df,2022/02/28,やきとりマン　,やきとりマン,
酒処　となりの家,,酒処　となりの家　,糸満市大里４３８－１,,              ,飲食店営業,居酒屋,上原史,,R04.02.28,R04.02.28,第05202101287号,,466,酒処　となりの家　,098,,,,,糸満市大里４３８－１,沖縄県糸満市大里４３８－１,,215818,47,47210,大里,,2022/02/28,2022/02/28,,,,上原史,,,,,,,,,第05202101287号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,酒処となりの家21581847210,d708162b-fb0b-4f0d-903a-73b08ac920b2,,personal,cc2815ea-bdd5-4ef3-8d1c-13e438fb03c3,2022/02/28,酒処　となりの家　,酒処となりの家,
スナック　はっぴぃ,,スナック　はっぴぃ　,与那原町与那原３１７８－４,ハーモニービルＢ１Ｆ,              ,飲食店営業,ﾅｲﾄｽﾅｯｸ,志喜屋美枝子,,R04.02.18,R04.02.18,第05202101248号,,466,スナック　はっぴぃ　,098,,,,,与那原町与那原３１７８－４,沖縄県島尻郡与那原町与那原３１７８－４,ハーモニービルＢ１Ｆ,216419,47,47348,与那原,,2022/02/18,2022/02/18,,,,志喜屋美枝子,,,,,,,,,第05202101248号,,飲食店営業, ﾅｲﾄｽﾅｯｸ,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,スナックはっぴぃ21641947348,fff608ee-0c9b-4702-bd12-50a6cbcd5964,,personal,7201f20f-f1be-4e3f-85b1-c2d5fc4afe90,2022/02/18,スナック　はっぴぃ　,スナックはっぴぃ,
ＭＡＪＯＰＡＮ,,ＭＡＪＯＰＡＮ　,八重瀬町宜次５７８－１,,050-1446-5967 ,菓子製造業,菓子製造業,吉盛安奈,,R04.01.04,R04.01.04,第05202101107号,,466,ＭＡＪＯＰＡＮ　,098,050-1446-5967,,,,八重瀬町宜次５７８－１,沖縄県島尻郡八重瀬町宜次５７８－１,,216511,47,47362,宜次,,2022/01/04,2022/01/04,,,,吉盛安奈,,,,,,,,,第05202101107号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,ＭＡＪＯＰＡＮ050-1446-596721651147362,0f2b84af-6749-4c80-9c25-c2d4dcc2ec67,,personal,19d97310-ff3e-4da6-80b4-2fdc46f866a2,2022/01/04,ＭＡＪＯＰＡＮ　,ＭＡＪＯＰＡＮ,
よね食堂,,よね食堂　,豊見城市字座安３３７,,098-850-4029  ,飲食店営業,食堂,赤嶺博智,,R04.01.25,R04.01.25,第05202101161号,,466,よね食堂　,098,098-850-4029,,,,豊見城市字座安３３７,沖縄県豊見城市字座安３３７,,216007,47,47212,座安,,2022/01/25,2022/01/25,,,,赤嶺博智,,,,,,,,,第05202101161号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,よね食堂098-850-402921600747212,b3f81f68-94f5-43a3-9733-eeef7c2758de,,personal,ec644f0e-68f2-45a6-97f7-57f7e37c9d58,2022/01/25,よね食堂　,よね食堂,
オリーブオイル専門店　オリーブプラス,,オリーブオイル専門店　オリーブプラス　,豊見城市字与根４７０－２,,098-851-3864  ,飲食店営業,食堂,田恵美,,R03.12.23,R03.12.23,第05202101091号,,466,オリーブオイル専門店　オリーブプラス　,098,098-851-3864,,,,豊見城市字与根４７０－２,沖縄県豊見城市字与根４７０－２,,216023,47,47212,与根,,2021/12/23,2021/12/23,,,,田恵美,,,,,,,,,第05202101091号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,オリブオイル専門店オリブプラス098-851-386421602347212,fe177804-70e3-441a-9450-4384dbcbf99c,,personal,5ec0c550-dc1f-499c-bf1e-882ae4de4fa2,2021/12/23,オリーブオイル専門店　オリーブプラス　,オリブオイル専門店オリブプラス,
丸彦水産,,丸彦水産　,西原町字内間１４２－１,,098-871-9988  ,魚介類販売業,魚介類販売業,久貝勝彦,,R03.12.24,R03.12.24,第05202101094号,,466,丸彦水産　,098,098-871-9988,,,,西原町字内間１４２－１,沖縄県中頭郡西原町字内間１４２－１,,216320,47,47329,内間,,2021/12/24,2021/12/24,,,,久貝勝彦,,,,,,,,,第05202101094号,,魚介類販売業, 魚介類販売業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,,,丸彦水産098-871-998821632047329,72c45d81-f5d6-4000-abe2-6f06d6fdbdf1,,personal,d0373f20-9e28-46fe-b45b-2a406d004c4b,2021/12/24,丸彦水産　,丸彦水産,
ローソン浦添経塚駅前店,,ローソン浦添経塚駅前店　,浦添市経塚９１,街区１画地,098-874-5474  ,飲食店営業,そうざい,座波正成,,R04.01.04,R04.01.04,第05202101108号,,466,ローソン浦添経塚駅前店　,098,098-874-5474,,,,浦添市経塚９１,沖縄県浦添市経塚９１,街区１画地,215657,47,47208,経塚,,2022/01/04,2022/01/04,,,,座波正成,,,,,,,,,第05202101108号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ロソン浦添経塚駅前店098-874-547421565747208,059fdfc2-0a1b-4f38-90e5-0fbf3cf01aaf,,personal,57a00b73-5f32-433a-89ec-d01015f6632b,2022/01/04,ローソン浦添経塚駅前店　,ロソン浦添経塚駅前店,
Ｃｏｎｔａｄｉｎａ,,Ｃｏｎｔａｄｉｎａ　,浦添市内間２－１２－６,,098-875-9126  ,飲食店営業,レストラン,屋嘉比茂,,R04.02.09,R04.02.09,第05202101227号,,466,Ｃｏｎｔａｄｉｎａ　,098,098-875-9126,,,,浦添市内間２－１２－６,沖縄県浦添市内間２－１２－６,,215650,47,47208,内間２,,2022/02/09,2022/02/09,,,,屋嘉比茂,,,,,,,,,第05202101227号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,Ｃｏｎｔａｄｉｎａ098-875-912621565047208,7fd660e2-d959-4fab-a288-f083c562c24f,,personal,547cbffe-d695-4dc8-b2da-abc10a9fe729,2022/02/09,Ｃｏｎｔａｄｉｎａ　,Ｃｏｎｔａｄｉｎａ,
炭ｔａｋａ（タンタカ）,,炭ｔａｋａ（タンタカ）　,浦添市屋富祖４－２－１２,（１Ｆ）,098-876-5366  ,飲食店営業,居酒屋,西里崇,,R04.01.31,R04.01.31,第05202101211号,,466,炭ｔａｋａ（タンタカ）　,098,098-876-5366,,,,浦添市屋富祖４－２－１２,沖縄県浦添市屋富祖４－２－１２,（１Ｆ）,215713,47,47208,屋富祖４,,2022/01/31,2022/01/31,,,,西里崇,,,,,,,,,第05202101211号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,炭ｔａｋａタンタカ098-876-536621571347208,e7d79a42-179a-4b54-b6f2-d012ad47157c,,personal,02d0fa32-1ec5-49b7-88fe-aa2370800c7a,2022/01/31,炭ｔａｋａ（タンタカ）　,炭ｔａｋａタンタカ,
酒処とも,,酒処とも　,浦添市西原１－１２－６,宮里店舗１Ｆ,098-876-9777  ,飲食店営業,小料理,我如古智子,,R04.01.31,R04.01.31,第05202101201号,,466,酒処とも　,098,098-876-9777,,,,浦添市西原１－１２－６,沖縄県浦添市西原１－１２－６,宮里店舗１Ｆ,215682,47,47208,西原１,,2022/01/31,2022/01/31,,,,我如古智子,,,,,,,,,第05202101201号,,飲食店営業, 小料理,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,酒処とも098-876-977721568247208,9cdc6f31-2a8d-4138-89f4-48a9d8512b9a,,personal,b0a9f00e-adfc-41e8-a571-b80aa7dd472f,2022/01/31,酒処とも　,酒処とも,
カラオケ酒場　裕二郎,,カラオケ酒場　裕二郎　,浦添市屋富祖２－２４－１７,２Ｆ,098-877-8876  ,飲食店営業,スナック,阿賀嶺文朗,,R04.01.14,R04.01.14,第05202101123号,,466,カラオケ酒場　裕二郎　,098,098-877-8876,,,,浦添市屋富祖２－２４－１７,沖縄県浦添市屋富祖２－２４－１７,２Ｆ,215711,47,47208,屋富祖２,,2022/01/14,2022/01/14,,,,阿賀嶺文朗,,,,,,,,,第05202101123号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,カラオケ酒場裕二郎098-877-887621571147208,0c6f205a-d1e3-4cf8-b5be-3d15aa40733d,,personal,72a9723e-8e8f-4a7c-942a-93a4925fd68f,2022/01/14,カラオケ酒場　裕二郎　,カラオケ酒場裕二郎,
ＫＡＳＴＨＡＭＡＮＤＡＰ,,ＫＡＳＴＨＡＭＡＮＤＡＰ　,浦添市伊祖１－２８－１３,ＴＫＫ　ＨＥＲＯ２０１,098-879-1478  ,飲食店営業,食堂,ジョシー　ナラヤン　プラサード,,R04.02.28,R04.02.28,第05202101309号,,466,ＫＡＳＴＨＡＭＡＮＤＡＰ　,098,098-879-1478,,,,浦添市伊祖１－２８－１３,沖縄県浦添市伊祖１－２８－１３,ＴＫＫ　ＨＥＲＯ２０１,215644,47,47208,伊祖１,,2022/02/28,2022/02/28,,,,ジョシー　ナラヤン　プラサード,,,,,,,,,第05202101309号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＫＡＳＴＨＡＭＡＮＤＡＰ098-879-147821564447208,f837ad71-e708-45e6-b3b4-dcb5d8ecfcf0,,personal,2ffcb578-5f90-4c07-96c8-119c33a8a726,2022/02/28,ＫＡＳＴＨＡＭＡＮＤＡＰ　,ＫＡＳＴＨＡＭＡＮＤＡＰ,
おおしろさん家,,おおしろさん家　,浦添市沢岻１－２－１２,３Ｆ,098-879-4584  ,飲食店営業,レストラン,大城みゆき,,R04.02.28,R04.02.28,第05202101285号,,466,おおしろさん家　,098,098-879-4584,,,,浦添市沢岻１－２－１２,沖縄県浦添市沢岻１－２－１２,３Ｆ,215670,47,47208,沢岻１,,2022/02/28,2022/02/28,,,,大城みゆき,,,,,,,,,第05202101285号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,おおしろさん家098-879-458421567047208,04e5a03f-198c-4857-ac47-6a3e29393a3f,,personal,f09d824b-9eb0-479d-aad2-623b38a2cf26,2022/02/28,おおしろさん家　,おおしろさん家,
手造りの店　山家,,手造りの店　山家　,浦添市宮城２－３８－３,（２０２）,098-879-7855  ,飲食店営業,食堂,山本正伸,,R04.01.31,R04.01.31,第05202101213号,,466,手造りの店　山家　,098,098-879-7855,,,,浦添市宮城２－３８－３,沖縄県浦添市宮城２－３８－３,（２０２）,215704,47,47208,宮城２,,2022/01/31,2022/01/31,,,,山本正伸,,,,,,,,,第05202101213号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,手造りの店山家098-879-785521570447208,60c117ce-7b43-43f0-8029-5df276211877,,personal,04010c0f-5e1f-47ba-a07a-e6cdac65854b,2022/01/31,手造りの店　山家　,手造りの店山家,
Ｃａｆ e'　すむなーか,,Ｃａｆ e'　すむなーか　,西原町字嘉手苅８１－４,,098-880-6141  ,飲食店営業,レストラン,中谷大吾,,R04.01.24,R04.01.24,第05202101157号,,466,Ｃａｆ e'　すむなーか　,098,098-880-6141,,,,西原町字嘉手苅８１－４,沖縄県中頭郡西原町字嘉手苅８１－４,,216324,47,47329,嘉手苅,,2022/01/24,2022/01/24,,,,中谷大吾,,,,,,,,,第05202101157号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,Ｃａｆｅすむなか098-880-614121632447329,ebf01790-0237-493f-8cf3-c73e615cd63a,,personal,584f746a-8c68-4ace-9163-60a6c6181098,2022/01/24,Ｃａｆ　ｅ＇　すむなーか　,Ｃａｆｅすむなか,
ファミリーマート与那原嶺井入口店,,ファミリーマート与那原嶺井入口店　,与那原町上与那原５０７－３４,,098-882-8110  ,飲食店営業,そうざい,具志堅浩明,,R04.01.21,R04.01.21,第05202101147号,,466,ファミリーマート与那原嶺井入口店　,098,098-882-8110,,,,与那原町上与那原５０７－３４,沖縄県島尻郡与那原町上与那原５０７－３４,,216418,47,47348,上与那原,,2022/01/21,2022/01/21,,,,具志堅浩明,,,,,,,,,第05202101147号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ファミリマト与那原嶺井入口店098-882-811021641847348,7283d239-e739-40ae-9bcf-43c41950a5c8,,personal,723bcf25-c690-40d4-89d1-d2b2dafe0ecf,2022/01/21,ファミリーマート与那原嶺井入口店　,ファミリマト与那原嶺井入口店,
道,,道　,浦添市安波茶２－１－６,サンシティービル２－Ｄ号,098-887-7224  ,飲食店営業,小料理,嘉味元道江,,R04.02.28,R04.02.28,第05202101300号,,466,道　,098,098-887-7224,,,,浦添市安波茶２－１－６,沖縄県浦添市安波茶２－１－６,サンシティービル２－Ｄ号,215642,47,47208,安波茶２,,2022/02/28,2022/02/28,,,,嘉味元道江,,,,,,,,,第05202101300号,,飲食店営業, 小料理,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,道098-887-722421564247208,022d7c19-547a-40fc-8538-900444082d1b,,personal,27920b58-6d50-4326-b0ad-add798cf18e4,2022/02/28,道　,道,
ローソン南風原第一団地前店,,ローソン南風原第一団地前店　,南風原町字本部１０３－１,,098-888-1108  ,飲食店営業,そうざい,平安香織,,R04.02.15,R04.02.15,第05202101243号,,466,ローソン南風原第一団地前店　,098,098-888-1108,,,,南風原町字本部１０３－１,沖縄県島尻郡南風原町字本部１０３－１,,216406,47,47350,本部,,2022/02/15,2022/02/15,,,,平安香織,,,,,,,,,第05202101243号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ロソン南風原第一団地前店098-888-110821640647350,7619f7cd-13ea-4158-bcbd-d8b678064953,,personal,32a1b403-66d5-43c1-a7e0-05e62aa5ec52,2022/02/15,ローソン南風原第一団地前店　,ロソン南風原第一団地前店,
御食事処　花織,,御食事処　花織　,南風原町字照屋２１－１,,098-888-2259  ,飲食店営業,居酒屋,大城勉,,R04.01.21,R04.01.21,第05202101139号,,466,御食事処　花織　,098,098-888-2259,,,,南風原町字照屋２１－１,沖縄県島尻郡南風原町字照屋２１－１,,216403,47,47350,照屋,,2022/01/21,2022/01/21,,,,大城勉,,,,,,,,,第05202101139号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,御食事処花織098-888-225921640347350,816ede0a-0eaf-40e5-a6e2-c0011a984bbd,,personal,d30eb273-d597-4f70-979e-05c10154c992,2022/01/21,御食事処　花織　,御食事処花織,
福耳福助　兼城店,,福耳福助　兼城店　,南風原町兼城２０５,,098-888-2421  ,飲食店営業,居酒屋,田所勇輝,,R04.02.14,R04.02.14,第05202101246号,,466,福耳福助　兼城店　,098,098-888-2421,,,,南風原町兼城２０５,沖縄県島尻郡南風原町兼城２０５,,216399,47,47350,兼城,,2022/02/14,2022/02/14,,,,田所勇輝,,,,,,,,,第05202101246号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,福耳福助兼城店098-888-242121639947350,466198bf-1e5b-4d37-b1b0-8673a2360747,,personal,f7c34dc5-0d7d-4c62-b4ea-67392fad2c64,2022/02/14,福耳福助　兼城店　,福耳福助兼城店,
リィコーチキン,,リィコーチキン　,南風原町字兼城５６４,,098-889-5135  ,飲食店営業,そうざい,城間義勝,,R04.02.24,R04.02.24,第05202101266号,,466,リィコーチキン　,098,098-889-5135,,,,南風原町字兼城５６４,沖縄県島尻郡南風原町字兼城５６４,,216399,47,47350,兼城,,2022/02/24,2022/02/24,,,,城間義勝,,,,,,,,,第05202101266号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,リィコチキン098-889-513521639947350,f7961b07-6485-4089-af82-faa8f9ee4142,,personal,f5149a48-0b3e-4da4-8ae7-7ea4aa7413e3,2022/02/24,リィコーチキン　,リィコチキン,
くにけい惣菜,,くにけい惣菜　,浦添市前田１－４８－８,１Ｆ,098-917-0580  ,飲食店営業,食堂,國吉恵子,,R04.02.28,R04.02.28,第05202101288号,,466,くにけい惣菜　,098,098-917-0580,,,,浦添市前田１－４８－８,沖縄県浦添市前田１－４８－８,１Ｆ,215689,47,47208,前田１,,2022/02/28,2022/02/28,,,,國吉恵子,,,,,,,,,第05202101288号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,くにけい惣菜098-917-058021568947208,fae742ce-18d4-49ec-b897-d9aaaf1f3303,,personal,55c3665e-b407-4655-8a94-cd65f3afc49e,2022/02/28,くにけい惣菜　,くにけい惣菜,
県民ステーキ,,県民ステーキ　,糸満市阿波根１３６１－１,,098-927-8036  ,飲食店営業,レストラン,株式会社Ｍｉｅｒｏｔｔｏ,,R04.01.27,R04.01.27,第05202101183号,,466,県民ステーキ　,098,098-927-8036,,,,糸満市阿波根１３６１－１,沖縄県糸満市阿波根１３６１－１,,215811,47,47210,阿波根,,2022/01/27,2022/01/27,,,株式会社Ｍｉｅｒｏｔｔｏ,,,,,,,,,,第05202101183号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,県民ステキ098-927-803621581147210,577b510b-abf5-4882-8447-8806b784572b,株式会社Ｍｉｅｒｏｔｔｏ,83aebc82-5dab-438a-a28f-e089003b40b8,18039ad0-c0da-4226-9e7c-7a2ee50b245c,2022/01/27,県民ステーキ　,県民ステキ,株式会社Ｍｉｅｒｏｔｔｏ
プレイズコーヒーストア,,プレイズコーヒーストア　,南城市佐敷字新開１－３２０,１階,098-943-8705  ,菓子製造業,菓子製造業,池原仰一,,R03.12.21,R03.12.21,第05202101084号,,466,プレイズコーヒーストア　,098,098-943-8705,,,,南城市佐敷字新開１－３２０,沖縄県南城市佐敷字新開１－３２０,１階,216127,47,47215,佐敷,,2021/12/21,2021/12/21,,,,池原仰一,,,,,,,,,第05202101084号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,プレイズコヒストア098-943-870521612747215,985be0cf-6918-40d9-9c7b-67122c09e9d6,,personal,3a9dde1d-7256-4bdd-a803-292ae30defff,2021/12/21,プレイズコーヒーストア　,プレイズコヒストア,
ＥＮＤＬＥＳＳ,,ＥＮＤＬＥＳＳ　,与那原町字与那原４－１,照屋ビル２０１,098-944-0933  ,飲食店営業,ﾅｲﾄｽﾅｯｸ,照屋由起子,,R04.02.24,R04.02.24,第05202101271号,,466,ＥＮＤＬＥＳＳ　,098,098-944-0933,,,,与那原町字与那原４－１,沖縄県島尻郡与那原町字与那原４－１,照屋ビル２０１,216419,47,47348,与那原,,2022/02/24,2022/02/24,,,,照屋由起子,,,,,,,,,第05202101271号,,飲食店営業, ﾅｲﾄｽﾅｯｸ,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＥＮＤＬＥＳＳ098-944-093321641947348,f876a667-6499-4ba0-88bb-6443b4b256f2,,personal,c8c5a680-d00e-484c-9f4c-2ff7d4a2080c,2022/02/24,ＥＮＤＬＥＳＳ　,ＥＮＤＬＥＳＳ,
てん一　西原店,,てん一　西原店　,西原町字上原１－２２－１,,098-944-5116  ,飲食店営業,居酒屋,比嘉利宗,,R04.01.11,R04.01.11,第05202101110号,,466,てん一　西原店　,098,098-944-5116,,,,西原町字上原１－２２－１,沖縄県中頭郡西原町字上原１－２２－１,,216338,47,47329,上原１,,2022/01/11,2022/01/11,,,,比嘉利宗,,,,,,,,,第05202101110号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,てん一西原店098-944-511621633847329,edeca3a6-094f-4fa3-96f3-d9f7e0cd3514,,personal,af730fd8-7db2-4660-b1cc-135512ed48f3,2022/01/11,てん一　西原店　,てん一西原店,
