,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新野　良子,,菓子屋宮,名古屋市中川区中花町２１３番地１　,名古屋市中川区中花町２１３番地１,,361-2810,菓子製造業,2022/7/25,4中川保健第1-127号,2022/8/21,2028/8/20,,名古屋市保健所,菓子屋宮,052,052-361-2810,,,,名古屋市中川区中花町２１３番地１,愛知県名古屋市中川区中花町２１３番地１,,115885,愛知県,名古屋市中川区,中花町,,2022/07/25,,2022/08/21,2028/08/20,,新野　良子,,,,,,,,,4中川保健第1-127号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,菓子屋宮,菓子屋宮,,,2,,,,,
中野　秀紀,,GORU,名古屋市中川区高畑三丁目１３８番地　南ウイングビル2-Ａ,名古屋市中川区高畑３丁目１３８番地,南ウイングビル２－Ａ,352-3988,飲食店営業,2022/7/25,4中川保健第1-130号,2022/8/21,2028/8/20,,名古屋市保健所,GORU,052,052-352-3988,,,,名古屋市中川区高畑３丁目１３８番地,愛知県名古屋市中川区高畑３丁目１３８番地,南ウイングビル２－Ａ,116101,愛知県,名古屋市中川区,高畑３,,2022/07/25,,2022/08/21,2028/08/20,,中野　秀紀,,,,,,,,,4中川保健第1-130号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＧＯＲＵ,ＧＯＲＵ,,,1,,,,,
株式会社アズオン 代表取締役社長　寺沢　真彦,0587-53-5185,Lives　カフェ,名古屋市港区金城ふ頭二丁目７番地の１　メイカーズピア　Ｕ１１２,名古屋市港区金城ふ頭２丁目７番地の１,メイカーズピア Ｕ１１２,,飲食店営業,2022/7/7,4港保健第1-122号,2022/7/7,2028/9/20,,名古屋市保健所,Lives　カフェ,052,,,,,名古屋市港区金城ふ頭２丁目７番地の１,愛知県名古屋市港区金城ふ頭２丁目７番地ノ１,メイカーズピア Ｕ１１２,116261,愛知県,名古屋市港区,金城ふ頭２,,2022/07/07,,2022/07/07,2028/09/20,株式会社アズオン ,代表取締役社長　寺沢　真彦,0587-53-5185,,,,,,,,4港保健第1-122号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｌｉｖｅｓ　カフェ,Ｌｉｖｅｓカフェ,株式会社アズオン　,,1,,,,,
株式会社アズオン 代表取締役社長　寺沢　真彦,0587-53-5185,Lives　プレミアムラウンジ,名古屋市港区金城ふ頭二丁目７番地の１　メイカーズピア　Ｆ１１１,名古屋市港区金城ふ頭２丁目７番地の１,メイカーズピア Ｆ１１１,,飲食店営業,2022/7/7,4港保健第1-121号,2022/7/7,2028/9/20,,名古屋市保健所,Lives　プレミアムラウンジ,052,,,,,名古屋市港区金城ふ頭２丁目７番地の１,愛知県名古屋市港区金城ふ頭２丁目７番地ノ１,メイカーズピア Ｆ１１１,116261,愛知県,名古屋市港区,金城ふ頭２,,2022/07/07,,2022/07/07,2028/09/20,株式会社アズオン ,代表取締役社長　寺沢　真彦,0587-53-5185,,,,,,,,4港保健第1-121号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｌｉｖｅｓ　プレミアムラウンジ,Ｌｉｖｅｓプレミアムラウンジ,株式会社アズオン　,,1,,,,,
株式会社ディアーズカンパニー 代表取締役　大野　勇治,052-355-8261,元祖パスタ食堂　名古屋みなと店,名古屋市港区小碓二丁目１０３番地　小碓ハイツ１F,名古屋市港区小碓２丁目１０３番地, 小碓ハイツ１F,,飲食店営業,2022/7/8,4港保健第1-124号,2022/7/8,2028/12/20,,名古屋市保健所,元祖パスタ食堂　名古屋みなと店,052,,,,,名古屋市港区小碓２丁目１０３番地,愛知県名古屋市港区小碓２丁目１０３番地, 小碓ハイツ１F,116216,愛知県,名古屋市港区,小碓２,,2022/07/08,,2022/07/08,2028/12/20,株式会社ディアーズカンパニー ,代表取締役　大野　勇治,052-355-8261,,,,,,,,4港保健第1-124号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,元祖パスタ食堂　名古屋みなと店,元祖パスタ食堂名古屋みなと店,株式会社ディアーズカンパニー　,,1,,,,,
鈴木　利恵,,水無月,名古屋市港区十一屋二丁目２９２番地の１７　,名古屋市港区十一屋２丁目２９２番地の１７,,,飲食店営業,2022/7/5,4港保健第1-120号,2022/7/5,2028/10/20,,名古屋市保健所,水無月,052,,,,,名古屋市港区十一屋２丁目２９２番地の１７,愛知県名古屋市港区十一屋２丁目２９２番地ノ１７,,116334,愛知県,名古屋市港区,十一屋２,,2022/07/05,,2022/07/05,2028/10/20,,鈴木　利恵,,,,,,,,,4港保健第1-120号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,水無月,水無月,,,1,,,,,
米田　康子,,SUNS COFFEE STAND,名古屋市港区港栄三丁目２番２８号　宝マリーンハイツA棟１０３号室,名古屋市港区港栄３丁目２番２８号,宝マリーンハイツA棟１０３号室,052-746-7015,飲食店営業,2022/7/12,4港保健第1-80号,2022/7/22,2029/7/20,,名古屋市保健所,SUNS COFFEE STAND,052,052-746-7015,,,,名古屋市港区港栄３丁目２番２８号,愛知県名古屋市港区港栄３丁目２番２８号,宝マリーンハイツA棟１０３号室,116270,愛知県,名古屋市港区,港栄３,,2022/07/12,,2022/07/22,2029/07/20,,米田　康子,,,,,,,,,4港保健第1-80号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＳＵＮＳ　ＣＯＦＦＥＥ　ＳＴＡＮＤ,ＳＵＮＳＣＯＦＦＥＥＳＴＡＮＤ,,,1,,,,,
米信米穀株式会社 佐藤　安信,052-444-2062,Pasta Dining ROTO,名古屋市港区七番町４丁目１２番地の５　,名古屋市港区七番町４丁目１２番地の５,,,飲食店営業,2022/7/12,4港保健第1-118号,2022/7/15,2028/7/20,,名古屋市保健所,Pasta Dining ROTO,052,,,,,名古屋市港区七番町４丁目１２番地の５,愛知県名古屋市港区七番町４丁目１２番地ノ５,,116306,愛知県,名古屋市港区,七番町４,,2022/07/12,,2022/07/15,2028/07/20,米信米穀株式会社 佐藤　安信,,052-444-2062,,,,,,,,4港保健第1-118号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｐａｓｔａ　Ｄｉｎｉｎｇ　ＲＯＴＯ,ＰａｓｔａＤｉｎｉｎｇＲＯＴＯ,米信米穀株式会社佐藤　安信,,1,,,,,
刑部　美咲,,マルクックベーグル,名古屋市港区畑中二丁目２２３番地　,名古屋市港区畑中２丁目２２３番地 ,,303-8661,菓子製造業,2022/7/14,4港保健第1-119号,2022/7/24,2029/5/20,,名古屋市保健所,マルクックベーグル,052,052-303-8661,,,,名古屋市港区畑中２丁目２２３番地 ,愛知県名古屋市港区畑中２丁目２２３番地,,116542,愛知県,名古屋市港区,畑中２,,2022/07/14,,2022/07/24,2029/05/20,,刑部　美咲,,,,,,,,,4港保健第1-119号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,マルクックベーグル,マルクックベグル,,,1,,,,,
株式会社owl 代表取締役　大竹和範,,QUE OI !!! LA QUE,名古屋市港区七番町２丁目１１番地の１　モール９番街３０区画,名古屋市港区七番町２丁目１１番地の１,モール９番街３０区画,,食肉販売業,2022/7/26,4港保健第1-153号,2022/7/26,2029/2/20,,名古屋市保健所,QUE OI !!! LA QUE,052,,,,,名古屋市港区七番町２丁目１１番地の１,愛知県名古屋市港区七番町２丁目１１番地ノ１,モール９番街３０区画,116304,愛知県,名古屋市港区,七番町２,,2022/07/26,,2022/07/26,2029/02/20,株式会社owl ,代表取締役　大竹和範,,,,,,,,,4港保健第1-153号,,食肉販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,ＱＵＥ　ＯＩ　！！！　ＬＡ　ＱＵＥ,ＱＵＥＯＩＬＡＱＵＥ,株式会社ｏｗｌ　,,2,,,,,
株式会社owl 代表取締役　大竹和範,,QUE OI !!! LA QUE,名古屋市港区七番町２丁目１１番地の１　モール９番街３０区画,名古屋市港区七番町２丁目１１番地の１,モール９番街３０区画,,飲食店営業,2022/7/26,4港保健第1-152号,2022/7/26,2029/2/20,,名古屋市保健所,QUE OI !!! LA QUE,052,,,,,名古屋市港区七番町２丁目１１番地の１,愛知県名古屋市港区七番町２丁目１１番地ノ１,モール９番街３０区画,116304,愛知県,名古屋市港区,七番町２,,2022/07/26,,2022/07/26,2029/02/20,株式会社owl ,代表取締役　大竹和範,,,,,,,,,4港保健第1-152号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＱＵＥ　ＯＩ　！！！　ＬＡ　ＱＵＥ,ＱＵＥＯＩＬＡＱＵＥ,株式会社ｏｗｌ　,,2,,,,,
石川　リエ,,スナック　杜若,名古屋市港区辰巳町３４番１５号　サントピア東海通Ⅰ　２B号,名古屋市港区辰巳町３４番１５号,サントピア東海通Ⅰ ２B号,052-355-9715,飲食店営業,2022/7/28,4港保健第1-150号,2022/8/1,2029/2/20,,名古屋市保健所,スナック　杜若,052,052-355-9715,,,,名古屋市港区辰巳町３４番１５号,愛知県名古屋市港区辰巳町３４番１５号,サントピア東海通Ⅰ ２B号,116371,愛知県,名古屋市港区,辰巳町,,2022/07/28,,2022/08/01,2029/02/20,,石川　リエ,,,,,,,,,4港保健第1-150号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナック　杜若,スナック杜若,,,1,,,,,
ユニー株式会社 代表取締役  関口　憲司,0587-24-8111,ピアゴ ラ フーズコア柴田店,名古屋市南区柴田本通１丁目３番地　,名古屋市南区柴田本通１丁目３番地 ,,612-7211,魚介類販売業,2022/7/12,4南保管第1-98号,2022/7/21,2028/7/20,,名古屋市保健所,ピアゴ ラ フーズコア柴田店,052,052-612-7211,,,,名古屋市南区柴田本通１丁目３番地 ,愛知県名古屋市南区柴田本通１丁目３番地,,116652,愛知県,名古屋市南区,柴田本通１,,2022/07/12,,2022/07/21,2028/07/20,ユニー株式会社 ,代表取締役  関口　憲司,0587-24-8111,,,,,,,,4南保管第1-98号,,魚介類販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,,,,,,,,,ピアゴ　ラ　フーズコア柴田店,ピアゴラフズコア柴田店,ユニー株式会社,,3,,,,,
ユニー株式会社 代表取締役  関口　憲司,0587-24-8111,ピアゴ ラ フーズコア柴田店,名古屋市南区柴田本通１丁目３番地　,名古屋市南区柴田本通１丁目３番地 ,,612-7211,食肉販売業,2022/7/12,4南保管第1-99号,2022/7/21,2028/7/20,,名古屋市保健所,ピアゴ ラ フーズコア柴田店,052,052-612-7211,,,,名古屋市南区柴田本通１丁目３番地 ,愛知県名古屋市南区柴田本通１丁目３番地,,116652,愛知県,名古屋市南区,柴田本通１,,2022/07/12,,2022/07/21,2028/07/20,ユニー株式会社 ,代表取締役  関口　憲司,0587-24-8111,,,,,,,,4南保管第1-99号,,食肉販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,ピアゴ　ラ　フーズコア柴田店,ピアゴラフズコア柴田店,ユニー株式会社,,3,,,,,
ユニー株式会社 代表取締役  関口　憲司,0587-24-8111,ピアゴ ラ フーズコア柴田店,名古屋市南区柴田本通１丁目３番地　,名古屋市南区柴田本通１丁目３番地 ,,612-7211,飲食店営業,2022/7/12,4南保管第1-97号,2022/7/21,2028/7/20,,名古屋市保健所,ピアゴ ラ フーズコア柴田店,052,052-612-7211,,,,名古屋市南区柴田本通１丁目３番地 ,愛知県名古屋市南区柴田本通１丁目３番地,,116652,愛知県,名古屋市南区,柴田本通１,,2022/07/12,,2022/07/21,2028/07/20,ユニー株式会社 ,代表取締役  関口　憲司,0587-24-8111,,,,,,,,4南保管第1-97号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ピアゴ　ラ　フーズコア柴田店,ピアゴラフズコア柴田店,ユニー株式会社,,3,,,,,
株式会社　白血球office 代表取締役　杉浦　愛子,875-8175,手品師白血球のすべらない酒場,名古屋市南区寺部通４丁目７番地の１　South-Spring BLD １階,名古屋市南区寺部通４丁目７番地の１, South－Spring BLD １階,,飲食店営業,2022/7/1,4南保管第1-59号,2022/7/1,2029/5/20,,名古屋市保健所,手品師白血球のすべらない酒場,052,,,,,名古屋市南区寺部通４丁目７番地の１,愛知県名古屋市南区寺部通４丁目７番地ノ１, South－Spring BLD １階,116729,愛知県,名古屋市南区,寺部通４,,2022/07/01,,2022/07/01,2029/05/20,株式会社　白血球office ,代表取締役　杉浦　愛子,-875-8175,,,,,,,,4南保管第1-59号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,手品師白血球のすべらない酒場,手品師白血球のすべらない酒場,株式会社白血球ｏｆｆｉｃｅ　,,1,,,,,
株式会社　丸亀製麺 代表取締役　山口　寛,,丸亀製麺イオンモール新瑞橋,名古屋市南区菊住一丁目７番１０号　イオンモール新瑞橋３Ｆ,名古屋市南区菊住１丁目７番１０号 ,イオンモール新瑞橋３Ｆ,824-5227,飲食店営業,2022/7/5,4南保管第1-77号,2022/7/21,2028/7/20,,名古屋市保健所,丸亀製麺イオンモール新瑞橋,052,052-824-5227,,,,名古屋市南区菊住１丁目７番１０号 ,愛知県名古屋市南区菊住１丁目７番１０号,イオンモール新瑞橋３Ｆ,116910,愛知県,名古屋市南区,菊住１,,2022/07/05,,2022/07/21,2028/07/20,株式会社　丸亀製麺 ,代表取締役　山口　寛,,,,,,,,,4南保管第1-77号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,丸亀製麺イオンモール新瑞橋,丸亀製麺イオンモル新瑞橋,株式会社丸亀製麺　,丸亀製麺,1,宿泊業，飲食サービス業,飲食店,そば・うどん店,そば・うどん店,
株式会社　マリノ 代表取締役　水野　由太佳,702-1100,ラ・スイートパスタ　イオンモール新瑞橋店,名古屋市南区菊住一丁目７番１０号　イオンモール新瑞橋３Ｆ,名古屋市南区菊住１丁目７番１０号 ,イオンモール新瑞橋３Ｆ,829-3265,飲食店営業,2022/7/12,4南保管第1-92号,2022/7/21,2028/7/20,,名古屋市保健所,ラ・スイートパスタ　イオンモール新瑞橋店,052,052-829-3265,,,,名古屋市南区菊住１丁目７番１０号 ,愛知県名古屋市南区菊住１丁目７番１０号,イオンモール新瑞橋３Ｆ,116910,愛知県,名古屋市南区,菊住１,,2022/07/12,,2022/07/21,2028/07/20,株式会社　マリノ ,代表取締役　水野　由太佳,-702-1100,,,,,,,,4南保管第1-92号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ラ・スイートパスタ　イオンモール新瑞橋店,ラスイトパスタイオンモル新瑞橋店,株式会社マリノ　,,1,,,,,
株式会社 ファイブレシピ 代表取締役　菅木　寿一,209-6855,上海湯包小館　イオン新瑞橋店,名古屋市南区菊住一丁目７番１０号　イオンモール新瑞橋ショッピングセンター３Ｆ,名古屋市南区菊住１丁目７番１０号 ,イオンモール新瑞橋ショッピングセンター３Ｆ,693-5007,飲食店営業,2022/7/20,4南保管第1-93号,2022/7/21,2028/7/20,,名古屋市保健所,上海湯包小館　イオン新瑞橋店,052,052-693-5007,,,,名古屋市南区菊住１丁目７番１０号 ,愛知県名古屋市南区菊住１丁目７番１０号,イオンモール新瑞橋ショッピングセンター３Ｆ,116910,愛知県,名古屋市南区,菊住１,,2022/07/20,,2022/07/21,2028/07/20,株式会社 ファイブレシピ ,代表取締役　菅木　寿一,-209-6855,,,,,,,,4南保管第1-93号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,上海湯包小館　イオン新瑞橋店,上海湯包小館イオン新瑞橋店,株式会社ファイブレシピ　,,1,,,,,
福井　美智子,,呑どん,名古屋市南区白雲町１７３番地　,名古屋市南区白雲町１７３番地 ,,,飲食店営業,2022/7/20,4南保管第1-106号,2022/7/21,2029/5/20,,名古屋市保健所,呑どん,052,,,,,名古屋市南区白雲町１７３番地 ,愛知県名古屋市南区白雲町１７３番地,,116794,愛知県,名古屋市南区,白雲町,,2022/07/20,,2022/07/21,2029/05/20,,福井　美智子,,,,,,,,,4南保管第1-106号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,呑どん,呑どん,,,1,,,,,
株式会社　サンマルクカフェ 代表取締役社長　鎌田　滋之,086-237-5309,サンマルクカフェ　イオンモール新瑞橋店,名古屋市南区菊住一丁目７番１０号　イオンモール新瑞橋３階,名古屋市南区菊住１丁目７番１０号 ,イオンモール新瑞橋３階,829-3309,飲食店営業,2022/7/20,4南保管第1-88号,2022/7/21,2028/7/20,,名古屋市保健所,サンマルクカフェ　イオンモール新瑞橋店,052,052-829-3309,,,,名古屋市南区菊住１丁目７番１０号 ,愛知県名古屋市南区菊住１丁目７番１０号,イオンモール新瑞橋３階,116910,愛知県,名古屋市南区,菊住１,,2022/07/20,,2022/07/21,2028/07/20,株式会社　サンマルクカフェ ,代表取締役社長　鎌田　滋之,086-237-5309,,,,,,,,4南保管第1-88号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,サンマルクカフェ　イオンモール新瑞橋店,サンマルクカフェイオンモル新瑞橋店,株式会社サンマルクカフェ　,サンマルクカフェ,2,宿泊業，飲食サービス業,飲食店,喫茶店,喫茶店,
株式会社　サンマルクカフェ 代表取締役社長　鎌田　滋之,086-237-5309,サンマルクカフェ　イオンモール新瑞橋店,名古屋市南区菊住一丁目７番１０号　イオンモール新瑞橋３階,名古屋市南区菊住１丁目７番１０号 ,イオンモール新瑞橋３階,829-3309,菓子製造業,2022/7/20,4南保管第1-89号,2022/7/21,2028/7/20,,名古屋市保健所,サンマルクカフェ　イオンモール新瑞橋店,052,052-829-3309,,,,名古屋市南区菊住１丁目７番１０号 ,愛知県名古屋市南区菊住１丁目７番１０号,イオンモール新瑞橋３階,116910,愛知県,名古屋市南区,菊住１,,2022/07/20,,2022/07/21,2028/07/20,株式会社　サンマルクカフェ ,代表取締役社長　鎌田　滋之,086-237-5309,,,,,,,,4南保管第1-89号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,サンマルクカフェ　イオンモール新瑞橋店,サンマルクカフェイオンモル新瑞橋店,株式会社サンマルクカフェ　,サンマルクカフェ,2,宿泊業，飲食サービス業,飲食店,喫茶店,喫茶店,
新美　公達,,たこ焼き　南,名古屋市南区呼続一丁目３番２１号　グランディーズ呼続１０８,名古屋市南区呼続１丁目３番２１号, グランディーズ呼続１０８,627-2355,飲食店営業,2022/7/21,4南保管第1-115号,2022/7/21,2028/11/20,,名古屋市保健所,たこ焼き　南,052,052-627-2355,,,,名古屋市南区呼続１丁目３番２１号,愛知県名古屋市南区呼続１丁目３番２１号, グランディーズ呼続１０８,116937,愛知県,名古屋市南区,呼続１,,2022/07/21,,2022/07/21,2028/11/20,,新美　公達,,,,,,,,,4南保管第1-115号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,たこ焼き　南,たこ焼き南,,,1,,,,,
伊達　里美,,カザミウサギ,名古屋市守山区大森五丁目１２１２番地　,名古屋市守山区大森５丁目１２１２番地 ,,,飲食店営業,2022/7/5,4守保健第1-55号,2022/7/5,2028/9/20,,名古屋市保健所,カザミウサギ,052,,,,,名古屋市守山区大森５丁目１２１２番地 ,愛知県名古屋市守山区大森５丁目１２１２番地,,116951,愛知県,名古屋市守山区,大森５,,2022/07/05,,2022/07/05,2028/09/20,,伊達　里美,,,,,,,,,4守保健第1-55号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,カザミウサギ,カザミウサギ,,,2,,,,,
伊達　里美,,カザミウサギ,名古屋市守山区大森五丁目１２１２番地　,名古屋市守山区大森５丁目１２１２番地 ,,,菓子製造業,2022/7/5,4守保健第1-56号,2022/7/5,2028/9/20,,名古屋市保健所,カザミウサギ,052,,,,,名古屋市守山区大森５丁目１２１２番地 ,愛知県名古屋市守山区大森５丁目１２１２番地,,116951,愛知県,名古屋市守山区,大森５,,2022/07/05,,2022/07/05,2028/09/20,,伊達　里美,,,,,,,,,4守保健第1-56号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,カザミウサギ,カザミウサギ,,,2,,,,,
天田　望,,パティスリー　レジュイール,名古屋市守山区笹ヶ根二丁目１５１４番地　長谷川不動産貸店舗３Ｃ,名古屋市守山区笹ヶ根２丁目１５１４番地, 長谷川不動産貸店舗３Ｃ,725-8260,菓子製造業,2022/7/7,4守保健第1-51号,2022/7/21,2028/7/20,,名古屋市保健所,パティスリー　レジュイール,052,052-725-8260,,,,名古屋市守山区笹ヶ根２丁目１５１４番地,愛知県名古屋市守山区笹が根２丁目１５１４番地, 長谷川不動産貸店舗３Ｃ,117095,愛知県,名古屋市守山区,笹が根２,,2022/07/07,,2022/07/21,2028/07/20,,天田　望,,,,,,,,,4守保健第1-51号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,パティスリー　レジュイール,パティスリレジュイル,,,1,,,,,
加藤　範子,,風知庵,名古屋市守山区大字下志段味字北荒田２３４６番地２　,名古屋市守山区大字下志段味字北荒田２３４６番地２,,736-3990,飲食店営業,2022/7/7,4守保健第1-61号,2022/7/21,2028/7/20,,名古屋市保健所,風知庵,052,052-736-3990,,,,名古屋市守山区大字下志段味字北荒田２３４６番地２,愛知県名古屋市守山区下志段味字北荒田２３４６番地２,,116972,愛知県,名古屋市守山区,下志段味,,2022/07/07,,2022/07/21,2028/07/20,,加藤　範子,,,,,,,,,4守保健第1-61号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,風知庵,風知庵,,,1,,,,,
北村　太貴,,ＫＩＴＡＭＵＲＡ,名古屋市守山区森孝東一丁目１１８番地　サンシャイン四軒家２Ｆ,名古屋市守山区森孝東１丁目１１８番地, サンシャイン四軒家２Ｆ,,飲食店営業,2022/7/11,4守保健第1-64号,2022/8/1,2029/3/20,,名古屋市保健所,ＫＩＴＡＭＵＲＡ,052,,,,,名古屋市守山区森孝東１丁目１１８番地,愛知県名古屋市守山区森孝東１丁目１１８番地, サンシャイン四軒家２Ｆ,117022,愛知県,名古屋市守山区,森孝東１,,2022/07/11,,2022/08/01,2029/03/20,,北村　太貴,,,,,,,,,4守保健第1-64号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＫＩＴＡＭＵＲＡ,ＫＩＴＡＭＵＲＡ,,,1,,,,,
カトリ　ガンガ　デビ,,インド料理　チャンダニ,名古屋市守山区青山台１１０番地　,名古屋市守山区青山台１１０番地 ,,736-2001,飲食店営業,2022/7/14,4守保健第1-68号,2022/7/21,2028/7/20,,名古屋市保健所,インド料理　チャンダニ,052,052-736-2001,,,,名古屋市守山区青山台１１０番地 ,愛知県名古屋市守山区青山台１１０番地,,117088,愛知県,名古屋市守山区,青山台,,2022/07/14,,2022/07/21,2028/07/20,,カトリ　ガンガ　デビ,,,,,,,,,4守保健第1-68号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,インド料理　チャンダニ,インド料理チャンダニ,,,1,,,,,
株式会社　岐阜タンメンBBC 代表取締役　嶋津　真樹,0586-64-9401,岐阜タンメン　守山竜泉寺店,名古屋市守山区吉根一丁目２０３番地　,名古屋市守山区吉根１丁目２０３番地 ,,799-9594,飲食店営業,2022/7/20,4守保健第1-70号,2022/7/21,2028/7/20,,名古屋市保健所,岐阜タンメン　守山竜泉寺店,052,052-799-9594,,,,名古屋市守山区吉根１丁目２０３番地 ,愛知県名古屋市守山区吉根１丁目２０３番地,,116965,愛知県,名古屋市守山区,吉根１,,2022/07/20,,2022/07/21,2028/07/20,株式会社　岐阜タンメンBBC ,代表取締役　嶋津　真樹,0586-64-9401,,,,,,,,4守保健第1-70号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,岐阜タンメン　守山竜泉寺店,岐阜タンメン守山竜泉寺店,株式会社岐阜タンメンＢＢＣ　,,1,,,,,
合同会社　IDEA21　代表　ｳｨｼﾞｪｼﾝｶﾞ･ﾑﾊﾝﾃﾞｨﾗﾝｹﾞ･ﾄｼｬｰﾗ･ｻﾝﾊﾟｽ,,セイロンカフェ＆バー　守山店,名古屋市守山区苗代二丁目１３番１６号　,名古屋市守山区苗代２丁目１３番１６号, ,,飲食店営業,2022/7/29,4守保健第1-83号,2022/8/1,2029/6/20,,名古屋市保健所,セイロンカフェ＆バー　守山店,052,,,,,名古屋市守山区苗代２丁目１３番１６号,愛知県名古屋市守山区苗代２丁目１３番１６号, ,117055,愛知県,名古屋市守山区,苗代２,,2022/07/29,,2022/08/01,2029/06/20,合同会社　IDEA21　代表　ｳｨｼﾞｪｼﾝｶﾞ･ﾑﾊﾝﾃﾞｨﾗﾝｹﾞ･ﾄｼｬｰﾗ･ｻﾝﾊﾟｽ,,,,,,,,,,4守保健第1-83号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,セイロンカフェ＆バー　守山店,セイロンカフェバ守山店,合同会社ＩＤＥＡ２１　代表　ウィジェシンガ・ムハンディランゲ・トシャーラ・サンパス,,1,,,,,
