https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,確認番号,,申請-住所0,申請-住所1,申請-マンション名,申請者1,,申請者2,,,申請-電話番号1,郵便番号,施設-住所0,施設-住所1,施設-住所2,施設-マンション名,施設名,施設-電話番号1,業種,業態,その他,その他,開業年月日,許可年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業,25221,保生第-,180-8580,東京都武蔵野市西久保１－２５－８,東京都武蔵野市西久保１－２５－８,,株式会社　すかいらーくレストランツ,代表取締役,大川原 利明,代表取締役　大川原 利明,スカイラークレストランツ,042-237-5218,238-0041,横須賀市本町３－２７－１０３,神奈川県,横須賀市本町３－２７,１０３,しゃぶ葉　横須賀ベイスクエア店 g_a_s-business_fire_charge@skylark.co.jp,820-6707,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/4/21 0:00,11/4/21 0:00,,12/31/87 0:00,,144,しゃぶ葉　横須賀ベイスクエア店 g_a_s-business_fire_charge@skylark.co.jp,046,046-820-6707,,,,神奈川県　横須賀市本町３－２７,神奈川県横須賀市本町３－２７,１０３,81222,14,14201,本町３,,2021/11/04,2021/11/04,,2087/12/31,株式会社　すかいらーくレストランツ,代表取締役　大川原 利明,042-237-5218,東京都武蔵野市西久保１－２５－８,東京都武蔵野市西久保１－２５－８,,76312,東京都,武蔵野市,西久保１,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,しゃぶ葉横須賀ベイスクエア店ｇａｓｂｕｓｉｎｅｓｓｆｉｒｅｃｈａｒｇｅｓｋｙｌａｒｋｃｏｊｐ046-820-67078122214201,e6aeb21a-4c10-4671-9ddf-744643a0ba8a,株式会社すかいらーくレストランツ76312,096e5a40-3c9c-4cb8-82a7-75204bdd2395,fb259c49-6976-40f5-bafb-b44b805fc6cd,2021/11/04,しゃぶ葉　横須賀ベイスクエア店　ｇ＿ａ＿ｓ－ｂｕｓｉｎｅｓｓ＿ｆｉｒｅ＿ｃｈａｒｇｅ＠ｓｋｙｌａｒｋ．ｃｏ．ｊｐ,しゃぶ葉横須賀ベイスクエア店ｇａｓｂｕｓｉｎｅｓｓｆｉｒｅｃｈａｒｇｅｓｋｙｌａｒｋｃｏｊｐ,株式会社すかいらーくレストランツ
営業,25229,保生第-,104-0044,東京都中央区明石町８－１,東京都中央区明石町８－１,,株式会社　ちよだ鮨,代表取締役,中島 正人,代表取締役　中島 正人,チヨダスシ,03-3543-6681,237-0068,横須賀市追浜本町１－２８－５ サンビーチ追浜ビル１Ｆ,神奈川県,横須賀市追浜本町１－２８－５,サンビーチ追浜ビル１Ｆ,ちよだ鮨　サンビーチ追浜店 ,865-9405,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/9/21 0:00,11/9/21 0:00,,12/31/87 0:00,,144,ちよだ鮨　サンビーチ追浜店 ,046,046-865-9405,,,,神奈川県　横須賀市追浜本町１－２８－５,神奈川県横須賀市追浜本町１－２８－５,サンビーチ追浜ビル１Ｆ,81031,14,14201,追浜本町１,,2021/11/09,2021/11/09,,2087/12/31,株式会社　ちよだ鮨,代表取締役　中島 正人,03-3543-6681,東京都中央区明石町８－１,東京都中央区明石町８－１,,72940,東京都,中央区,明石町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,ちよだ鮨サンビチ追浜店046-865-94058103114201,f1d294ab-b478-48d9-a03a-09a62a55f142,株式会社ちよだ鮨72940,7eea76e6-e2f2-4744-b3bd-a24b51bb5820,a01dd4e7-0aa3-426a-a68e-f440eaa60a9a,2021/11/09,ちよだ鮨　サンビーチ追浜店　,ちよだ鮨サンビチ追浜店,株式会社ちよだ鮨
営業,25164,保生第-,162-0853,東京都新宿区北山伏町１－１１,東京都新宿区北山伏町１－１１,,一般財団法人防衛弘済会,代表理事,山本 一利,代表理事　山本 一利,ボウエイコウサイカイ,03-5946-8701,238-0046,横須賀市西逸見町１丁目無番地 横須賀地方総監部厚生センター内２Ｆ,神奈川県,横須賀市西逸見町１丁目無番地, 横須賀地方総監部厚生センター内２Ｆ,Ｙショップ　横須賀店 ,827-3810,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/30/21 0:00,11/30/21 0:00,,12/31/87 0:00,,144,Ｙショップ　横須賀店 ,046,046-827-3810,,,,神奈川県　横須賀市西逸見町１丁目無番地,神奈川県横須賀市西逸見町１丁目無番地, 横須賀地方総監部厚生センター内２Ｆ,81162,14,14201,西逸見町１,,2021/11/30,2021/11/30,,2087/12/31,一般財団法人防衛弘済会,代表理事　山本 一利,03-5946-8701,東京都新宿区北山伏町１－１１,東京都新宿区北山伏町１－１１,,73210,東京都,新宿区,北山伏町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,Ｙショップ横須賀店046-827-38108116214201,5bd71701-9d6f-44a3-84ea-1c4ff4e714c6,一般財団法人防衛弘済会73210,83d4d83b-66a4-4b7b-a600-f2145b1cda21,ced87a07-2976-4db8-b6ae-48f1cb67a47a,2021/11/30,Ｙショップ　横須賀店　,Ｙショップ横須賀店,一般財団法人防衛弘済会
営業,25340,保生第-,468-8585,愛知県名古屋市天白区道明町７１,愛知県名古屋市天白区道明町７１,,株式会社丸越,代表取締役,野田 明孝,代表取締役　野田 明孝,マルコシ,052-831-0025,238-0007,横須賀市若松町２－３０ モアーズシティ横須賀店　Ｂ１Ｆ,神奈川県,横須賀市若松町２－３０,モアーズシティ横須賀店 Ｂ１Ｆ,お漬物の丸越 ,820-4408,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/18/21 0:00,11/18/21 0:00,,12/31/87 0:00,,144,お漬物の丸越 ,046,046-820-4408,,,,神奈川県　横須賀市若松町２－３０,神奈川県横須賀市若松町２－３０,モアーズシティ横須賀店 Ｂ１Ｆ,81259,14,14201,若松町２,,2021/11/18,2021/11/18,,2087/12/31,株式会社丸越,代表取締役　野田 明孝,052-831-0025,愛知県名古屋市天白区道明町７１,愛知県名古屋市天白区道明町７１,,117516,愛知県,名古屋市天白区,道明町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,お漬物の丸越046-820-44088125914201,2be4e3ed-a6ad-4412-8790-f7049d6d4f4e,株式会社丸越117516,a82e265d-bdcb-48b4-95f9-35c95cbcff3a,fbd56dac-ab2c-4f4f-8d04-ccf0dc2fc592,2021/11/18,お漬物の丸越　,お漬物の丸越,株式会社丸越
営業,25321,保生第-,170-8424,東京都豊島区東池袋４－２６－３,東京都豊島区東池袋４－２６－３,,株式会社良品計画,代表取締役,堂前 宣夫,代表取締役　堂前 宣夫,リョウヒンケイカク,03-3989-4403,238-0007,横須賀市若松町２－３０－０５０２ MORE'SCITY,神奈川県,横須賀市若松町２－３０－０５０２,MORE'SCITY,無印良品横須賀モアーズシティ店 ,,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/30/21 0:00,11/30/21 0:00,,12/31/87 0:00,,144,無印良品横須賀モアーズシティ店 ,046,,,,,神奈川県　横須賀市若松町２－３０－０５０２,神奈川県横須賀市若松町２－３０－０５０２,MORE'SCITY,81259,14,14201,若松町２,,2021/11/30,2021/11/30,,2087/12/31,株式会社良品計画,代表取締役　堂前 宣夫,03-3989-4403,東京都豊島区東池袋４－２６－３,東京都豊島区東池袋４－２６－３,,74833,東京都,豊島区,東池袋４,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,無印良品横須賀モアズシティ店8125914201,64aab671-8f1a-472f-bb85-bfd88b8cca53,株式会社良品計画74833,c0107478-26fd-4277-8932-f08bd1fc7711,d2c8a701-2343-49fd-8bfc-ce4416a15e1b,2021/11/30,無印良品横須賀モアーズシティ店　,無印良品横須賀モアズシティ店,株式会社良品計画
営業,25326,保生第-,231-8528,神奈川県横浜市中区山下町８９－１,神奈川県横浜市中区山下町８９－１,,株式会社　ファンケル,代表取締役,島田　和幸,代表取締役　島田　和幸,ファンケル,045-226-1418,238-0007,横須賀市若松町２－３０ 横須賀モアーズシティ１Ｆ,神奈川県,横須賀市若松町２－３０,横須賀モアーズシティ１Ｆ,ファンケル　横須賀モアーズシティ店 ,820-4457,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/25/21 0:00,11/25/21 0:00,,12/31/87 0:00,,144,ファンケル　横須賀モアーズシティ店 ,046,046-820-4457,,,,神奈川県　横須賀市若松町２－３０,神奈川県横須賀市若松町２－３０,横須賀モアーズシティ１Ｆ,81259,14,14201,若松町２,,2021/11/25,2021/11/25,,2087/12/31,株式会社　ファンケル,代表取締役　島田　和幸,045-226-1418,神奈川県横浜市中区山下町８９－１,神奈川県横浜市中区山下町８９－１,,78746,神奈川県,横浜市中区,山下町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,ファンケル横須賀モアズシティ店046-820-44578125914201,e6bb2bf1-e91d-4364-8ba8-8f4785e3257d,株式会社ファンケル78746,374b27fa-278c-44c7-9e19-650217e5faaa,3209dd76-fd0e-413a-b7fa-e19e0547c5c9,2021/11/25,ファンケル　横須賀モアーズシティ店　,ファンケル横須賀モアズシティ店,株式会社ファンケル
営業,25306,保生第-,245-8558,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,株式会社日産クリエイティブサービス,代表取締役,髙橋 徹,代表取締役　髙橋 徹,ニッサンクリエイティブサービス,045-814-7301,237-0061,横須賀市夏島町１,神奈川県,横須賀市夏島町１,,ＮＩＣＳ　第三食堂ショップ ,865-8396,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/25/21 0:00,11/25/21 0:00,,12/31/87 0:00,,144,ＮＩＣＳ　第三食堂ショップ ,046,046-865-8396,,,,神奈川県　横須賀市夏島町１,神奈川県横須賀市夏島町１,,81161,14,14201,夏島町,,2021/11/25,2021/11/25,,2087/12/31,株式会社日産クリエイティブサービス,代表取締役　髙橋 徹,045-814-7301,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,79283,神奈川県,横浜市戸塚区,上矢部町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,ＮＩＣＳ第三食堂ショップ046-865-83968116114201,ea4b0c2a-6772-41ed-a9ee-a760d7f54a9f,株式会社日産クリエイティブサービス79283,d520aacf-0a47-442b-8853-341b1dad2a00,94f8d6aa-0bf0-40af-9e41-e0707cc62572,2021/11/25,ＮＩＣＳ　第三食堂ショップ　,ＮＩＣＳ第三食堂ショップ,株式会社日産クリエイティブサービス
営業,25307,保生第-,245-8558,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,株式会社日産クリエイティブサービス,代表取締役,髙橋 徹,代表取締役　髙橋 徹,ニッサンクリエイティブサービス,045-814-7301,237-0062,横須賀市浦郷町５－２９３１,神奈川県,横須賀市浦郷町５－２９３１,,ＮＩＣＳ　ＹＳＰ東邦ＳＨＯＰ ,865-8396,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/25/21 0:00,11/25/21 0:00,,12/31/87 0:00,,144,ＮＩＣＳ　ＹＳＰ東邦ＳＨＯＰ ,046,046-865-8396,,,,神奈川県　横須賀市浦郷町５－２９３１,神奈川県横須賀市浦郷町５－２９３１,,81000,14,14201,浦郷町５,,2021/11/25,2021/11/25,,2087/12/31,株式会社日産クリエイティブサービス,代表取締役　髙橋 徹,045-814-7301,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,79283,神奈川県,横浜市戸塚区,上矢部町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,ＮＩＣＳＹＳＰ東邦ＳＨＯＰ046-865-83968100014201,c277759f-071c-4bc1-aa94-87d256600c29,株式会社日産クリエイティブサービス79283,d520aacf-0a47-442b-8853-341b1dad2a00,49815ae0-1bd6-4e67-be8c-b478a5b53165,2021/11/25,ＮＩＣＳ　ＹＳＰ東邦ＳＨＯＰ　,ＮＩＣＳＹＳＰ東邦ＳＨＯＰ,株式会社日産クリエイティブサービス
営業,25308,保生第-,245-8558,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,株式会社日産クリエイティブサービス,代表取締役,髙橋 徹,代表取締役　髙橋 徹,ニッサンクリエイティブサービス,045-814-7301,237-0061,横須賀市夏島町１,神奈川県,横須賀市夏島町１,,ＮＩＣＳ　二地区研究所ショップ ,865-8396,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/25/21 0:00,11/25/21 0:00,,12/31/87 0:00,,144,ＮＩＣＳ　二地区研究所ショップ ,046,046-865-8396,,,,神奈川県　横須賀市夏島町１,神奈川県横須賀市夏島町１,,81161,14,14201,夏島町,,2021/11/25,2021/11/25,,2087/12/31,株式会社日産クリエイティブサービス,代表取締役　髙橋 徹,045-814-7301,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,79283,神奈川県,横浜市戸塚区,上矢部町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,ＮＩＣＳ二地区研究所ショップ046-865-83968116114201,2e50316d-0bb2-479c-ace8-685eba6588eb,株式会社日産クリエイティブサービス79283,d520aacf-0a47-442b-8853-341b1dad2a00,761c5de7-4de7-45dd-8e9e-b89a9613d2c4,2021/11/25,ＮＩＣＳ　二地区研究所ショップ　,ＮＩＣＳ二地区研究所ショップ,株式会社日産クリエイティブサービス
営業,25309,保生第-,245-8558,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,株式会社日産クリエイティブサービス,代表取締役,髙橋 徹,代表取締役　髙橋 徹,ニッサンクリエイティブサービス,045-814-7301,237-0061,横須賀市夏島町１,神奈川県,横須賀市夏島町１,,ＮＩＣＳ　中央サービスセンター ,865-8396,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/25/21 0:00,11/25/21 0:00,,12/31/87 0:00,,144,ＮＩＣＳ　中央サービスセンター ,046,046-865-8396,,,,神奈川県　横須賀市夏島町１,神奈川県横須賀市夏島町１,,81161,14,14201,夏島町,,2021/11/25,2021/11/25,,2087/12/31,株式会社日産クリエイティブサービス,代表取締役　髙橋 徹,045-814-7301,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,79283,神奈川県,横浜市戸塚区,上矢部町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,ＮＩＣＳ中央サビスセンタ046-865-83968116114201,bf6034df-c9e5-4e62-9980-44af71180d6d,株式会社日産クリエイティブサービス79283,d520aacf-0a47-442b-8853-341b1dad2a00,d8277596-229a-4425-9f4c-86cf85d494ce,2021/11/25,ＮＩＣＳ　中央サービスセンター　,ＮＩＣＳ中央サビスセンタ,株式会社日産クリエイティブサービス
営業,25310,保生第-,245-8558,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,株式会社日産クリエイティブサービス,代表取締役,髙橋 徹,代表取締役　髙橋 徹,ニッサンクリエイティブサービス,045-814-7301,237-0061,横須賀市夏島町１８,神奈川県,横須賀市夏島町１８,,ＮＩＣＳ　ＣＫ追浜ショップ ,865-8396,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/25/21 0:00,11/25/21 0:00,,12/31/87 0:00,,144,ＮＩＣＳ　ＣＫ追浜ショップ ,046,046-865-8396,,,,神奈川県　横須賀市夏島町１８,神奈川県横須賀市夏島町１８,,81161,14,14201,夏島町,,2021/11/25,2021/11/25,,2087/12/31,株式会社日産クリエイティブサービス,代表取締役　髙橋 徹,045-814-7301,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,79283,神奈川県,横浜市戸塚区,上矢部町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,ＮＩＣＳＣＫ追浜ショップ046-865-83968116114201,1bcebbfc-4f36-4eaf-92f1-0234affb2bb6,株式会社日産クリエイティブサービス79283,d520aacf-0a47-442b-8853-341b1dad2a00,94a1b1fa-b756-40b1-b6da-18260f71b675,2021/11/25,ＮＩＣＳ　ＣＫ追浜ショップ　,ＮＩＣＳＣＫ追浜ショップ,株式会社日産クリエイティブサービス
営業,25311,保生第-,245-8558,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,株式会社日産クリエイティブサービス,代表取締役,髙橋 徹,代表取締役　髙橋 徹,ニッサンクリエイティブサービス,045-814-7301,237-0061,横須賀市夏島町１,神奈川県,横須賀市夏島町１,,ＮＩＣＳ　３地区第５食堂ショップ ,865-8396,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/25/21 0:00,11/25/21 0:00,,12/31/87 0:00,,144,ＮＩＣＳ　３地区第５食堂ショップ ,046,046-865-8396,,,,神奈川県　横須賀市夏島町１,神奈川県横須賀市夏島町１,,81161,14,14201,夏島町,,2021/11/25,2021/11/25,,2087/12/31,株式会社日産クリエイティブサービス,代表取締役　髙橋 徹,045-814-7301,神奈川県横浜市戸塚区上矢部町２３８４,神奈川県横浜市戸塚区上矢部町２３８４,,79283,神奈川県,横浜市戸塚区,上矢部町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,ＮＩＣＳ３地区第５食堂ショップ046-865-83968116114201,5046f5d2-8e02-4779-8d77-a8855f608f40,株式会社日産クリエイティブサービス79283,d520aacf-0a47-442b-8853-341b1dad2a00,ce73f0cc-a0b7-4d3f-bbb0-0aecb5e0ced2,2021/11/25,ＮＩＣＳ　３地区第５食堂ショップ　,ＮＩＣＳ３地区第５食堂ショップ,株式会社日産クリエイティブサービス
営業,25335,保生第-,108-0075,東京都港区港南２－１８－１,東京都港区港南２－１８－１,,株式会社なか卯,代表取締役,平山 賢太郎,代表取締役　平山 賢太郎,ナカウ,03-6833-8820,238-0024,横須賀市大矢部３－１３－１２,神奈川県,横須賀市大矢部３－１３－１２,,なか卯横須賀大矢部店 ,838-5058,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,12/2/21 0:00,12/2/21 0:00,,12/31/87 0:00,,144,なか卯横須賀大矢部店 ,046,046-838-5058,,,,神奈川県　横須賀市大矢部３－１３－１２,神奈川県横須賀市大矢部３－１３－１２,,81019,14,14201,大矢部３,,2021/12/02,2021/12/02,,2087/12/31,株式会社なか卯,代表取締役　平山 賢太郎,03-6833-8820,東京都港区港南２－１８－１,東京都港区港南２－１８－１,,73073,東京都,港区,港南２,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,なか卯横須賀大矢部店046-838-50588101914201,f30a8815-991b-4418-83e6-79c0f77b1df2,株式会社なか卯73073,18ec8b9e-b113-4d67-ae26-e6a16b3f4485,8684e3f2-7471-41db-ae72-2ce224b8087d,2021/12/02,なか卯横須賀大矢部店　,なか卯横須賀大矢部店,株式会社なか卯
営業,25359,保生第-,238-0007,神奈川県横須賀市若松町３－４ ガーベラ横須賀ビル１階,神奈川県横須賀市若松町３－４,ガーベラ横須賀ビル１階,ＢＡＢＡ　ＡＭＡ合同会社,代表社員,カドカ・ガンガ,代表社員　カドカ・ガンガ,ババアマ,046-823-0506,238-0007,横須賀市若松町３－４ ガーベラ横須賀ビル１Ｆ,神奈川県,横須賀市若松町３－４,ガーベラ横須賀ビル１Ｆ,アスミタハラールフードローズ ,,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/26/21 0:00,11/26/21 0:00,,12/31/87 0:00,,144,アスミタハラールフードローズ ,046,,,,,神奈川県　横須賀市若松町３－４,神奈川県横須賀市若松町３－４,ガーベラ横須賀ビル１Ｆ,81260,14,14201,若松町３,,2021/11/26,2021/11/26,,2087/12/31,ＢＡＢＡ　ＡＭＡ合同会社,代表社員　カドカ・ガンガ,046-823-0506,神奈川県横須賀市若松町３－４,神奈川県横須賀市若松町３－４,ガーベラ横須賀ビル１階,81260,神奈川県,横須賀市,若松町３,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,アスミタハラルフドロズ8126014201,f7ebd982-1456-4683-a871-96b1271ca8a4,ＢＡＢＡ　ＡＭＡ合同会社81260,a68c166d-5d8c-459c-91b5-b9b746c6ee1d,2c5c70f8-2d3e-4d38-91dc-f374e9dc1af9,2021/11/26,アスミタハラールフードローズ　,アスミタハラルフドロズ,ＢＡＢＡ　ＡＭＡ合同会社
営業,25367,保生第-,240-0046,神奈川県横浜市保土ケ谷区仏向西４８－２２,神奈川県横浜市保土ケ谷区仏向西４８－２２,,ＢＢＱ　ＦＡＣＴＯＲＹ合同会社,代表社員,川村 愛子,代表社員　川村 愛子,バーベキューファクトリー,045-565-9191,239-0811,横須賀市走水２－１１５７－２,神奈川県,横須賀市走水２－１１５７－２,,シーサイドバーベキュー京急観音崎 ,,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/22/21 0:00,11/22/21 0:00,,12/31/87 0:00,,144,シーサイドバーベキュー京急観音崎 ,046,,,,,神奈川県　横須賀市走水２－１１５７－２,神奈川県横須賀市走水２－１１５７－２,,81182,14,14201,走水２,,2021/11/22,2021/11/22,,2087/12/31,ＢＢＱ　ＦＡＣＴＯＲＹ合同会社,代表社員　川村 愛子,045-565-9191,神奈川県横浜市保土ケ谷区仏向西４８－２２,神奈川県横浜市保土が谷区仏向西４８－２２,,78989,神奈川県,横浜市保土ケ谷区,仏向西,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,シサイドバベキュ京急観音崎8118214201,83bfb2ab-7b7a-4070-9fed-b8c94c78a7cc,ＢＢＱ　ＦＡＣＴＯＲＹ合同会社78989,1b43e01e-edbf-4dd8-a7a0-a901362c9d8d,4bb94ae2-87db-4ad0-8c2d-68304168a3af,2021/11/22,シーサイドバーベキュー京急観音崎　,シサイドバベキュ京急観音崎,ＢＢＱ　ＦＡＣＴＯＲＹ合同会社
営業,25253,保生第-,238-0316,,,,,,原田 利直,原田 利直,ハラダトシナオ,,238-0316,横須賀市長井１－２３－９,神奈川県,横須賀市長井１－２３－９,,原田農園 ,,農産保存食料品製造・加工業,農産保存食料品製造・加工業,黒にんにく,製造・加工業,11/4/21 0:00,11/4/21 0:00,,12/31/87 0:00,,144,原田農園 ,046,,,,,神奈川県　横須賀市長井１－２３－９,神奈川県横須賀市長井１－２３－９,,81135,14,14201,長井１,,2021/11/04,2021/11/04,,2087/12/31,,原田 利直,,,,,,,,,,,農産保存食料品製造・加工業, 農産保存食料品製造・加工業,黒にんにく製造・加工業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,93,,原田農園8113514201,59c0d769-33ca-4d82-9306-e1fe9befa693,,personal,da39b399-5871-497d-a2fc-8c5626d93389,2021/11/04,原田農園　,原田農園,
営業,25264,保生第-,239-0843,,,,,,西脇 綾子,西脇 綾子,ニシワキアヤコ,,239-0843,横須賀市津久井５－６－４,神奈川県,横須賀市津久井５－６－４,,いちごはうす西脇 ,848-2548,農産保存食料品製造・加工業,農産保存食料品製造・加工業,,製造・加工業,11/10/21 0:00,11/10/21 0:00,,12/31/87 0:00,一致の場合削除津久井浜観光農業振興協議会　牛込加工センター/いちごはうす西脇,144,いちごはうす西脇 ,046,046-848-2548,,,,神奈川県　横須賀市津久井５－６－４,神奈川県横須賀市津久井５－６－４,,81131,14,14201,津久井５,,2021/11/10,2021/11/10,,2087/12/31,,西脇 綾子,,,,,,,,,,,農産保存食料品製造・加工業, 農産保存食料品製造・加工業,製造・加工業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,93,,いちごはうす西脇046-848-25488113114201,f79162e2-4425-4096-9e4c-a91f2402f824,,personal,5d586d3f-2f3d-48a8-aac2-eb4aafe9094e,2021/11/10,いちごはうす西脇　,いちごはうす西脇,
営業,25281,保生第-,233-0003,,,,,,松崎 安芸子,松崎 安芸子,マツザキアキコ,,237-0067,横須賀市鷹取２－１４－１７,神奈川県,横須賀市鷹取２－１４－１７,,ドラゴン　スパイス ,,調味料製造・加工業,調味料製造・加工業,,製造・加工業,11/16/21 0:00,11/16/21 0:00,,12/31/87 0:00,,144,ドラゴン　スパイス ,046,,,,,神奈川県　横須賀市鷹取２－１４－１７,神奈川県横須賀市鷹取２－１４－１７,,81289,14,14201,鷹取２,,2021/11/16,2021/11/16,,2087/12/31,,松崎 安芸子,,,,,,,,,,,調味料製造・加工業, 調味料製造・加工業,製造・加工業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,94,,ドラゴンスパイス8128914201,6a7722ae-5085-41e4-a8a9-cec24b5da824,,personal,4eb21970-6c4c-4fc2-bb5f-72318460a2d9,2021/11/16,ドラゴン　スパイス　,ドラゴンスパイス,
営業,25265,保生第-,240-0105,,,,,,久原 史幹,久原 史幹,クハラフミモト,,240-0105,横須賀市秋谷２－３－３５,神奈川県,横須賀市秋谷２－３－３５,,バルヤンナイク ,,製茶業,製茶業,,製造・加工業,11/11/21 0:00,11/11/21 0:00,,12/31/87 0:00,,144,バルヤンナイク ,046,,,,,神奈川県　横須賀市秋谷２－３－３５,神奈川県横須賀市秋谷２－３－３５,,80956,14,14201,秋谷２,,2021/11/11,2021/11/11,,2087/12/31,,久原 史幹,,,,,,,,,,,製茶業, 製茶業,製造・加工業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,10,103,1031,バルヤンナイク8095614201,b7e77d16-0030-48bf-a020-c9f03920fa98,,personal,ea91586f-4f7f-4f60-9dbb-049f0c0ac126,2021/11/11,バルヤンナイク　,バルヤンナイク,
