https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所0,施設-住所1,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-039588,神生第9016,株式会社ベルワイズ,,横浜市神奈川区守屋町3-9 3号倉庫1F,横浜市神奈川区守屋町３－９,３号倉庫１F,ローソン　S安田倉庫守屋町店 ,4533077,コンビニエンスストア,コンビニエンスストア,2021年11月23日,2117年12月31日,2021年11月23日,,141,ローソン　S安田倉庫守屋町店 ,045,045-453-3077,,,,横浜市神奈川区守屋町３－９,神奈川県横浜市神奈川区守屋町３－９,３号倉庫１F,78428,14,14102,守屋町３,,2021/11/23,2021/11/23,,2117/12/31,株式会社ベルワイズ,,,,,,,,,,神生第9016,,コンビニエンスストア, コンビニエンスストア,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ロソンＳ安田倉庫守屋町店045-453-30777842814102,00141_bbe88c4b-8186-4714-b573-4823be98295b,株式会社ベルワイズ,37773ae0-32d6-4889-a8ee-c4ded1bb4eb1,50d163c7-ed9e-4054-a768-cee94cd359d1,2021/11/23,ローソン　Ｓ安田倉庫守屋町店　,ロソンＳ安田倉庫守屋町店,株式会社ベルワイズ
10-039589,神生第9023,三本珈琲株式会社,,横浜市神奈川区山内町15-4,横浜市神奈川区山内町１５－４,,三本珈琲株式会社横浜支店 ,4418001,その他の食料・飲料販売業,,2021年11月25日,2117年12月31日,2021年11月25日,,141,三本珈琲株式会社横浜支店 ,045,045-441-8001,,,,横浜市神奈川区山内町１５－４,神奈川県横浜市神奈川区山内町１５－４,,78430,14,14102,山内町,,2021/11/25,2021/11/25,,2117/12/31,三本珈琲株式会社,,,,,,,,,,神生第9023,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,三本珈琲株式会社横浜支店045-441-80017843014102,00141_55280a17-5fd4-4cdf-a36e-7318c77427c0,三本珈琲株式会社,021e455f-5cfb-47a5-9a66-25ee3debfbd4,d3eadec2-a621-48bd-93f2-a16bfb565fa3,2021/11/25,三本珈琲株式会社横浜支店　,三本珈琲株式会社横浜支店,三本珈琲株式会社
10-039590,神生第9017,株式会社日本アメニティライフ協会,,横浜市神奈川区三枚町543-3,横浜市神奈川区三枚町５４３－３,,花珠の家かながわ ,3706587,集団給食施設,,2021年11月25日,2117年12月31日,2021年11月25日,,141,花珠の家かながわ ,045,045-370-6587,,,,横浜市神奈川区三枚町５４３－３,神奈川県横浜市神奈川区三枚町５４３－３,,78362,14,14102,三枚町,,2021/11/25,2021/11/25,,2117/12/31,株式会社日本アメニティライフ協会,,,,,,,,,,神生第9017,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,花珠の家かながわ045-370-65877836214102,c2b256ac-0649-49d7-887b-f2eab3ca754f,株式会社日本アメニティライフ協会,d8ac0d74-a6cb-4235-a6ec-793c16913581,fce8e40e-b529-445a-9519-fafd96940630,2021/11/25,花珠の家かながわ　,花珠の家かながわ,株式会社日本アメニティライフ協会
10-039591,神生第9018,株式会社ジェイアール東日本都市開発,,横浜市神奈川区三ツ沢西町1-1 横浜市立市民病院1F,横浜市神奈川区三ツ沢西町１－１,横浜市立市民病院１F,カフェ・ド・クリエ　ホピタル　横浜市立市民病院店 ,5345782,その他の食料・飲料販売業,,2021年11月26日,2117年12月31日,2021年11月26日,,141,カフェ・ド・クリエ　ホピタル　横浜市立市民病院店 ,045,045-534-5782,,,,横浜市神奈川区三ツ沢西町１－１,神奈川県横浜市神奈川区三ツ沢西町１－１,横浜市立市民病院１F,78423,14,14102,三ツ沢西町,,2021/11/26,2021/11/26,,2117/12/31,株式会社ジェイアール東日本都市開発,,,,,,,,,,神生第9018,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,カフェドクリエホピタル横浜市立市民病院店045-534-57827842314102,cc873bcd-cfdb-4669-9c52-aa2e8604b720,株式会社ジェイアール東日本都市開発,8be56b63-ad4d-408d-aec3-47d7460f524f,cea092c1-1f5a-4100-92b5-4d4d338a6be5,2021/11/26,カフェ・ド・クリエ　ホピタル　横浜市立市民病院店　,カフェドクリエホピタル横浜市立市民病院店,株式会社ジェイアール東日本都市開発
10-039594,神生第9025,株式会社日本アメニティライフ協会,,横浜市神奈川区菅田町315,横浜市神奈川区菅田町３１５,,福寿よこはま神奈川 ,4762587,集団給食施設,,2021年11月25日,2117年12月31日,2021年11月25日,,141,福寿よこはま神奈川 ,045,045-476-2587,,,,横浜市神奈川区菅田町３１５,神奈川県横浜市神奈川区菅田町３１５,,78375,14,14102,菅田町,,2021/11/25,2021/11/25,,2117/12/31,株式会社日本アメニティライフ協会,,,,,,,,,,神生第9025,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,福寿よこはま神奈川045-476-25877837514102,0b21ae2c-4645-4529-b437-f2f5a9772ceb,株式会社日本アメニティライフ協会,d8ac0d74-a6cb-4235-a6ec-793c16913581,9dd419f5-494e-4d31-b97f-dd6dec1d4803,2021/11/25,福寿よこはま神奈川　,福寿よこはま神奈川,株式会社日本アメニティライフ協会
00-002446,鶴生指令第311,,伊志嶺 博次,横浜市鶴見区鶴見中央4-24-6,横浜市鶴見区鶴見中央４－２４－６,,さんご ,455011801,飲食店営業,,2021年11月15日,2028年11月14日,2021年11月15日,,141,さんご ,045,045-501-1801,,,,横浜市鶴見区鶴見中央４－２４－６,神奈川県横浜市鶴見区鶴見中央４－２４－６,,78311,14,14101,鶴見中央４,,2021/11/15,2021/11/15,,2028/11/14,,伊志嶺 博次,,,,,,,,,鶴生指令第311,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,さんご045-501-18017831114101,4b3e8ab3-5813-4a91-b141-db1903bbe5d0,,personal,a2738e22-3d05-494b-9e49-d000fa7ec512,2021/11/15,さんご　,さんご,
00-003918,鶴生指令第314,,鈴木 介,横浜市鶴見区生麦5-22-14,横浜市鶴見区生麦５－２２－１４,,鈴木商店 ,5110151,魚介類販売業,,2021年11月16日,2027年11月15日,2021年11月16日,,141,鈴木商店 ,045,045-511-0151,,,,横浜市鶴見区生麦５－２２－１４,神奈川県横浜市鶴見区生麦５－２２－１４,,78266,14,14101,生麦５,,2021/11/16,2021/11/16,,2027/11/15,,鈴木 介,,,,,,,,,鶴生指令第314,,魚介類販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,,,鈴木商店045-511-01517826614101,5e045dae-9879-4353-a645-b1334853cb44,,personal,75536190-1055-47ca-84a3-d92b14abb87a,2021/11/16,鈴木商店　,鈴木商店,
00-003941,鶴生指令第295,,金子 正徳,横浜市鶴見区生麦5-23-5,横浜市鶴見区生麦５－２３－５,,貝信商店 ,5015563,魚介類販売業,,2021年11月5日,2027年11月4日,2021年11月5日,,141,貝信商店 ,045,045-501-5563,,,,横浜市鶴見区生麦５－２３－５,神奈川県横浜市鶴見区生麦５－２３－５,,78266,14,14101,生麦５,,2021/11/05,2021/11/05,,2027/11/04,,金子 正徳,,,,,,,,,鶴生指令第295,,魚介類販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,,,貝信商店045-501-55637826614101,8f3e6b46-3a47-4132-82b5-ee1de01053fb,,personal,0ed84554-5b94-4f15-92a6-9faac48eb93e,2021/11/05,貝信商店　,貝信商店,
00-036917,鶴生指令第302,株式会社ベルク,,横浜市鶴見区元宮2-1-63,横浜市鶴見区元宮２－１－６３,,ベルク　フォルテ　森永橋店（そうざい） ,5701600,飲食店営業,,2021年11月9日,2028年11月8日,2021年11月9日,,141,ベルク　フォルテ　森永橋店（そうざい） ,045,045-570-1600,,,,横浜市鶴見区元宮２－１－６３,神奈川県横浜市鶴見区元宮２－１－６３,,78298,14,14101,元宮２,,2021/11/09,2021/11/09,,2028/11/08,株式会社ベルク,,,,,,,,,,鶴生指令第302,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,ベルクフォルテ森永橋店そうざい045-570-16007829814101,47c12e0c-bafb-48ef-b927-14ab7155cc38,株式会社ベルク,06d0f04b-9464-4cd4-9206-7cacb6706038,49249d9b-a85b-453c-ac8c-a035b0b7fce5,2021/11/09,ベルク　フォルテ　森永橋店（そうざい）　,ベルクフォルテ森永橋店そうざい,株式会社ベルク
00-036919,鶴生指令第301,株式会社ベルク,,横浜市鶴見区元宮2-1-63,横浜市鶴見区元宮２－１－６３,,ベルク　フォルテ　森永橋店（寿司） ,5701600,飲食店営業,,2021年11月9日,2028年11月8日,2021年11月9日,,141,ベルク　フォルテ　森永橋店（寿司） ,045,045-570-1600,,,,横浜市鶴見区元宮２－１－６３,神奈川県横浜市鶴見区元宮２－１－６３,,78298,14,14101,元宮２,,2021/11/09,2021/11/09,,2028/11/08,株式会社ベルク,,,,,,,,,,鶴生指令第301,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,ベルクフォルテ森永橋店寿司045-570-16007829814101,477d8434-6533-4d35-99e8-4eb53066acee,株式会社ベルク,06d0f04b-9464-4cd4-9206-7cacb6706038,1ea17867-3ad7-416a-8433-f27c733966eb,2021/11/09,ベルク　フォルテ　森永橋店（寿司）　,ベルクフォルテ森永橋店寿司,株式会社ベルク
00-036920,鶴生指令第298,株式会社ベルク,,横浜市鶴見区元宮2-1-63,横浜市鶴見区元宮２－１－６３,,ベルク　フォルテ　森永橋店 ,5701600,魚介類販売業,,2021年11月9日,2028年11月8日,2021年11月9日,,141,ベルク　フォルテ　森永橋店 ,045,045-570-1600,,,,横浜市鶴見区元宮２－１－６３,神奈川県横浜市鶴見区元宮２－１－６３,,78298,14,14101,元宮２,,2021/11/09,2021/11/09,,2028/11/08,株式会社ベルク,,,,,,,,,,鶴生指令第298,,魚介類販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,,,ベルクフォルテ森永橋店045-570-16007829814101,00141_2068911b-7ee3-44ba-bf0b-1aa7fbf8073a,株式会社ベルク,06d0f04b-9464-4cd4-9206-7cacb6706038,7e1f5e90-fb81-44ea-8191-a878e5966021,2021/11/09,ベルク　フォルテ　森永橋店　,ベルクフォルテ森永橋店,株式会社ベルク
00-036921,鶴生指令第300,株式会社ベルク,,横浜市鶴見区元宮2-1-63,横浜市鶴見区元宮２－１－６３,,ベルク　フォルテ　森永橋店 ,5701600,食肉販売業,,2021年11月9日,2028年11月8日,2021年11月9日,,141,ベルク　フォルテ　森永橋店 ,045,045-570-1600,,,,横浜市鶴見区元宮２－１－６３,神奈川県横浜市鶴見区元宮２－１－６３,,78298,14,14101,元宮２,,2021/11/09,2021/11/09,,2028/11/08,株式会社ベルク,,,,,,,,,,鶴生指令第300,,食肉販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,583,,ベルクフォルテ森永橋店045-570-16007829814101,00141_2068911b-7ee3-44ba-bf0b-1aa7fbf8073a,株式会社ベルク,06d0f04b-9464-4cd4-9206-7cacb6706038,eb56e074-1eb8-45c0-a96a-8f21ccd89183,2021/11/09,ベルク　フォルテ　森永橋店　,ベルクフォルテ森永橋店,株式会社ベルク
00-036922,鶴生指令第299,株式会社ベルク,,横浜市鶴見区元宮2-1-63,横浜市鶴見区元宮２－１－６３,,ベルク　フォルテ　森永橋店（精肉調理室） ,5701600,飲食店営業,,2021年11月9日,2028年11月8日,2021年11月9日,,141,ベルク　フォルテ　森永橋店（精肉調理室） ,045,045-570-1600,,,,横浜市鶴見区元宮２－１－６３,神奈川県横浜市鶴見区元宮２－１－６３,,78298,14,14101,元宮２,,2021/11/09,2021/11/09,,2028/11/08,株式会社ベルク,,,,,,,,,,鶴生指令第299,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,ベルクフォルテ森永橋店精肉調理室045-570-16007829814101,f5a3ecb1-5f34-4765-a33a-c4a413f56bb8,株式会社ベルク,06d0f04b-9464-4cd4-9206-7cacb6706038,9aa5517e-4ced-40ad-9faa-70062e1957d1,2021/11/09,ベルク　フォルテ　森永橋店（精肉調理室）　,ベルクフォルテ森永橋店精肉調理室,株式会社ベルク
00-036932,鶴生指令第304,株式会社ＬＥＯＣ,,横浜市鶴見区下末吉6-15-10,横浜市鶴見区下末吉６－１５－１０,,ＡＧＣ旭硝子ソレイユ旭台寮 ,5857840,飲食店営業,,2021年11月9日,2028年11月8日,2021年11月9日,,141,ＡＧＣ旭硝子ソレイユ旭台寮 ,045,045-585-7840,,,,横浜市鶴見区下末吉６－１５－１０,神奈川県横浜市鶴見区下末吉６－１５－１０,,78248,14,14101,下末吉６,,2021/11/09,2021/11/09,,2028/11/08,株式会社ＬＥＯＣ,,,,,,,,,,鶴生指令第304,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,ＡＧＣ旭硝子ソレイユ旭台寮045-585-78407824814101,bae6bae0-c209-42d7-9787-27ccbba3009b,株式会社ＬＥＯＣ,bf945893-0fa9-4106-a9b4-58594aa76b67,fbbeffda-0095-4d93-8bd7-76b37028bdbd,2021/11/09,ＡＧＣ旭硝子ソレイユ旭台寮　,ＡＧＣ旭硝子ソレイユ旭台寮,株式会社ＬＥＯＣ
00-036969,鶴生指令第321,伊藤製パン株式会社,,横浜市鶴見区元宮2-1-63 フォルテ森永橋店内,横浜市鶴見区元宮２－１－６３,フォルテ森永橋店内,マルセリーノ森永橋店 ,6425317,菓子製造業,,2021年11月19日,2028年11月18日,2021年11月19日,,141,マルセリーノ森永橋店 ,045,045-642-5317,,,,横浜市鶴見区元宮２－１－６３,神奈川県横浜市鶴見区元宮２－１－６３,フォルテ森永橋店内,78298,14,14101,元宮２,,2021/11/19,2021/11/19,,2028/11/18,伊藤製パン株式会社,,,,,,,,,,鶴生指令第321,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,マルセリノ森永橋店045-642-53177829814101,ac578f81-c522-440e-8af0-236bffadd1e4,伊藤製パン株式会社,fe9d76e3-e389-42d3-a608-1220d9a68ec9,90d5b169-2af6-4922-b766-ec30a2791439,2021/11/19,マルセリーノ森永橋店　,マルセリノ森永橋店,伊藤製パン株式会社
00-036973,鶴生指令第326,,伊藤 豊英,横浜市鶴見区市場西中町5-10,横浜市鶴見区市場西中町５－１０,,ベルナール豊月堂 ,5215018,菓子製造業,,2021年11月26日,2028年11月25日,2021年11月26日,,141,ベルナール豊月堂 ,045,045-521-5018,,,,横浜市鶴見区市場西中町５－１０,神奈川県横浜市鶴見区市場西中町５－１０,,78197,14,14101,市場西中町,,2021/11/26,2021/11/26,,2028/11/25,,伊藤 豊英,,,,,,,,,鶴生指令第326,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,ベルナル豊月堂045-521-50187819714101,7933d0b1-2572-42aa-b52c-8de93e48ca6f,,personal,12af5f79-ed62-4a47-a3fa-d56d68d9e388,2021/11/26,ベルナール豊月堂　,ベルナル豊月堂,
00-036978,鶴生指令第325,横浜総業株式会社,,横浜市鶴見区上末吉3-12-7,横浜市鶴見区上末吉３－１２－７,,セブンイレブン横浜上末吉３丁目店 ,5759222,飲食店営業,,2021年11月24日,2028年11月23日,2021年11月24日,,141,セブンイレブン横浜上末吉３丁目店 ,045,045-575-9222,,,,横浜市鶴見区上末吉３－１２－７,神奈川県横浜市鶴見区上末吉３－１２－７,,78212,14,14101,上末吉３,,2021/11/24,2021/11/24,,2028/11/23,横浜総業株式会社,,,,,,,,,,鶴生指令第325,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,セブンイレブン横浜上末吉３丁目店045-575-92227821214101,00141_f6fd7988-53d0-4b8c-94a1-d4c947e14696,横浜総業株式会社,461589ae-80a8-4b13-8805-8f0fef0d7c0d,c1645a4b-34c9-4b25-a176-83f50518fa70,2021/11/24,セブンイレブン横浜上末吉３丁目店　,セブンイレブン横浜上末吉３丁目店,横浜総業株式会社
00-036983,鶴生指令第313,ランサー株式会社,,横浜市鶴見区佃野町19-5,横浜市鶴見区佃野町１９－５,,城南信用金庫　鶴見支店　食堂 ,5731881,飲食店営業,,2021年11月16日,2028年11月15日,2021年11月16日,,141,城南信用金庫　鶴見支店　食堂 ,045,045-573-1881,,,,横浜市鶴見区佃野町１９－５,神奈川県横浜市鶴見区佃野町１９－５,,78305,14,14101,佃野町,,2021/11/16,2021/11/16,,2028/11/15,ランサー株式会社,,,,,,,,,,鶴生指令第313,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,城南信用金庫鶴見支店食堂045-573-18817830514101,0c29e6d9-3721-424b-bbe8-64dc70817720,ランサー株式会社,58458662-ca1f-4f49-9544-155684edbd41,ece9ce1f-5a58-481d-9e14-5e4825c86025,2021/11/16,城南信用金庫　鶴見支店　食堂　,城南信用金庫鶴見支店食堂,ランサー株式会社
00-037000,鶴生指令第310,,蛯名 政樹,横浜市鶴見区矢向1-11-15,横浜市鶴見区矢向１－１１－１５,,ファミリーマート　横浜矢向一丁目店 ,5703006,飲食店営業,,2021年11月12日,2028年11月11日,2021年11月12日,,141,ファミリーマート　横浜矢向一丁目店 ,045,045-570-3006,,,,横浜市鶴見区矢向１－１１－１５,神奈川県横浜市鶴見区矢向１－１１－１５,,78299,14,14101,矢向１,,2021/11/12,2021/11/12,,2028/11/11,,蛯名 政樹,,,,,,,,,鶴生指令第310,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,ファミリマト横浜矢向一丁目店045-570-30067829914101,00141_ba220c29-72c7-4b95-acab-506b27bb914d,,personal,41eed62d-6d31-4400-93e3-ed0fc329bc60,2021/11/12,ファミリーマート　横浜矢向一丁目店　,ファミリマト横浜矢向一丁目店,
00-037005,鶴生指令第318,株式会社ケンコー,,横浜市鶴見区豊岡町8-28 鶴見西口駅前鈴木ビル１F,横浜市鶴見区豊岡町８－２８,鶴見西口駅前鈴木ビル１F,武骨家 ,9472563,飲食店営業,,2021年11月22日,2028年11月21日,2021年11月22日,,141,武骨家 ,045,045-947-2563,,,,横浜市鶴見区豊岡町８－２８,神奈川県横浜市鶴見区豊岡町８－２８,鶴見西口駅前鈴木ビル１F,78306,14,14101,豊岡町,,2021/11/22,2021/11/22,,2028/11/21,株式会社ケンコー,,,,,,,,,,鶴生指令第318,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,武骨家045-947-25637830614101,b19af1c3-28c6-40ae-8658-ec6aa23312e9,株式会社ケンコー,2cc2fd2a-7af3-4d27-a0dd-f0f4cd90cbc4,61e1fa85-2068-4e79-8336-d6da90fa477d,2021/11/22,武骨家　,武骨家,株式会社ケンコー
00-037014,鶴生指令第309,永豊通商株式会社,,横浜市鶴見区鶴見中央4-30-13 港ビル 1F,横浜市鶴見区鶴見中央４－３０－１３,港ビル １F,中国料理　蓬莱春飯店　鶴見東口店 ,455055288,飲食店営業,中華料理店,2021年11月11日,2028年11月10日,2021年11月11日,,141,中国料理　蓬莱春飯店　鶴見東口店 ,045,045-505-5288,,,,横浜市鶴見区鶴見中央４－３０－１３,神奈川県横浜市鶴見区鶴見中央４－３０－１３,港ビル １F,78311,14,14101,鶴見中央４,,2021/11/11,2021/11/11,,2028/11/10,永豊通商株式会社,,,,,,,,,,鶴生指令第309,,飲食店営業, 中華料理店,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,中国料理蓬莱春飯店鶴見東口店045-505-52887831114101,fabfd4ee-e7b5-4ee2-8c82-adb8d2fad0a1,永豊通商株式会社,40bc03fe-bddd-4cda-ae54-cd72b1008711,ca262bb1-ccd2-4804-9b90-09d3f49ff154,2021/11/11,中国料理　蓬莱春飯店　鶴見東口店　,中国料理蓬莱春飯店鶴見東口店,永豊通商株式会社
00-037529,鶴生指令第333,,吉岡 歩美,横浜市鶴見区鶴見中央4-25-6,横浜市鶴見区鶴見中央４－２５－６,,ＮＥＷ　ＧＡＲＢＯ ,5035363,飲食店営業,,2021年11月30日,2027年11月29日,2021年11月30日,,141,ＮＥＷ　ＧＡＲＢＯ ,045,045-503-5363,,,,横浜市鶴見区鶴見中央４－２５－６,神奈川県横浜市鶴見区鶴見中央４－２５－６,,78311,14,14101,鶴見中央４,,2021/11/30,2021/11/30,,2027/11/29,,吉岡 歩美,,,,,,,,,鶴生指令第333,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,ＮＥＷＧＡＲＢＯ045-503-53637831114101,56973f3e-4431-4e8e-af94-0dfd25e47db9,,personal,4eb95e57-1669-44cf-85fe-65e55fe218c7,2021/11/30,ＮＥＷ　ＧＡＲＢＯ　,ＮＥＷＧＡＲＢＯ,
00-040837,鶴生指令第254,,石井 佳子,横浜市鶴見区鶴見中央3-12-11 ナイスガーデンステージ鶴見中央 309,横浜市鶴見区鶴見中央３－１２－１１,ナイスガーデンステージ鶴見中央 ３０９,ｃａｆｅ　ｋｅｉｋｏ ,,菓子製造業,,2021年11月11日,2028年11月10日,2021年11月11日,,141,ｃａｆｅ　ｋｅｉｋｏ ,045,,,,,横浜市鶴見区鶴見中央３－１２－１１,神奈川県横浜市鶴見区鶴見中央３－１２－１１,ナイスガーデンステージ鶴見中央 ３０９,78310,14,14101,鶴見中央３,,2021/11/11,2021/11/11,,2028/11/10,,石井 佳子,,,,,,,,,鶴生指令第254,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,ｃａｆｅｋｅｉｋｏ7831014101,7c8564a2-2432-4e00-8c8f-7d19a39adc60,,personal,a0270f81-09f4-4665-b91c-06b30c6cc90b,2021/11/11,ｃａｆｅ　ｋｅｉｋｏ　,ｃａｆｅｋｅｉｋｏ,
00-040923,鶴生指令第293,有限会社ミヤマ商事,,横浜市鶴見区佃野町23-47 呉ビル 1F,横浜市鶴見区佃野町２３－４７,呉ビル １F,美山飯店新館 ,455845189,飲食店営業,,2021年11月2日,2028年11月1日,2021年11月2日,,141,美山飯店新館 ,045,045-584-5189,,,,横浜市鶴見区佃野町２３－４７,神奈川県横浜市鶴見区佃野町２３－４７,呉ビル １F,78305,14,14101,佃野町,,2021/11/02,2021/11/02,,2028/11/01,有限会社ミヤマ商事,,,,,,,,,,鶴生指令第293,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,美山飯店新館045-584-51897830514101,9db0b9d9-b3ea-46ea-87a1-8f3c95e00364,有限会社ミヤマ商事,607eb71a-5b5c-4cea-9eb5-58db94406beb,2da20377-5769-44d2-b0e1-f8c88e66c2ee,2021/11/02,美山飯店新館　,美山飯店新館,有限会社ミヤマ商事
00-040925,鶴生指令第274,株式会社千手,,横浜市鶴見区下野谷町4-147 加村荘 102,横浜市鶴見区下野谷町４－１４７,加村荘 １０２,アジアンキッチン ,,飲食店営業,,2021年11月2日,2028年11月1日,2021年11月2日,,141,アジアンキッチン ,045,,,,,横浜市鶴見区下野谷町４－１４７,神奈川県横浜市鶴見区下野谷町４－１４７,加村荘 １０２,78239,14,14101,下野谷町４,,2021/11/02,2021/11/02,,2028/11/01,株式会社千手,,,,,,,,,,鶴生指令第274,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,アジアンキッチン7823914101,b518b136-739f-46cc-9cd7-d01ddd916432,株式会社千手,ba5b1dc7-5b3f-40dd-86ac-68e6b6a50700,3d6d9c08-6e7d-4d4b-96d8-65055b2a429c,2021/11/02,アジアンキッチン　,アジアンキッチン,株式会社千手
00-040926,鶴生指令第281,株式会社はま寿司,,横浜市鶴見区尻手3-1-8 2F,横浜市鶴見区尻手３－１－８,２F,はま寿司　まち～クプラザ尻手店 ,5825495,飲食店営業,,2021年11月2日,2028年11月1日,2021年11月2日,,141,はま寿司　まち～クプラザ尻手店 ,045,045-582-5495,,,,横浜市鶴見区尻手３－１－８,神奈川県横浜市鶴見区尻手３－１－８,２F,78242,14,14101,尻手３,,2021/11/02,2021/11/02,,2028/11/01,株式会社はま寿司,,,,,,,,,,鶴生指令第281,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,はま寿司まちクプラザ尻手店045-582-54957824214101,8bc7b2fb-8898-4f9d-91c4-9708c6073f16,株式会社はま寿司,c7bebf25-69bc-455a-a7dc-6fe6216be4af,035cf9f8-f679-4de5-8101-11d8120c384d,2021/11/02,はま寿司　まち～クプラザ尻手店　,はま寿司まちクプラザ尻手店,株式会社はま寿司
00-040928,鶴生第8902,,黒瀨 賢,横浜市鶴見区豊岡町17-10,横浜市鶴見区豊岡町１７－１０,,ファミリーマート横浜鶴見豊岡店 ,455703037,コンビニエンスストア,,2021年11月1日,2117年12月31日,2021年11月1日,,141,ファミリーマート横浜鶴見豊岡店 ,045,045-570-3037,,,,横浜市鶴見区豊岡町１７－１０,神奈川県横浜市鶴見区豊岡町１７－１０,,78306,14,14101,豊岡町,,2021/11/01,2021/11/01,,2117/12/31,,黒瀨 賢,,,,,,,,,鶴生第8902,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ファミリマト横浜鶴見豊岡店045-570-30377830614101,00141_e7a90f4c-bf7f-4040-9a05-3e779439a8b2,,personal,d0548186-df24-4ca5-a167-c759ae8e4522,2021/11/01,ファミリーマート横浜鶴見豊岡店　,ファミリマト横浜鶴見豊岡店,
